indicators,mea,ipbes,Categories,Subcategories,Categories_2,Subcategories_2,indicators_harmonized,ids
Research and development expenditure as a proportion of GDP,SDG,1,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,research and development expenditure as a proportion of gross domestic product,SDG_9_5_1_134
Researchers (in full-time equivalent) per million inhabitants,SDG,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,researchers (in full-time equivalent) per million inhabitants,SDG_9_5_2_135
Total official international support (official development assistance plus other official flows) to infrastructure,SDG,1,Human Assets,Infrastructure (Build-Up Area),NA,Information On Society And Socio-Economics,total official international support (official development assistance plus other official flows) to infrastructure,SDG_9_a_1_136
Proportion of medium and high-tech industry value added in total value added,SDG,1,Human Assets,State Of Economy,NA,NA,proportion of medium and high-tech industry value added in total value added,SDG_9_b_1_137
"Proportion of population covered by a mobile network, by technology",SDG,1,Human Assets,Infrastructure (Build-Up Area),NA,NA,"proportion of population covered by a mobile network, by technology",SDG_9_c_1_138
Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,SDG,1,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,SDG_10_1_1_139
"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",SDG,1,Human Well-Being,Equity,NA,NA,"proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",SDG_10_2_1_140
Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,SDG,1,Human Well-Being,Equity,Governance,Broken Governance,proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,SDG_10_3_1_141
Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,SDG,1,Human Well-Being,Equity,Governance,Broken Governance,proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,SDG_16_b_1_256
Labour share of GDP,SDG,1,Human Assets,Income,NA,NA,labour share of gross domestic product,SDG_10_4_1_142
Redistributive impact of fiscal policy,SDG,NA,Human Assets,Income,Governance,Legislation/Governance,redistributive impact of fiscal policy,SDG_10_4_2_143
Financial Soundness Indicators,SDG,NA,Governance,Legislation/Governance,NA,NA,financial soundness indicators,SDG_10_5_1_144
Proportion of members and voting rights of developing countries in international organizations,SDG,1,Human Well-Being,Equity,NA,NA,proportion of members and voting rights of developing countries in international organizations,"SDG_10_6_1_145,SDG_16_8_1_251"
Recruitment cost borne by employee as a proportion of monthly income earned in country of destination,SDG,NA,Human Assets,State Of Economy,NA,Income,recruitment cost borne by employee as a proportion of monthly income earned in country of destination,SDG_10_7_1_146
"Number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",SDG,1,Human Well-Being,Equity,NA,NA,"number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",SDG_10_7_2_147
Number of people who died or disappeared in the process of migration towards an international destination,SDG,NA,Governance,Broken Governance,NA,NA,number of people who died or disappeared in the process of migration towards an international destination,SDG_10_7_3_148
"Proportion of the population who are refugees, by country of origin",SDG,1,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,"proportion of the population who are refugees, by country of origin",SDG_10_7_4_149
Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,SDG,NA,Governance,Legislation/Governance,NA,NA,proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,SDG_10_a_1_150
"Total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",SDG,1,Governance,National/International Cooperation,NA,NA,"total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",SDG_10_b_1_151
Remittance costs as a proportion of the amount remitted,SDG,NA,Human Assets,Income,NA,State Of Economy,remittance costs as a proportion of the amount remitted,SDG_10_c_1_152
"Proportion of urban population living in slums, informal settlements or inadequate housing",SDG,NA,Human Assets,Coverage Of Basic Needs,Governance,Broken Governance,"proportion of urban population living in slums, informal settlements or inadequate housing",SDG_11_1_1_153
"Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities",SDG,NA,Human Assets,Infrastructure (Build-Up Area),NA,Coverage Of Basic Needs,"proportion of population that has convenient access to public transport, by sex, age and persons with disabilities",SDG_11_2_1_154
Ratio of land consumption rate to population growth rate,SDG,1,Ecosystem Services,Nature Contribution,Human Assets,Coverage Of Basic Needs,ratio of land consumption rate to population growth rate,SDG_11_3_1_155
Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically,SDG,NA,Human Assets,Infrastructure (Build-Up Area),Human Well-Being,Equity,proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically,SDG_11_3_2_156
"Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)",SDG,1,Human Assets,State Of Economy,NA,Information On Society And Socio-Economics,"total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)",SDG_11_4_1_157
"(a) Damage to critical infrastructure and (b) number of disruptions to basic services, attributed to disasters",SDG,NA,Human Assets,Infrastructure (Build-Up Area),Knowledge Systems,Information On Society And Socio-Economics,damage to critical infrastructure,"SDG_11_5_3_a_160,SDG_11_5_3_b_161"
"Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated, by cities",SDG,NA,Human Assets,Infrastructure (Build-Up Area),NA,NA,"proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated, by cities",SDG_11_6_1_162
"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",SDG,NA,Human Assets,Infrastructure (Build-Up Area),NA,NA,"average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",SDG_11_7_1_164
"Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months",SDG,1,Governance,Broken Governance,NA,NA,"proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months",SDG_11_7_2_165
Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space,SDG,1,Governance,Legislation/Governance,NA,NA,number of countries that have national urban policies or regional development plans that respond to population dynamics,"SDG_11_a_1_a_166,SDG_11_a_1_b_167,SDG_11_a_1_c_168"
"Number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production",SDG,1,Governance,Nature-Based Legislation,NA,NA,"number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production",SDG_12_1_1_172
"Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement",SDG,NA,Governance,Nature-Based Legislation,NA,NA,"number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement",SDG_12_4_1_177
"(a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment",SDG,1,Direct Drivers,Pollution,NA,NA,hazardous waste generated per capita,"SDG_12_4_2_a_178,SDG_12_4_2_b_179"
"National recycling rate, tons of material recycled",SDG,1,Governance,Nature-Based Legislation,NA,NA,"national recycling rate, tons of material recycled",SDG_12_5_1_180
Number of countries implementing sustainable public procurement policies and action plans3,SDG,NA,Governance,Nature-Based Legislation,NA,NA,number of countries implementing sustainable public procurement policies and action plans,SDG_12_7_1_182
Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,SDG,1,Governance,Legislation/Governance,NA,NA,implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,SDG_12_b_1_188
"Number of countries with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the United Nations Framework Convention on Climate Change",SDG,1,Governance,Nature-Based Legislation,NA,NA,"number of countries with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",SDG_13_2_1_193
Total greenhouse gas emissions per year,SDG,1,Direct Drivers,Climate Change,NA,NA,total greenhouse gas emissions per year,SDG_13_2_2_194
Amounts provided and mobilized in United States dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,SDG,1,Human Assets,State Of Economy,NA,NA,amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,SDG_13_a_1_199
Number of countries using ecosystem-based approaches to managing marine areas,SDG,1,Governance,Nature-Based Legislation,NA,NA,number of countries using ecosystem-based approaches to managing marine areas,SDG_14_2_1_203
Average marine acidity (pH) measured at agreed suite of representative sampling stations,SDG,1,Ecosystems,State Of Ecosystems (Marine),Direct Drivers,Climate Change,average marine acidity (ph) measured at agreed suite of representative sampling stations,SDG_14_3_1_204
Coverage of protected areas in relation to marine areas,SDG,1,Ecosystems,Area Conservation,NA,NA,coverage of protected areas in relation to marine areas,SDG_14_5_1_206
"Sustainable fisheries as a proportion of GDP in small island developing States, least developed countries and all countries",SDG,1,Ecosystem Services,Specific Monetary Valuation Of Nature Contribution,Governance,Nature-Based Legislation,"sustainable fisheries as a proportion of gross domestic product in small island developing states, least developed countries and all countries",SDG_14_7_1_208
Degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries,SDG,1,Governance,Nature-Based Legislation,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries,SDG_14_b_1_210
"Number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the United Nations Convention on the Law of the Sea, for the conservation and sustainable use of the oceans and their resources",SDG,1,Governance,Nature-Based Legislation,NA,NA,"number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the united nations convention on the law of the sea, for the conservation and sustainable use of the oceans and their resources",SDG_14_c_1_211
"Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",SDG,1,Ecosystems,Area Conservation,NA,NA,"proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",SDG_15_1_2_213
Coverage by protected areas of important sites for mountain biodiversity,SDG,1,Ecosystems,Area Conservation,NA,NA,coverage by protected areas of important sites for mountain biodiversity,SDG_15_4_1_216
Proportion of traded wildlife that was poached or illicitly trafficked,SDG,1,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,NA,proportion of traded wildlife that was poached or illicitly trafficked,"SDG_15_7_1_220,SDG_15_c_1_228"
Proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,SDG,1,Governance,Nature-Based Legislation,NA,NA,proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,SDG_15_8_1_221
(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,SDG,1,Governance,Nature-Based Legislation,NA,NA,official development assistance on conservation and sustainable use of biodiversity,"SDG_15_a_1_a_224,SDG_15_b_1_a_226,SDG_15_a_1_b_225,SDG_15_b_1_b_227"
"Number of victims of intentional homicide per 100,000 population, by sex and age",SDG,NA,Human Assets,Information On Society And Socio-Economics,Governance,Broken Governance,"number of victims of intentional homicide per 100,000 population, by sex and age",SDG_16_1_1_229
"Conflict-related deaths per 100,000 population, by sex, age and cause",SDG,NA,Human Assets,Information On Society And Socio-Economics,Governance,Broken Governance,"conflict-related deaths per 100,000 population, by sex, age and cause",SDG_16_1_2_230
"Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months",SDG,NA,Human Assets,Information On Society And Socio-Economics,Governance,Broken Governance,proportion of population subjected to physical violence in the previous 12 months,"SDG_16_1_3_a_231,SDG_16_1_3_b_232,SDG_16_1_3_c_233"
Proportion of population that feel safe walking alone around the area they live after dark,SDG,NA,Human Well-Being,Equity,Knowledge Systems,Information On Society And Socio-Economics,proportion of population that feel safe walking alone around the area they live after dark,SDG_16_1_4_234
Proportion of children aged 1–17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,SDG,NA,Human Assets,Information On Society And Socio-Economics,Governance,Broken Governance,proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,SDG_16_2_1_235
"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",SDG,NA,Human Assets,Information On Society And Socio-Economics,Governance,Broken Governance,"number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",SDG_16_2_2_236
Proportion of young women and men aged 18–29 years who experienced sexual violence by age 18,SDG,NA,Human Assets,Information On Society And Socio-Economics,Governance,Broken Governance,proportion of young women and men aged 18-29 years who experienced sexual violence by age 18,SDG_16_2_3_237
Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,SDG,NA,Human Well-Being,Wellness,Governance,Broken Governance,proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,SDG_16_3_1_238
Unsentenced detainees as a proportion of overall prison population,SDG,NA,Governance,Broken Governance,Knowledge Systems,Information On Society And Socio-Economics,unsentenced detainees as a proportion of overall prison population,SDG_16_3_2_239
"Proportion of the population who have experienced a dispute in the past two years and who accessed a formal or informal dispute resolution mechanism, by type of mechanism",SDG,NA,Knowledge Systems,Information On Society And Socio-Economics,Governance,Legislation/Governance,"proportion of the population who have experienced a dispute in the past two years and who accessed a formal or informal dispute resolution mechanism, by type of mechanism",SDG_16_3_3_240
Total value of inward and outward illicit financial flows (in current United States dollars),SDG,NA,Human Assets,State Of Economy,Governance,Broken Governance,total value of inward and outward illicit financial flows (in current united states dollars),SDG_16_4_1_241
"Proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments",SDG,NA,Governance,Legislation/Governance,NA,NA,"proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments",SDG_16_4_2_242
"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months",SDG,NA,Human Assets,Information On Society And Socio-Economics,Human Well-Being,Wellness,"proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months",SDG_16_5_1_243
"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",SDG,NA,Human Assets,Information On Society And Socio-Economics,Governance,Broken Governance,"proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",SDG_16_5_2_244
"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)",SDG,NA,Human Assets,State Of Economy,Governance,Legislation/Governance,"primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)",SDG_16_6_1_245
Proportion of population satisfied with their last experience of public services,SDG,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,proportion of population satisfied with their last experience of public services,SDG_16_6_2_246
"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",SDG,NA,Human Assets,Information On Society And Socio-Economics,Knowledge Systems,Information On Society And Socio-Economics,"proportion of children under 5 years of age whose births have been registered with a civil authority, by age",SDG_16_9_1_252
"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",SDG,NA,Human Assets,Information On Society And Socio-Economics,Governance,Broken Governance,"number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",SDG_16_10_1_253
"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",SDG,NA,Human Well-Being,Equity,NA,NA,"number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",SDG_16_10_2_254
Existence of independent national human rights institutions in compliance with the Paris Principles,SDG,NA,Human Well-Being,Equity,NA,NA,existence of independent national human rights institutions in compliance with the paris principles,SDG_16_a_1_255
"Total government revenue as a proportion of GDP, by source",SDG,1,Human Assets,Information On Society And Socio-Economics,NA,NA,"total government revenue as a proportion of gross domestic product, by source",SDG_17_1_1_257
Proportion of domestic budget funded by domestic taxes,SDG,1,Human Assets,State Of Economy,NA,NA,proportion of domestic budget funded by domestic taxes,SDG_17_1_2_258
"Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors’ gross national income (GNI)",SDG,1,Governance,National/International Cooperation,NA,NA,"net official development assistance, total and to least developed countries, as a proportion of the organization for economic cooperation and development (oecd) development assistance committee donors’ gross national income (gni)",SDG_17_2_1_259
Additional financial resources mobilized for developing countries from multiple sources,SDG,NA,Human Assets,Information On Society And Socio-Economics,NA,NA,additional financial resources mobilized for developing countries from multiple sources,SDG_17_3_1_260
Volume of remittances (in United States dollars) as a proportion of total GDP,SDG,1,Human Assets,Information On Society And Socio-Economics,NA,NA,volume of remittances (in united states dollars) as a proportion of total gross domestic product,SDG_17_3_2_261
Debt service as a proportion of exports of goods and services,SDG,NA,Human Assets,State Of Economy,NA,NA,debt service as a proportion of exports of goods and services,SDG_17_4_1_262
"Number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",SDG,1,Governance,National/International Cooperation,NA,NA,"number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",SDG_17_5_1_263
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed6",SDG,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,"fixed internet broadband subscriptions per 100 inhabitants, by speed6",SDG_17_6_1_264
Proportion of individuals using the Internet,SDG,1,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,proportion of individuals using the internet,SDG_17_8_1_266
"Dollar value of financial and technical assistance (including through North-South, South‑South and triangular cooperation) committed to developing countries",SDG,1,Governance,National/International Cooperation,NA,NA,"dollar value of financial and technical assistance (including through north-south, south‑south and triangular cooperation) committed to developing countries",SDG_17_9_1_267
Worldwide weighted tariff-average,SDG,1,Ecosystem Services,Specific Monetary Valuation Of Nature Contribution,NA,NA,worldwide weighted tariff-average,SDG_17_10_1 _268
Developing countries’ and least developed countries’ share of global exports,SDG,1,Human Assets,State Of Economy,NA,NA,developing countries’ and least developed countries’ share of global exports,SDG_17_11_1_269
"Weighted average tariffs faced by developing countries, least developed countries and small island developing States",SDG,1,Governance,Legislation/Governance,NA,NA,"weighted average tariffs faced by developing countries, least developed countries and small island developing states",SDG_17_12_1_270
Macroeconomic Dashboard,SDG,NA,Human Assets,State Of Economy,NA,NA,macroeconomic dashboard,SDG_17_13_1_271
Number of countries with mechanisms in place to enhance policy coherence of sustainable development,SDG,1,Governance,Nature-Based Legislation,NA,NA,number of countries with mechanisms in place to enhance policy coherence of sustainable development,SDG_17_14_1_272
Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,SDG,1,Governance,Legislation/Governance,NA,NA,extent of use of country-owned results frameworks and planning tools by providers of development cooperation,SDG_17_15_1_273
Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,SDG,1,Governance,Nature-Based Legislation,NA,NA,number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,SDG_17_16_1_274
Amount in United States dollars committed to public-private partnerships for infrastructure,SDG,1,Human Assets,Infrastructure (Build-Up Area),NA,NA,amount in united states dollars committed to public-private partnerships for infrastructure,SDG_17_17_1_275
Statistical capacity indicator for Sustainable Development Goal monitoring,SDG,1,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,statistical capacity indicator for sustainable development goal monitoring,SDG_17_18_1_276
Number of countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics,SDG,1,Governance,Legislation/Governance,NA,NA,number of countries that have national statistical legislation that complies with the fundamental principles of official statistics,SDG_17_18_2_277
"Number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",SDG,1,Governance,Legislation/Governance,NA,NA,"number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",SDG_17_18_3_278
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,SDG,NA,Governance,Legislation/Governance,NA,NA,proportion of countries that have conducted at least one population and housing census in the last 10 years,"SDG_17_19_2_a_280,SDG_17_19_2_b_281"
The number of Parties that are in category 1 under the national legislation project,CITES,NA,Governance,Nature-Based Legislation,NA,NA,the number of parties that are in category 1 under the national legislation project,CITES_1_1_1_1
The number of Parties that have designated Management Authorities and Scientific Authorities,CITES,NA,Governance,Nature-Based Legislation,NA,NA,the number of parties that have designated management authorities and scientific authorities,CITES_1_1_2_2
The number of Parties subject to CITES recommendations on trade,CITES,NA,Governance,Nature-Based Legislation,NA,NA,the number of parties subject to cites recommendations on trade,CITES_1_1_3_3
The number of Parties that have adopted standard transparent for timely procedures the issuance of permits in accordance with Article VI of the Convention,CITES,NA,Governance,Nature-Based Legislation,NA,NA,the number of parties that have adopted standard transparent for timely procedures the issuance of permits in accordance with article vi of the convention,CITES_1_2_1_4
The number of Parties making use of the simplified procedures provided for in Resolution Conf.12.3 (Rev.CoP16),CITES,NA,Governance,Nature-Based Legislation,NA,NA,the number of parties making use of the simplified procedures provided for in resolution conf.12.3 (rev.cop16),CITES_1_2_2_5
The number of Parties that have implemented relevant reporting under Resolutions and Decisions of the Conference of the Parties and/or Standing Committee recommendations,CITES,NA,Governance,Nature-Based Legislation,NA,NA,the number of parties that have implemented relevant reporting under resolutions and decisions of the conference of the parties and/or standing committee recommendations,CITES_1_3_1_6
The number and proportion of species that have been found to meet the criteria contained in Resolution Conf.9.24 or its successors. This includes both the periodic review and amendment proposals,CITES,NA,Governance,Nature-Based Legislation,NA,NA,the number and proportion of species that have been found to meet the criteria contained in resolution conf.9.24 or its successors. this includes both the periodic review and amendment proposals,CITES_1_4_1_7
"The number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in Resolution Conf.16.7 on Non detriment findings related to  the population status of Appendix-II species",CITES,NA,Governance,Nature-Based Legislation,NA,NA,"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the population status of appendix-ii species",CITES_1_5_1_8_a
"The number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in Resolution Conf.16.7 on Non detriment findings related to  the trends and impact of trade upon Appendix-II species",CITES,NA,Governance,Nature-Based Legislation,NA,NA,"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the trends and impact of trade upon appendix-ii species",CITES_1_5_1_8_b
"The number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in Resolution Conf.16.7 on Non detriment findings related to the status of and trend in naturally-occurring Appendix I species and the impact of any recovery plans",CITES,NA,Governance,Nature-Based Legislation,NA,NA,"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the status of and trend in naturally-occurring appendix i species and the impact of any recovery plans",CITES_1_5_1_8_c
The number of Parties that have adopted standard procedures for making non detriment findings,CITES,NA,Governance,Nature-Based Legislation,NA,NA,the number of parties that have adopted standard procedures for making non detriment findings,CITES_1_5_2_9
The number and proportion of annual export quotas based on population surveys,CITES,NA,Governance,Nature-Based Legislation,NA,NA,the number and proportion of annual export quotas based on population surveys,CITES_1_5_3_10
The number of Appendix II species for which trade is determined to be non detrimental to the survival of the species as a result of implementing recommendations from the Review of Significant Trade,CITES,NA,Governance,Nature-Based Legislation,NA,NA,the number of appendix ii species for which trade is determined to be non detrimental to the survival of the species as a result of implementing recommendations from the review of significant trade,CITES_1_5_4_11
The number of bilateral and multilateral agreements that specifically provide for co-management of shared CITES listed species by range States,CITES,NA,Governance,Nature-Based Legislation,NA,NA,the number of bilateral and multilateral agreements that specifically provide for co-management of shared cites listed species by range states,CITES_1_6_1_12
"The number of cooperative management plans, including recovery plans, in place for shared populations of CITES listed species",CITES,NA,Governance,Nature-Based Legislation,NA,NA,"the number of cooperative management plans, including recovery plans, in place for shared populations of cites listed species",CITES_1_6_2_13
"The number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared, CITES listed, species",CITES,NA,Knowledge Systems,Specific Information On Human-Nature Relationship,NA,NA,"the number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared, cites listed, species",CITES_1_6_3_14
"The number of Parties that have, or are covered by, or engaged with an international enforcement strategy and/or action plans; formal international co-operation, such as an international enforcement network; a national enforcement strategy and/or action plan; and formal national inter-agency co-operation, such as a national inter-agency enforcement committee",CITES,NA,Governance,Nature-Based Legislation,Governance,National/International Cooperation,"the number of parties that have, or are covered by, or engaged with an international enforcement strategy and/or action plans; formal international co-operation, such as an international enforcement network; a national enforcement strategy and/or action plan; and formal national inter-agency co-operation, such as a national inter-agency enforcement committee",CITES_1_7_1_15
"The number of Parties with a process or mechanism for reviewing their enforcement strategies, and the activities to implement their strategies",CITES,NA,Governance,Nature-Based Legislation,NA,NA,"the number of parties with a process or mechanism for reviewing their enforcement strategies, and the activities to implement their strategies",CITES_1_7_2_16
"The number of Parties that have criminal (penal) law and procedures and forensic capacity in place, and that use specialized investigation techniques, for investigating, prosecuting, and penalizing CITES offences",CITES,NA,Governance,Nature-Based Legislation,NA,NA,"the number of parties that have criminal (penal) law and procedures and forensic capacity in place, and that use specialized investigation techniques, for investigating, prosecuting, and penalizing cites offences",CITES_1_7_3_17
The number of Parties using risk assessment and intelligence to combat illegal trade in CITES-listed species,CITES,NA,Governance,Nature-Based Legislation,NA,NA,the number of parties using risk assessment and intelligence to combat illegal trade in cites-listed species,CITES_1_7_4_18
"The number of administrative measures, criminal prosecutions and other court actions for CITES-related offences",CITES,NA,Governance,Nature-Based Legislation,NA,NA,"the number of administrative measures, criminal prosecutions and other court actions for cites-related offences",CITES_1_7_5_19
"The number of Parties with national and regional training programmes and information resources in place to implement CITES including the making of non-detriment findings, issuance of permits and enforcement",CITES,NA,Knowledge Systems,Specific Information On Human-Nature Relationship,NA,NA,"the number of parties with national and regional training programmes and information resources in place to implement cites including the making of non-detriment findings, issuance of permits and enforcement",CITES_1_8_1_20
The number of Parties meeting their obligations with regard to their assessed contributions to the Trust Fund,CITES,NA,Governance,Nature-Based Legislation,NA,NA,the number of parties meeting their obligations with regard to their assessed contributions to the trust fund,CITES_2_1_1_21
The percentage of the work programme agreed by the Conference of the Parties that is fully funded,CITES,NA,Governance,Nature-Based Funding,NA,NA,the percentage of the work programme agreed by the conference of the parties that is fully funded,CITES_2_1_2_22
"The number of Parties with dedicated staff and funding for Management Authorities, Scientific Authorities and wildlife trade enforcement agencies",CITES,NA,Governance,Nature-Based Legislation,NA,NA,"the number of parties with dedicated staff and funding for management authorities, scientific authorities and wildlife trade enforcement agencies",CITES_2_2_1_23
"The number of Parties that have undertaken one or more of the following activities in the past two years increased the budget for activities; hired more staff; developed implementation tools; and purchased technical equipment for implementation, monitoring or enforcement",CITES,NA,Governance,Nature-Based Legislation,NA,NA,"the number of parties that have undertaken one or more of the following activities in the past two years increased the budget for activities; hired more staff; developed implementation tools; and purchased technical equipment for implementation, monitoring or enforcement",CITES_2_2_2_24
The number of Parties raising funds for CITES implementation through user fees or other mechanisms,CITES,NA,Governance,Nature-Based Funding,NA,NA,the number of parties raising funds for cites implementation through user fees or other mechanisms,CITES_2_2_3_25
The number of Parties using incentive measures as part of their implementation of the Convention,CITES,NA,Governance,Nature-Based Funding,NA,NA,the number of parties using incentive measures as part of their implementation of the convention,CITES_2_2_4_26
