indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,ipbes,Categories,Categories_2,Subcategories,Subcategories_2,usage,assess
global effort in bottom-trawling,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,1,ga
global forest-specialist bird richness (csar),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
"global funding committed towards environmental policy, laws, regulations and economic instruments",NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Legislation/governance,NA,1,ga
global human settlement layer (ghsl),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
global index on indigenous peoples' well-being,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Specific information on ILK and IPLC,NA,1,va
global linguistic diversity index and language threat level,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Specific information on ILK and IPLC,NA,1,ga
global mammal and bird species remaining,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
global sclae ecosystem carbon storage,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
global temperature increase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
global temperature potential,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
global warming potential index,NA,NA,NA,NA,NA,NA,NA,NA,NA,Direct drivers,NA,Climate change,NA,1,geo
globalization index,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Information on society and socio-economics,NA,1,ga
globally available combined bathy/topo,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Abiotic conditions,NA,1,ga
globally available continental shelf,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (marine),NA,1,ga
globally available data for waves and wind,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Knowledge systems,Abiotic conditions,NA,1,ga
governance index,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Legislation/governance,NA,1,sua
grass/fodder (kg),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
green consumption,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
green gross domestic product,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
green space in cities,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Healthy living conditions,NA,1,ga
greenhouse gas emissions,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,ga
greenhouse gas emissions,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,geo
greenhouse gas index (national oceanic and atmospheric administration),NA,NA,NA,NA,NA,NA,NA,NA,NA,Direct drivers,NA,Climate change,NA,1,geo
gross domestic product,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,State of economy,NA,4,ga
gross domestic product,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,State of economy,NA,4,sua
gross domestic product,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,State of economy,NA,4,va
gross domestic product,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,State of economy,NA,4,ias
gross ecosystem product,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
gross national happiness index,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Wellness,NA,4,ga
gross national happiness index,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Wellness,NA,4,sua
gross national happiness index,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Wellness,NA,4,va
gross national happiness index,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Wellness,NA,4,ias
gross national happiness index of bhutan,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Wellness,NA,1,va
gross value added (gva),NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,State of economy,NA,1,ga
growth in human appropriation of net primary production,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,State of economy,NA,1,sua
gums (kg),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
habitat area and quality,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
habitat conditions,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,sua
habitat loss,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
habitat quality,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
hallow coral reefs,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
happiness,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
happy planet index,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Wellness,NA,1,ga
happyness,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Wellness,NA,1,ga
harvest intensity,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
"hazardous waste generated per capita and (b) proportion of hazardous waste treated, by type of treatment",NA,1,NA,NA,NA,NA,NA,1,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,1,sua
health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
health associated with intake of pollinator dependent foods,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
health benefits provide by companion animals,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Ecosystem services,Healthy living conditions,Nature contribution,1,ga
health condition and body size of wild animals decrease,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
health of the forest,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
health of the soil,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
hemp yields (t/ha/year),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
"high blood pressure, smoking, low birth weight, high levels of blood sugar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
high body mass index,NA,NA,NA,NA,NA,NA,NA,NA,NA,biodiversity,NA,State of biodiversity,NA,1,geo
historic land use change since 1970,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
holistic health model,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
how much kw hrs that are dependent on water ag (irrigated area),NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Infrastructure (build-up area),NA,1,ga
human appropriation of fresh water,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
human appropriation of fresh water (water footprint) (thousand km3),NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Coverage of basic needs,NA,1,ga
human appropriation of net primary productivity,1,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Direct drivers,State of ecosystems (coverage),Land conversion,2,ga
human appropriation of net primary productivity,1,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Direct drivers,State of ecosystems (coverage),Land conversion,2,va
human development index (hdi),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,ga
human development index (hdi),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,sua
human development index (hdi),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,va
human development index (hdi),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,ias
human footprint,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
human mobility to access different natural habitats for outdoor recreation,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Recreation,NA,1,ga
hunger,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions,1,ga
hunting success,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,sua
ideas and products mimicking or inspired by nature,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
identity value,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Equity,NA,1,ga
identity value - rural and iplc,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
identity value - urban,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
impact of agricultural habitat conversion on birds,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
impacts of agricultural outpic prices on deforestation rates both inside and outside of protected areas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,NA,1,NA,NA,NA,NA,NA,1,1,Governance,NA,Legislation/governance,NA,1,sua
importance of forests to people,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
improved health from natural medicines or bio-derived medicines,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
improved water supply and sanitation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
improved/unimproved sources of drinking water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
in situ genetic resources of interest to science and ex situ gene banks or genetic and or chemical related informations,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA,1,ga
incidence of hazards,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Pollution,NA,1,ga
including annual estimates of national food supplies per capita for each primary commodity and a number of processed commodities that are potentially available for human consumption,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
inclusion of historically disadvantaged stakeholders,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
inclusive and equitable quality education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
inclusive societies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
inclusive wealth,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,ga
inclusive wealth,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,sua
inclusive wealth,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,va
income,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,ga
income,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,sua
increase in the global mean sea level,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
"increased awareness, care, mental health, cultural security, life satisfaction - rural and iplc",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
"increased awareness, care, mental health, cultural security, life satisfaction - urban",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
"increased awareness, care, mental health, cultural security, life-satisfaction",NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Healthy living conditions,Wellness,1,ga
increased energy security,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Infrastructure (build-up area),NA,1,ga
increasingly unpredictable annual distribution of rainfall,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
index of coastal eutrophication potential (icep),1,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,Direct drivers,State of ecosystems (integrity),Pollution,1,geo
index of coastal eutrophication potential (icep) and (b) plastic debris density,1,1,NA,NA,NA,NA,NA,1,1,ecosystems,Direct drivers,State of ecosystems (integrity),Pollution,1,sua
index of sustainable economic welfare (isew),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,ga
index of sustainable economic welfare (isew),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,va
indicator of food price anomalies,NA,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,Coverage of basic needs,NA,1,sua
indicator of unsustainable fisheries (iuu),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
indigenous lands,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,ecosystems,ILK,State of ecosystems,1,ga
indirect access to natural products from natural habitats,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
individual deprivation measure,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
infiltrability,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (integrity),NA,1,ga
"information provided through the financial reporting framework, adopted by decision xii/3",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
inland fishery production,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
installed renewable energy-generating capacity in developing countries (in watts per capita),NA,1,NA,NA,NA,NA,NA,1,1,Human assets,Ecosystem services,Infrastructure (build-up area),Specific mention of sustainable use of species/ecosystems,1,sua
integration of education for sustainable development (esd) in curricula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
integration of education for sustainable development (esd) in higher education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
intensity of weather,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,sua
"international financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",NA,1,NA,NA,NA,NA,NA,1,1,Governance,NA,Nature-based legislation,NA,1,sua
international migrant stock,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
"international tourism, number of arrivals",NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Recreation,NA,1,ga
"international tourism, number of departures",NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Recreation,NA,1,ga
invertebrate abundance and biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
investment costs of groundwater abstraction and desalination for continued water supply and sanitation of rapidly expanding cities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
iucn red list of threatened species,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,ga
iucn red list of threatened species,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,sua
iucn red list of threatened species,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,ias
iucn red list of threatened species,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,geo
jute yields (t/ha/year),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
kcal capita,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
kwh x price,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Coverage of basic needs,NA,1,ga
labour share of gross domestic product,NA,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,Income,NA,1,sua
land and ocean carbon sinks,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
land area in biomass production,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (coverage),NA,1,ga
land cover change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
land not cultivated or urban,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Human assets,State of ecosystems,Infrastructure (build-up area),1,ga
land not cultivated or urban (global),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
land not cultivated or urban (hotspots),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Human assets,State of ecosystems,Infrastructure (build-up area),1,ga
land not cultivated or urban (indigenous lands),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Human assets,State of ecosystems,Infrastructure (build-up area),1,ga
land suitability and extent of bioenergy crop and livestock producing and harvesting areas,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Ecosystem services,State of ecosystems,Nature contribution,1,ga
land suitability and extent of cotton producing area,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Ecosystem services,State of ecosystems,Nature contribution,1,ga
land under cereal production (ha),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
land use change,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,ga
land use change,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,geo
land use change that causes a change in et,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Change in ecosystems,NA,1,ga
land-use change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
land-use models for efficient farming,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
landed catch,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
landscape complexity,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
landscape dominance of habitat,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
landscape inundated by the flood,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
landslides stabilization,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
large fish indicator,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
latexes (kg),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
laws allowing building in vulnerable areas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
laws preventing recycling of water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
leaf area index (lai),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
leaf properties,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
leaf surface area,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
"less biomass, more annuals and shrubs on pastures",NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
"level of national compliance with labour rights (freedom of association and collective bargaining) based on international labour organization (ilo) textual sources and national legislation, by sex and migrant status",NA,1,NA,NA,NA,NA,NA,1,1,Human well-being,NA,Equity,NA,1,sua
level of water stress,1,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA,1,geo
level of water stress (freshwater withdrawal as a proportion of available freshwater resources),1,1,NA,NA,NA,NA,NA,1,1,ecosystems,biodiversity,Change in ecosystems,NA,2,sua
level of water stress (freshwater withdrawal as a proportion of available freshwater resources),1,1,NA,NA,NA,NA,NA,1,1,ecosystems,biodiversity,Change in ecosystems,NA,2,geo
levels of education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
life expectancy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
life expectancy at birth,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
life satisfaction,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
linguistic diversity index,1,NA,NA,NA,NA,NA,NA,1,1,Human well-being,NA,Cultural diversity,NA,1,ga
live coral cover,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,1,ga
livelihood dependence,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
livestock density of animals (chickens),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,Ecosystem services,State of biodiversity,Specific monetary valuation of nature contribution,1,ga
livestock density of cattle,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,Specific monetary valuation of nature contribution,1,ga
livestock indigenous animals,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,Specific monetary valuation of nature contribution,1,ga
living conditions in the arctic,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
living planet index,1,NA,NA,NA,NA,NA,NA,1,1,ecosystems,NA,State of biodiversity,NA,3,ga
living planet index,1,NA,NA,NA,NA,NA,NA,1,1,ecosystems,NA,State of biodiversity,NA,3,sua
living planet index,1,NA,NA,NA,NA,NA,NA,1,1,ecosystems,NA,State of biodiversity,NA,3,geo
living planet index (freshwater),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of biodiversity,State of ecosystems (freshwater/coastal),1,ga
living planet index (marine),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of biodiversity,NA,1,ga
living planet index (migratory fish),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
living planet index (terrestrial),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of biodiversity,NA,1,ga
local species richness,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,ga
local species richness,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,ias
local species richness (biotime),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
local species richness (predicts),1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,1,ga
loss of lichen diversity,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
loss of mass of mountain glaciers and polar ice sheets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
loss of phylogenetic diversity,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,Genetic diversity,NA,1,ga
loss of species,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Change in biodiversity,NA,1,ga
low income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
low-elevation coastal zones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
lowered flood peaks,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
lowered fuel load (fires),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
lowered incidence and impact of hazards,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Healthy living conditions,NA,1,ga
maize price,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
malnutrition,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs,2,ga
malnutrition,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs,2,geo
mammalian body mass,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
mammalian range size,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
mangrove distribution and abundance,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
mangrove forest area,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,2,ga
mangrove forest area,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,2,va
manufacturing employment as a proportion of total employment,NA,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,Coverage of basic needs,NA,1,sua
manufacturing value added as a proportion of gross domestic product and per capita,NA,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,Infrastructure (build-up area),NA,1,sua
map of medicinal plants overlaying plant richness at the global level,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
maps showing areas where humans mostly rely national medicines policies for health,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Information on society and socio-economics,NA,1,ga
marine air temperature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
marine litter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
marine net primary production,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
marine nutirent pollution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
marine stewardship council certified catch,1,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,1,sua
marine stewardship council certified fisheries,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,1,ga
marine stewardship council engaged fisheries,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,1,ga
marine stocks,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
marine trophic index (mti),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (marine),NA,1,ga
market value,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,State of economy,NA,1,ga
material flow accounting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
material flow analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
"material footprint, material footprint per capita, and material footprint per gross domestic product",NA,1,NA,NA,NA,NA,NA,1,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,1,sua
material ncp,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
material wealth,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
mean annual change in above-ground biomass,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
mean body mass,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,sua
mean length of catch,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,biodiversity,Nature contribution,State of biodiversity,1,ga
mean length of fish,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
mean length of fish in the community,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,biodiversity,Nature contribution,State of biodiversity,1,ga
mean polar sea ice extent,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
mean species abundance (msa),1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,1,ga
mean species abundance (msa) (hotspots),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
mean species abundance (msa) (indigenous lands),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
measure of income,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human assets,NA,Income,NA,1,geo
