indicator_harmonized,indic_ids,sources,policy,Categories,Categories_2,Subcategories,Subcategories_2,source,mea
official development assistance provided in support of the cbd objectives,GA_3_51_381;IPBES_GA3_sup_67,IPBES,0,Governance,NA,Legislation/governance,NA,IPBES,FALSE
old ship logbooks,IPCC_2_58_90,IPCC,0,Knowledge systems,NA,Specific information on human-nature relationship,NA,IPCC,FALSE
one-in-20 year return value of maximum five-day precipitation,IPCC_sup_33,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
one-in-20 year return value of maximum one-day precipitation,IPCC_sup_32,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
one-in-20 year return value of monthly maximum value of daily maximum temperature,IPCC_sup_17,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
one-in-20 year return value of monthly maximum value of daily minimum temperature,IPCC_sup_20,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
one-in-20 year return value of monthly minimum value of daily maximum temperature,IPCC_sup_18,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
one-in-20 year return value of monthly minimum value of daily minimum temperature,IPCC_sup_19,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
online interest in biodiversity (proportion of google searches),GA_3_15_329;IPBES_GA3_sup_4,IPBES,0,Knowledge systems,NA,Information on biodiversity,NA,IPBES,FALSE
opening up of forest canopy,GA_2.2_65_113,IPBES,0,Direct drivers,NA,Land conversion,NA,IPBES,FALSE
organisms` size or growth,GA_4_34_176,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
other governance-related indicator on cms implementation,CMS_G1.3_5,CMS,1,Governance,NA,Nature-based legislation,NA,CMS,TRUE
other spatial management plans (not captured as iczm or marine spatial planning in 14.2.1),GBF_T1_CY_108,GBF,1,Governance,NA,Nature-based legislation,NA,GBF,TRUE
outcome-based indicators(s) related to (extent of) wetland restoration possibly including remote sensing as appropriate,RAMSAR_SG3.12_41,RAMSAR,1,ecosystems,NA,Restoration efforts,NA,RAMSAR,TRUE
overall species abundance,GA_1_52_19,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
overexploitation of resources by outsiders and locals,GA_2.2_6_56,IPBES,0,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,IPBES,FALSE
pacific decadal oscillation (pdo),IPCC_2_89_154;IPCC_3_80_205,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
pacific decadal variability (pdv),IPCC_3_78_203;IPCC_3_80_206;IPCC_3_81_208,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
paleo-temperature records,IPCC_2_29_62,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
palmer drought severity index (pdsi),IPCC_8_66_403;IPCC_11_58_543;IPCC_11_60_549;IPCC_sup_40,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
pan evaporation measurements,IPCC_11_61_551,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
"parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",SDG_G4.5.1_62,SDG,1,Human assets,NA,Coverage of basic needs,ILK,SDG,TRUE
"participation rate in organized learning (one year before the official primary entry age), by sex",SDG_G4.2.2_59,SDG,1,Human assets,NA,Coverage of basic needs,NA,SDG,TRUE
"participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",SDG_G4.3.1_60,SDG,1,Human assets,NA,Coverage of basic needs,NA,SDG,TRUE
passenger and freight volumes by mode of transport,GA_3_128_421,IPBES,0,Human assets,NA,Infrastructure (build-up area),NA,IPBES,FALSE
"passenger and freight volumes, by mode of transport",SDG_G9.1.2_118;IPBES_SUA_sup_9.1.2_60,SDG;IPBES,1,Human assets,NA,Infrastructure (build-up area),NA,SDG,TRUE
"passenger and freight volumes, by mode of transport",SDG_G9.1.2_118;IPBES_SUA_sup_9.1.2_60,SDG;IPBES,1,Human assets,NA,Infrastructure (build-up area),NA,IPBES,FALSE
peatland extent and condition,GBF_GA_CY_6,GBF,1,ecosystems,NA,State of ecosystems (coverage),NA,GBF,TRUE
penman-monteith aed (atmospheric evaporative demand),IPCC_11_61_551,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
people per ouletlet mcdonals,IPBES_GA2.1_sup_19,IPBES,0,Knowledge systems,NA,Infrastructure (build-up area),NA,IPBES,FALSE
peoples’ preferences or spending on safeguarding biodiversity and ecosystem services,VA_3_2_52,IPBES,0,Knowledge systems,NA,Specific information on human-nature relationship,NA,IPBES,FALSE
per capita calorie intake,IPBES_GA2.1_sup_8,IPBES,0,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs,IPBES,FALSE
per capita consumption,GA_2_22_28,IPBES,0,Human well-being,NA,Healthy living conditions,NA,IPBES,FALSE
percent of total land area that is under cultivation,GBF_T1_CY_111,GBF,1,ecosystems,NA,State of ecosystems,NA,GBF,TRUE
percentage change in local species richness,IPBES_GA3_sup_55,IPBES,0,biodiversity,NA,Change in biodiversity,NA,IPBES,FALSE
percentage loss of red list indexed species from ramsar sites,RAMSAR_SG2.5_20,RAMSAR,1,biodiversity,NA,Change in biodiversity,NA,RAMSAR,TRUE
percentage of abroad land use footprint,GA_2_118_47,IPBES,0,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,IPBES,FALSE
percentage of agricultural and urban areas,GA_2_118_47,IPBES,0,Human assets,NA,Information on society and socio-economics,NA,IPBES,FALSE
percentage of biosphere reserves that have a positive conservation outcome and effective management,GBF_T3_CY_141,GBF,1,Governance,ecosystems,Nature-based legislation,Area conservation,GBF,TRUE
percentage of bloodstream infections due to selected antimicrobial-resistant organisms,SDG_G3.d.2_55,SDG,1,Direct drivers,NA,(Infectious) diseases,NA,SDG,TRUE
"percentage of cities with direct participation structure of civil society in urban planning and management, which operate regularly and democratically",GEO_15_21_173,GEO,0,Knowledge systems,NA,Information on society and socio-economics,NA,GEO,FALSE
percentage of contracting parties that have provided additional financial support through voluntary contributions to non-core funded convention activities,RAMSAR_OG4.17_60,RAMSAR,1,Governance,NA,Nature-based funding,NA,RAMSAR,TRUE
percentage of countries that are category 1 cites parties,GA_1_52_19;GA_3_15_329;IPBES_GA3_sup_9,IPBES,0,Governance,NA,Nature-based legislation,NA,IPBES,FALSE
percentage of countries that have ratified the nagoya protocol,IPBES_GA3_sup_59,IPBES,0,Governance,NA,Nature-based legislation,NA,IPBES,FALSE
percentage of countries with invasive alien species legislation,GA_3_72_395;IPBES_GA3_sup_35,IPBES,0,Governance,NA,Nature-based legislation,NA,IPBES,FALSE
percentage of countries with revised nbsaps,IPBES_GA3_sup_60,IPBES,0,Governance,NA,Nature-based legislation,NA,IPBES,FALSE
percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,GBF_T17_CY_228,GBF,1,Governance,NA,Nature-based legislation,NA,GBF,TRUE
percentage of cropped landscapes with at least 10 percentage natural land,GBF_T2_CY_122,GBF,1,ecosystems,NA,State of ecosystems,NA,GBF,TRUE
percentage of days when daily maximum temperature is greater than the 90th percentile,IPCC_sup_5,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,IPCC,FALSE
percentage of days when daily maximum temperature is less than the 10th percentile,IPCC_sup_6,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,IPCC,FALSE
percentage of days when daily minimum temperature is greater than the 90th percentile,IPCC_sup_7,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,IPCC,FALSE
percentage of days when daily minimum temperature is less than the 10th percentile,IPCC_sup_8,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,IPCC,FALSE
percentage of freshwater key biodiversity areas covered by protected areas,GA_3_72_395,IPBES,0,ecosystems,NA,Area conservation,NA,IPBES,FALSE
percentage of global rural population with access to improved water resources,IPBES_GA3_sup_58,IPBES,0,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs,IPBES,FALSE
percentage of land and seas covered by biodiversity-inclusive spatial plans,GBF_T1_H_15,GBF,1,ecosystems,NA,Area conservation,NA,GBF,TRUE
percentage of live coral cover,GA_2.2_70_120;GA_3_34_361,IPBES,0,ecosystems,NA,State of ecosystems,NA,IPBES,FALSE
percentage of marine ecoregions covered by protected areas,IPBES_GA3_sup_45,IPBES,0,ecosystems,NA,Area conservation,NA,IPBES,FALSE
percentage of marine key biodiversity areas covered by protected areas,GA_3_72_395,IPBES,0,ecosystems,NA,Area conservation,NA,IPBES,FALSE
percentage of parties having a national inventory of invasive alien species that currently or potentially impact the ecological character of wetlands,RAMSAR_SG1.4_11,RAMSAR,1,ecosystems,Direct drivers,Change in biodiversity,Invasive alien species,RAMSAR,TRUE
percentage of parties having national ramsar committees that include both governmental and non-governmental representation,RAMSAR_SG1.3_9,RAMSAR,1,Governance,NA,Nature-based legislation,NA,RAMSAR,TRUE
percentage of parties reporting actions taken to implement incentive measures that encourage the conservation and wise use of wetlands,RAMSAR_SG1.3_6,RAMSAR,1,Governance,ecosystems,Nature-based legislation,Area conservation,RAMSAR,TRUE
percentage of parties reporting actions taken to remove perverse incentive measures that discourage conservation and wise use of wetlands,RAMSAR_SG1.3_7,RAMSAR,1,Governance,ecosystems,National/international cooperation,Area conservation,RAMSAR,TRUE
percentage of parties reporting having sufficient information to enforce the convention,CITES_G2.3.2_17,CITES,1,Knowledge systems,Governance,Information on biodiversity,National/international cooperation,CITES,TRUE
percentage of parties reporting having sufficient information to make listing decisions that are reflective of species conservation needs,CITES_G2.4.1_18,CITES,1,Knowledge systems,Governance,Information on biodiversity,National/international cooperation,CITES,TRUE
"percentage of parties reporting private sector undertaking activities for the conservation, wise use and management of wetlands in general",RAMSAR_SG1.3_8,RAMSAR,1,Governance,NA,National/international cooperation,NA,RAMSAR,TRUE
percentage of parties reporting to the ramsar secretariat all cases of negative human-induced change or likely change in the ecological character of ramsar sites pursuant to article 3.2,RAMSAR_SG2.7_26,RAMSAR,1,ecosystems,NA,Change in ecosystems,NA,RAMSAR,TRUE
percentage of parties that co-developed or otherwise supported the capacity of indigenous peoples and local communities to pursue livelihoods,CITES_G4.1.2_36,CITES,1,Knowledge systems,Governance,Specific information on ILK and IPLC,National/international cooperation,CITES,TRUE
percentage of parties that consider wetlands as natural water infrastructure integral to water resource management at the scale of river basin,RAMSAR_SG3.9_33,RAMSAR,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,RAMSAR,TRUE
percentage of parties that have adopted wetland policies or equivalent instruments that promote the wise use of their wetlands,RAMSAR_SG3.9_32,RAMSAR,1,Governance,NA,Nature-based legislation,NA,RAMSAR,TRUE
percentage of parties that have been involved in the development and implementation of a regional initiative under the framework of the convention,RAMSAR_OG4.15_49;RAMSAR_OG4.18_64,RAMSAR,1,Governance,NA,Nature-based legislation,NA,RAMSAR,TRUE
percentage of parties that have branded world wetlands day activities,RAMSAR_OG4.16_50,RAMSAR,1,Knowledge systems,NA,Specific information on human-nature relationship,NA,RAMSAR,TRUE
percentage of parties that have complete national wetland inventories,RAMSAR_SG3.8_30,RAMSAR,1,Knowledge systems,NA,Information on biodiversity,NA,RAMSAR,TRUE
percentage of parties that have effective cooperative management in place for shared wetland systems (for example in shared river basins and coastal zones),RAMSAR_OG4.18_66,RAMSAR,1,Governance,NA,National/international cooperation,NA,RAMSAR,TRUE
percentage of parties that have established national action plans for wetland cepa,RAMSAR_OG4.16_56,RAMSAR,1,Governance,NA,Nature-based legislation,NA,RAMSAR,TRUE
percentage of parties that have established networks including twinning arrangements nationally or internationally for knowledge sharing and training for wetlands that share common features,RAMSAR_OG4.18_65,RAMSAR,1,Governance,NA,National/international cooperation,NA,RAMSAR,TRUE
percentage of parties that have established or reviewed national policies or guidelines on invasive wetland species control and management,RAMSAR_SG1.4_10,RAMSAR,1,Governance,Direct drivers,Nature-based legislation,Invasive alien species,RAMSAR,TRUE
percentage of parties that have established restoration plans [or activities] for sites,RAMSAR_SG3.12_39,RAMSAR,1,ecosystems,NA,Restoration efforts,NA,RAMSAR,TRUE
percentage of parties that have implemented effective restoration or rehabilitation projects,RAMSAR_SG3.12_40,RAMSAR,1,ecosystems,NA,Restoration efforts,NA,RAMSAR,TRUE
percentage of parties that have implemented programmes or projects that contribute to poverty alleviation objectives or food and water security plans,RAMSAR_SG3.11_38,RAMSAR,1,Human well-being,NA,Healthy living conditions,NA,RAMSAR,TRUE
percentage of parties that have included wetland issues into national strategies and in the planning processes such as for water resource management and water efficiency plans,RAMSAR_SG1.2_4,RAMSAR,1,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems,RAMSAR,TRUE
percentage of parties that have included wetland issues within national policies or measures on agriculture,RAMSAR_SG1.1_3,RAMSAR,1,Governance,Ecosystem services,Nature-based legislation,Specific monetary valuation of nature contribution,RAMSAR,TRUE
percentage of parties that have included wetland issues within national strategies and planning processes such as water resource management and water efficiency plans,RAMSAR_SG1.1_2,RAMSAR,1,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems,RAMSAR,TRUE
percentage of parties that have incorporated wetlands issues into poverty eradication strategies,RAMSAR_SG3.11_37,RAMSAR,1,Governance,Human well-being,Nature-based legislation,Healthy living conditions,RAMSAR,TRUE
percentage of parties that have made an assessment of national and local training needs for the implementation of the convention,RAMSAR_OG4.19_70,RAMSAR,1,Governance,NA,National/international cooperation,NA,RAMSAR,TRUE
percentage of parties that have made assessment of ecosystem services of ramsar sites,RAMSAR_SG1.1_1;RAMSAR_SG3.11_36,RAMSAR,1,Knowledge systems,Ecosystem services,Information on biodiversity,Nature contribution,RAMSAR,TRUE
percentage of parties that have made assessments of effective management of ramsar sites,RAMSAR_SG2.5_16,RAMSAR,1,Knowledge systems,Governance,Information on biodiversity,Nature-based legislation,RAMSAR,TRUE
percentage of parties that have received funding support from development assistance agencies for national wetlands conservation and management,RAMSAR_OG4.17_61,RAMSAR,1,Governance,NA,Nature-based funding,NA,RAMSAR,TRUE
percentage of parties that have taken actions to address the issues for which ramsar sites have been listed on the montreux record,RAMSAR_SG2.7_28,RAMSAR,1,ecosystems,NA,State of ecosystems (integrity),NA,RAMSAR,TRUE
percentage of parties that have updated their national inventories in the last decade,RAMSAR_SG3.8_31,RAMSAR,1,Knowledge systems,NA,Information on biodiversity,NA,RAMSAR,TRUE
percentage of parties to the cartagena protocol on biosafety implementing the relevant provisions of the protocol,GBF_T17_CY_225,GBF,1,Governance,NA,Nature-based legislation,NA,GBF,TRUE
percentage of parties to the nagoya - kuala lumpur supplementary protocol,GBF_T17_CY_227,GBF,1,Governance,NA,Nature-based legislation,NA,GBF,TRUE
percentage of parties where co-ordination mechanisms for the implementation of meas exist at a national level,RAMSAR_OG4.18_67,RAMSAR,1,Governance,NA,National/international cooperation,NA,RAMSAR,TRUE
percentage of parties with a) a governmental cepa national focal point and b) a non-governmental national focal point,RAMSAR_OG4.16_55,RAMSAR,1,Governance,NA,National/international cooperation,NA,RAMSAR,TRUE
percentage of population living in dense urban areas,GA_2.3_50_149,IPBES,0,Human well-being,NA,Healthy living conditions,NA,IPBES,FALSE
percentage of population using safely managed drinking water services,GA_1_52_19,IPBES,0,Human well-being,NA,Healthy living conditions,NA,IPBES,FALSE
"percentage of population who believe decision making is inclusive and responsive, by sex, age, disability and population group",GBF_T23_CY_269,GBF,1,Human well-being,NA,Equity,Wellness,GBF,TRUE
"percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",GBF_T22_CY_255;GBF_T23_CY_264,GBF,1,Human well-being,NA,Equity,NA,GBF,TRUE
percentage of ramsar sites that have updated ramsar information sheets,RAMSAR_SG2.5_17,RAMSAR,1,Knowledge systems,NA,Information on biodiversity,NA,RAMSAR,TRUE
percentage of ramsar sites which have improved the sustainability of water use in the context of ecosystem requirements,RAMSAR_SG1.2_5,RAMSAR,1,Ecosystem services,ecosystems,Specific mention of sustainable use of species/ecosystems,State of ecosystems (integrity),RAMSAR,TRUE
percentage of spatial plans utilizing information on key biodiversity areas,GBF_T1_CY_106,GBF,1,Governance,NA,Nature-based legislation,NA,GBF,TRUE
percentage of terrestrial domesticated animal breeds at risk,IPBES_GA3_sup_53,IPBES,0,biodiversity,NA,Species conservation,NA,IPBES,FALSE
percentage of terrestrial ecoregions covered by protected areas,GA_3_72_395;GA_3_72_395;IPBES_GA3_sup_42;IPBES_GA3_sup_44,IPBES,0,ecosystems,NA,Area conservation,NA,IPBES,FALSE
percentage of the population exposed to annual mean pm concentrations above the highest interim target of 35 μg/m,GEO_20_8_233,GEO,0,Direct drivers,NA,Pollution,NA,GEO,FALSE
percentage of the population in traditional occupations,GBF_T9_H_28,GBF,1,Human assets,NA,Information on society and socio-economics,NA,GBF,TRUE
percentage of the total funds required to implement the work programme agreed by the conference of the parties that is fully funded,CITES_G3.3.2_27,CITES,1,Governance,NA,Nature-based funding,NA,CITES,TRUE
percentage of threatened species that are improving in status,GBF_GA_CY_35;GBF_T4_CY_149,GBF,1,biodiversity,NA,Species conservation,Change in biodiversity,GBF,TRUE
percentage of undernourished people,GA_1_52_19,IPBES,0,Knowledge systems,Human well-being,Information on society and socio-economics,Healthy living conditions,IPBES,FALSE
permafrost temperature,IPCC_2_62_101,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,IPCC,FALSE
"permafrost thickness, depth and extent",GBF_GA_CY_7,GBF,1,ecosystems,NA,State of ecosystems,NA,GBF,TRUE
permafrost-vegetation relationships,IPCC_2_62_100,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
permanent surface water extent,GA_2.2_37_70;IPBES_GA2.2_sup_18,IPBES,0,ecosystems,NA,Abiotic conditions,NA,IPBES,FALSE
"pest, invasive or harmful species",GA_4_34_176,IPBES,0,Direct drivers,NA,Invasive alien species,NA,IPBES,FALSE
pesticide use,GA_3_51_381;GA_3_54_387;IPBES_GA2.1_sup_42;IPBES_GA3_sup_31,IPBES,0,Direct drivers,NA,Pollution,NA,IPBES,FALSE
pesticide use per area of cropland,GBF_T7_CY_180,GBF,1,Direct drivers,NA,Pollution,NA,GBF,TRUE
ph and desoxygenation,IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
ph of ocean surface water,IPCC_1_32_16,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
phenology of economically and/or culturally important wild plant and animal species,GA_2.3_40_140,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
phenology of marine biota,IPCC_2_26_47,IPCC,0,biodiversity,NA,State of biodiversity,NA,IPCC,FALSE
phosphorus (p) loads,GA_3_74_399,IPBES,0,Direct drivers,NA,Pollution,NA,IPBES,FALSE
photo series analysis using social media,VA_3_48_73,IPBES,0,Knowledge systems,NA,Information on biodiversity,NA,IPBES,FALSE
photo-rankings,VA_2_38_28,IPBES,0,Knowledge systems,NA,Information on biodiversity,NA,IPBES,FALSE
phylogenetic distance,IAS_3_84_95,IPBES,0,biodiversity,NA,Genetic diversity,NA,IPBES,FALSE
phylogenetic diversity,GA_2.3_42_143,IPBES,0,biodiversity,NA,Genetic diversity,NA,IPBES,FALSE
phytoplankton abundance,IPCC_2_74_118,IPCC,0,biodiversity,NA,State of biodiversity,NA,IPCC,FALSE
phytoplankton community structure,IPCC_2_75_119,IPCC,0,biodiversity,NA,State of biodiversity,NA,IPCC,FALSE
piped drinking water,GEO_22_21_257,GEO,0,Human well-being,NA,Healthy living conditions,NA,GEO,FALSE
planck temperature response,IPCC_7_56_335,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
planetary pressures adjusted human development index (hdi),VA_2_38_29,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA,IPBES,FALSE
plant water use efficiency (wue),IPCC_8_65_401,IPCC,0,Ecosystem services,NA,Nature contribution,NA,IPCC,FALSE
plastic debris density,GBF_T7_CY_176;SDG_G14.1.1.b_184;IPBES_SUA_sup_14.1.1.b_111,GBF;SDG;IPBES,1,Direct drivers,NA,Pollution,NA,GBF,TRUE
plastic debris density,GBF_T7_CY_176;SDG_G14.1.1.b_184;IPBES_SUA_sup_14.1.1.b_111,GBF;SDG;IPBES,1,Direct drivers,NA,Pollution,NA,SDG,TRUE
plastic debris density,GBF_T7_CY_176;SDG_G14.1.1.b_184;IPBES_SUA_sup_14.1.1.b_111,GBF;SDG;IPBES,1,Direct drivers,NA,Pollution,NA,IPBES,FALSE
pm 10 emissions,GEO_20_6_228,GEO,0,Direct drivers,NA,Pollution,NA,GEO,FALSE
pm 2.5 emissions,GEO_20_6_228,GEO,0,Direct drivers,NA,Pollution,NA,GEO,FALSE
pm2.5 emissions,GEO_12_16_119,GEO,0,Direct drivers,NA,Pollution,NA,GEO,FALSE
polar ice sheets,GEO_4_13_34,GEO,0,ecosystems,NA,State of ecosystems,NA,GEO,FALSE
poleward shifts in the south atlantic convergence zone (sacz),IPCC_8_45_390,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
policies make adequate provisions to minimize impacts of fisheries on threatened species,GA_1_52_19,IPBES,0,Governance,NA,Nature-based legislation,NA,IPBES,FALSE
policies to secure that mortalities and significant indirect adverse impacts on non-target species are accounted for are in place,GA_1_52_19,IPBES,0,Governance,NA,Nature-based legislation,NA,IPBES,FALSE
political stability and absence of violence/terrorism,IPBES_GA2.1_sup_67,IPBES,0,Governance,Human well-being,Legislation/governance,Wellness,IPBES,FALSE
pollen deposition,GA_2.3_42_143,IPBES,0,ecosystems,NA,State of ecosystems,NA,IPBES,FALSE
pollen presence,IPCC_2_24_46;IPCC_2_62_100,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
pollinator diversity,GA_2.3_2_125;GA_2.3_42_143,IPBES,0,Direct drivers,NA,Pollution,NA,IPBES,FALSE
population density,IPBES_GA2.1_sup_21,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA,IPBES,FALSE
population extinctions,GA_2.3_75_161,IPBES,0,biodiversity,NA,Change in biodiversity,NA,IPBES,FALSE
population growth (annual percentage),IPBES_GA2.1_sup_20,IPBES,0,biodiversity,NA,Change in biodiversity,NA,IPBES,FALSE
population in megacities,IPBES_GA2.1_sup_28,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA,IPBES,FALSE
population in the largest city,IPBES_GA2.1_sup_27,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA,IPBES,FALSE
population involved in hunting and gathering,GBF_GB_CY_76,GBF,1,Human assets,Ecosystem services,Coverage of basic needs,Nature contribution,GBF,TRUE
population size,GA_2.3_40_140;SUA_2_97_80,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
population-weighted annual mean concentration of pm2.5,GEO_12_15_115,GEO,0,Direct drivers,NA,Pollution,NA,GEO,FALSE
population-weighted ozone concentrations,IPCC_6_73_321,IPCC,0,Direct drivers,NA,Pollution,NA,IPCC,FALSE
population-weighted pm2.5 concentrations,IPCC_6_73_321,IPCC,0,Direct drivers,NA,Pollution,NA,IPCC,FALSE
position of 15n atom in atmospheric n2o,IPCC_5_36_279,IPCC,0,Direct drivers,NA,Climate change,NA,IPCC,FALSE
positive incentives in place to promote biodiversity conservation and sustainable use,GBF_T18_H_43,GBF,1,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems,GBF,TRUE
possible use or further development of indicator(s) linked to work currently being undertaken to develop indicator(s) for related aichi target 18 of the strategic plan for biodiversity,RAMSAR_SG3.10_35,RAMSAR,1,Knowledge systems,NA,Specific information on ILK and IPLC,NA,RAMSAR,TRUE
potential evaporation anomalies,IPCC_11_58_543,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
"potential evaporation, evaporative demand drought index",IPCC_sup_35,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
poverty,GEO_3_5_16,GEO,0,Human assets,Human well-being,State of economy,Healthy living conditions,GEO,FALSE
poverty gap,IPBES_GA2.1_sup_3,IPBES,0,Human assets,Human assets,Coverage of basic needs,Income,IPBES,FALSE
power dissipation index,IPCC_9_104_471;IPCC_11_79_569,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
precipiation,IPCC_8_28_370,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
precipitable water vapour,IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
precipitation,IPCC_2_26_47;IPCC_3_8_164;IPCC_8_43_384,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
precipitation deciles and percentiles,IPCC_11_58_543,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
precipitation deficits,IPCC_11_58_544,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
precipitation index,IPCC_4_8_221,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
precipitation intensity-duration thresholds,IPCC_12_17_598,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
precipitation-evaporation,IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
predatory fish biomass,GA_2.2_37_70;IPBES_GA2.2_sup_74,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
premature deaths,GEO_5_19_45,GEO,0,Human well-being,NA,Healthy living conditions,NA,GEO,FALSE
premature deaths in 2016 to household air pollution,GEO_5_19_45,GEO,0,Human well-being,Direct drivers,Healthy living conditions,Pollution,GEO,FALSE
presence of regulations requiring recovery of depleted species,GA_1_52_19,IPBES,0,Governance,biodiversity,Nature-based legislation,Species conservation,IPBES,FALSE
presense of endemic species,GEO_13_18_135,GEO,0,biodiversity,NA,State of biodiversity,NA,GEO,FALSE
pressure ozone trend,GEO_5_17_42,GEO,0,ecosystems,NA,Abiotic conditions,NA,GEO,FALSE
"prevalence of anaemia in women aged 15 to 49 years, by pregnancy status (percentage)",SDG_G2.2.3_18;IPBES_SUA_sup_2.2.3_16,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA,SDG,TRUE
"prevalence of anaemia in women aged 15 to 49 years, by pregnancy status (percentage)",SDG_G2.2.3_18;IPBES_SUA_sup_2.2.3_16,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA,IPBES,FALSE
prevalence of certain species,SUA_2_97_80,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
prevalence of knowledge about seasonal cycles in their communities,SUA_2_97_80,IPBES,0,Knowledge systems,NA,ILK,NA,IPBES,FALSE
"prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the who child growth standards) among children under 5 years of age, by type (wasting and overweight)",SDG_G2.2.2_17;IPBES_SUA_sup_2.2.2_15,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA,SDG,TRUE
"prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the who child growth standards) among children under 5 years of age, by type (wasting and overweight)",SDG_G2.2.2_17;IPBES_SUA_sup_2.2.2_15,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA,IPBES,FALSE
"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale",GBF_GB_CY_77;SDG_G2.1.2_15;IPBES_SUA_sup_2.1.2_13,GBF;SDG;IPBES,1,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions,GBF,TRUE
