indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,indic_id,ipcc_sup,ga_sup,sua_sup,indic
energy use (kg of oil equivalent per capita),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
mobile cellular subscriptions,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
fossil-fuel energy consumption (% of total),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
renewable electricity consumption (% of total electricity output),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
electric power consumption (kwh per capita),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
access to electricity,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
alternative and nuclear energy (% of total energy use),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
protein intake per country per person,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"energy supply derived from cereals, roots and tubers",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
people per ouletlet mcdonals,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
population growth (annual %),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
population density,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
child mortality rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
urban population,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
total international migrant stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
refugee population,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
migration net,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
population in the largest city,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
population in megacities,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
agricultural land,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
livestock indigenous animals,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
livestock density of cattle,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
livestock density of animals (chickens),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
area of agricultural land under organic production,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"international tourism, number of departures",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"international tourism, number of arrivals",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
container port traffic (teu: 20 foot equivalent units),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
air passengers,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
air departures,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
deaths from air pollution,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
ghg emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
pesticide use,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
fertilizers used,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
air pollution,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
nitrogenen deposition trends,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
ghg emissions change,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
extraction ores,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
extraction all of biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
extraction of ind. and const. minerals,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
extraction biomass food,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
extraction biomass forestry,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
extraction biomass feed,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
extraction biomass animals,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
extraction other biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
extraction fossil-fuel,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
water withdrawal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
renewable internal freshwater resource,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
agricultural water withdrawal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
ramsar sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
certified forest area,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
united nations framework convention on climate change,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
convention of fishing and conservation of the living resources of the high seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
montreal protocol,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
convention on biological diversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
convention on the conservation of antarctic marine living resources,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"credit to agriculture, forestry and fishing",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
political stability and absence of violence/terrorism,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
above-ground biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
biodiversity habitat index (hotspots),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
coastal carbon-rich habitat,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
coastal protection habitats,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
forest area,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
extent of intact forest landscapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
extent of marine wilderness,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
extent of terrestrial wilderness,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
fraction of ocean not fished per year,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
land not cultivated or urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
land not cultivated or urban (hotspots),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
land not cultivated or urban (indigenous lands),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
leaf area index (lai),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
mangrove forest area,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
extent of suitable habitat,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
permanent surface water extent,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
remaining primary vegetation,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
remaining primary vegetation (hotspots),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
remaining primary vegetation (indigenous lands),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
seagrass meadow area,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
soil organic carbon (correlative model),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
soil organic carbon (mechanistic models),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
tree cover,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
vegetation biomass (mechanistic models),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
biological pump efficiency,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
biomass turnover rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
evapotranspiration (model ensemble),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
marine net primary production,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
net primary production remaining in ecosystems,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
oceanic carbon sequestration,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
terrestrial c sequestration (model ensemble),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
terrestrial net primary production (model ensemble),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
terrestrial net primary production (remote-sensing),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
biodiversity intactness index (hotspots),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
biodiversity intactness index (indigenous lands),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
local species richness (biotime),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
mean species abundance (msa) (hotspots),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
mean species abundance (msa) (indigenous lands),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"biodiversity intactness index (tropical forest, hotspots)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"biodiversity intactness index (tropical forest, indigenous lands)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
biodiversity intactness index (tropical forest),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
bird species per grid cell,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
cumulative introduced invasive aliens,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
forest-specialist bird species per grid cell,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
functional intactness (madingley) (madingley),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
species richness per grid cell,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
global bird richness (csar),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
global forest-specialist bird richness (csar),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
global mammal and bird species remaining,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
red list index (forest specialists),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
red list index (internationally traded birds),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
extent of suitable habitat (mammals),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
mammalian range size,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
megafaunal range size,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
living planet index (freshwater),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
living planet index (marine),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
living planet index (terrestrial),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
predatory fish biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
prey fish biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
wild bird index (habitat specialists),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
wild mammal biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
functional richness (madingley),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
mammalian body mass,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
marine trophic index (mti),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
extent of each ecoregion globally,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
landscape dominance of habitat,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
number of managed bee hives,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
abundance of managed and wild pollinators,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
pollinator diversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
proportion pollinator dependent vegetables/fruit in food supply,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
number of visitors to national parks in the eeuu,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
output from pollinator dependent crops,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
carbon stocks in ecosystems,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
prevented emissions from biofuel use,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
vegetation type and cover in areas prone to soil dust emission,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
leaf properties,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
vegetation type and cover in areas prone to soil dust movement,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
concentration of air pollutants in the air,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
retention and prevented emissions of air pollutants by ecosystems,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
amelioration of health problems caused by air pollution resulted from ecosystem contributions to air quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
reduction in the number of deaths caused by air pollution reduction by ecosystems,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"premature deaths caused by pollution emissions by natural sources, biomass burning, firewood use and agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
cost reduction with healthcare resulted from ecosystem contributions to air quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
cost reduction associated to prevented deaths caused by air pollution as consequence of ecosystems’ deposition of air pollutants,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
vegetation-atmosphere co2 exchange,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
below- and above-ground biomass stocks,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
biomass changes,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
remote sensed vegetation,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
mechanistic models that quantify and disentangle effects of vegetation on climate and hydrological cycle,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
atmospheric sounding,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
infiltrability,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
air temperature low-cost thermal imagery,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
soil organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
dust emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
net greenhouse gases emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
air-sea and sediment-water fluxes of carbon and co2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
air-sea fluxes of other greenhouse gases such as dimethyl sulfide,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
dissolved organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
co2 removal from atmosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
net primary production,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
abundance of sulfate reducing microorganisms,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
carbon sequestration,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
concentration of greenhouse gases in the atmosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
prevented emissions and uptake of greenhouse gases by ecosystems,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
number of deaths caused by extreme climatic events,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
food security and climate change,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
number of undernourished people,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
crop production breaks caused by climate change,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"economic impacts of climate change on specific aspects of regional economic activity, such as labour productivity, the supply of production factors such as capital, and changes in the structure of demand",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
extent of marine vegetation,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
extent of marine calcification,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
net primary production seaweed aquaculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
extent of coral reefs,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
land use change that causes a change in et,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
change in terrestrial biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
change in extent of wetlands and inland water bodies,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"biotic mediation of air-surface-groundwater partitioning (water demand by vegetation, infiltration)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
water availability,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
water available for people relative to demand,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
extent of irrigated area,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
water shortage,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
desertification,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
how much kw hrs that are dependent on water ag (irrigated area),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
suspended organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
existence of non-crop or urban in a place dominated by either,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
capacity of ecosystem to filter (or add) constituent components (extent of vegetation),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
concentration of constituents (pollutants) in the water,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
reduced incidence of water borne disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
avoided water treatment costs,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
rain-use efficiency adjusted ndvi,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
crop yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
soil depth,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
food security,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
soil biodiversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
soil quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
soil degradation impact on crop productivity,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
coral reefs distribution and extent,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
mangrove distribution and abundance,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
saltmarsh distribution and abundance,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
coastal forest distribution and extent,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
globally available combined bathy/topo,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
globally available data for waves and wind,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
globally available continental shelf,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
thousands of deaths each year,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
billions of dollars each year,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
fraction of people die due to flood,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
fraction of people infected with disease of flood,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
post-traumatic stress disorder score,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
cumulative exposure indicators,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
psychological health indicators,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
direct tangible damage loss,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
landscape inundated by the flood,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"absolute damage to roads and transportation, power plant,etc",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
lowered incidence and impact of hazards,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
lowered flood peaks,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
lowered fuel load (fires),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
coastal protection,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
landslides stabilization,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
incidence of hazards,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
reduced morbidity and premature mortality,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
reduced property loss,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
near- or on-farm habitat diversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
landscape complexity,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
abundance of alternative hosts species,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
avoided costs of pesticide use,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
avoided costs of health treatment of vbd,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
reduced pesticide use,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
reduced prevalence of vbd,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
diversity of biological controllers of pests,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
diversity of competent hosts of vector-borne and zoonotic diseases,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
abundance of wild and managed biological controllers of pests,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
abundance of competent hosts of vector-born and zoonotic diseases,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
avoided pest damage to crop and livestock,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
reduced incidence rate of vector-borne and zoonotic diseases,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"tonnage of biomass (sugar cane, corn, palm oil)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
land area in biomass production,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
tonnage of fuelwood,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
biomass estimates in forests,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
numbers of livestock and use rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"tonnage of biomass (sugar cane, corn, palm oil), other energy crops",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
yield (production) in tonnage,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
biofuel yield in joules or liters,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"biofuel yield in joules or liters from agricultural/horticultural residue, forestry industry residue, other organic residues or by-products from various industries/process",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
biofuel yield in joules or liters from industrial effluents and/or municipal solid waste,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
biofuel yield joules or liters from algal/microalgae biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
population directly reliant on biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
kwh x price,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
tons of oil equivalent x price,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
land suitability and extent of bioenergy crop and livestock producing and harvesting areas,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
diversity and abundance of species for bioenergy use,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
energy content of bioenergy crops,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
tonnage of animal waste used for energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
increased energy security,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
revenue from bioenergy production,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
yield per hectare converted to caloric or nutrient yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
agrodiversity and landraces known to date for major crops,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
remote sensing of croplands,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
types of agroecosystems,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
landed catch,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
aquaculture production,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
quantity of fish produced for animal/aquaculture feed,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
mean length of catch,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
large fish indicator,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
trophic level of the landed catch,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
mean length of fish in the community,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
proportion of predatory fish,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
trophic level of the community,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
proportion of non-declining species in the surveyed community,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
change in mean fish size,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
trends in fisheries certified by the msc,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
status of assessed fish stocks,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
indicator of unsustainable fisheries (iuu),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
ebfm performance index,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
fisheries management effectiveness index,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
fisheries management index,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
value of production,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
value of catch,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"nutritional output (calories, nutrients)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
farm size distribution,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
nutrition derived from fish,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
fisheries revenues,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
gross value added (gva),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
potential catch loss,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
production of fish meal and fish oil use in aquaculture/animal feeds,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
number of jobs,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
arable land remaining,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
kcal capita,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
dietary diversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
hunger,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
malnutrition,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
timber harvest (m3/ha/year),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
grass/fodder (kg),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
bamboos and rattans market value,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
market value,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
gums (kg),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
resins (kg),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
latexes (kg),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
oil (kg),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
waxes (kg),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
tannins (kg),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
dyes (kg),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
cork (kg),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
bark (kg),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
