indicators_raw,gbf,ga,va,sua,sdg,ipbes,indicators_cleaned,indicators_harmonized,indicators_categorized,indicators_categorized2,duplicated_indicator
"number and volume of msc certified, consumer-facing products by distribution country",,,,,1,,marine stewardship council certified products,information on society,scientific knowledge,scientific knowledge,FALSE
marine strategy framework directive of the european union,,,,1,,1,marine strategy framework directive of the european union,nature-based legislation,legislative arrangements,governance,FALSE
marine trophic index,,1,,,1,1,marine trophic index,state of biodiveristy,biodiversity,biodiversity,FALSE
mti (marine trophic index),,1,,,,1,marine trophic index,state of biodiveristy,biodiversity,biodiversity,FALSE
market prices,,,,1,,1,market prices,state of economy,financial assets,financial assets,FALSE
market values,,,,1,,1,market prices,state of economy,financial assets,financial assets,FALSE
material footprint per capita,1,,,,,,material footprint,exploitation,exploitation,direct drivers,FALSE
"material footprint, material footprint per capita, and material footprint per gdp",,,,1,1,1,material footprint,exploitation,exploitation,direct drivers,FALSE
material ncp,,1,,,,1,material footprint,exploitation,exploitation,direct drivers,FALSE
matrial ncp,,1,,,,1,material ncp,exploitation,exploitation,direct drivers,FALSE
maternal mortality ratio,,,,,1,,maternal mortality ratio,information on society,scientific knowledge,scientific knowledge,FALSE
maximum sustainable yield,,,,1,,1,maximum sustainable yield,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
mean fish size,,1,,,,1,mean fish size,state of biodiveristy,biodiversity,biodiversity,FALSE
change in mean fish size,,1,,,,1,mean length of fish,state of biodiveristy,biodiversity,biodiversity,FALSE
mean length of fish,,1,,,,1,mean length of fish,state of biodiveristy,biodiversity,biodiversity,FALSE
mean length of fish in the community,,1,,,,1,mean length of fish,state of biodiveristy,biodiversity,biodiversity,FALSE
mean polar sea ice extent,,1,,,,1,mean polar sea ice extent,state of ecosystems,ecosystems,ecosystems,FALSE
mean species abundance (msa),1,1,,,,1,mean species abundance,state of biodiveristy,biodiversity,biodiversity,TRUE
species abundance distribution,,1,,,,1,mean species abundance,state of biodiveristy,biodiversity,biodiversity,FALSE
mean species abundance (msa),1,1,,,,1,mean species abundance (msa),state of biodiveristy,biodiversity,biodiversity,FALSE
mean species abundance index,,1,,,,1,mean species abundance index,state of biodiveristy,biodiversity,biodiversity,FALSE
mean species abundance index (hotspots),,1,,,,1,mean species abundance index (hotspots),state of biodiveristy,biodiversity,biodiversity,FALSE
mean species abundance index (indigenous lands),,1,,,,1,mean species abundance index (indigenous lands),state of biodiveristy,biodiversity,biodiversity,FALSE
medicinal species/total plants,,1,,,,1,medicinal species,nature contribution,ecosystem services,ecosystem services,FALSE
megafaunal range size,,1,,,,1,megafaunal range size,state of biodiveristy,biodiversity,biodiversity,FALSE
megafuanal range size,,1,,,,1,megafuanal range size,state of biodiveristy,biodiversity,biodiversity,FALSE
mibid index,,1,,,,1,mibid index,access to jobs/income,equity and freedom of choice and action,wellness,FALSE
minimize waste,,,,1,,1,minimize waste,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
mobile cellular subscriptions,,1,,,,1,mobile cellular subscriptions,wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
indicator on monetary benefits received,1,,,,,,monetary benefits,monetary nature contribution,ecosystem services,ecosystem services,FALSE
montreal protocol,,1,,,,1,montreal protocol,nature-based legislation,legislative arrangements,governance,FALSE
cumulative exposure indicators,,1,,,,1,mortality due to natural hazards,natural drivers,natural drivers,direct drivers,FALSE
fraction of people die due to flood,,1,,,,1,mortality due to natural hazards,natural drivers,natural drivers,direct drivers,FALSE
fraction of people infected with disease of flood,,1,,,,1,mortality due to natural hazards,natural drivers,natural drivers,direct drivers,FALSE
post-traumatic stress disorder score,,1,,,,1,mortality due to natural hazards,natural drivers,natural drivers,direct drivers,FALSE
reduced morbidity and premature mortality due to natural hazards,,1,,,,1,mortality due to natural hazards,natural drivers,natural drivers,direct drivers,FALSE
thousands of deaths each year,,1,,,,1,mortality due to natural hazards,natural drivers,natural drivers,direct drivers,FALSE
"mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",,,,,1,,"mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",information on society,scientific knowledge,scientific knowledge,FALSE
mortality rate attributed to unintentional poisoning,,,,,1,,mortality rate attributed to unintentional poisoning,information on society,scientific knowledge,scientific knowledge,FALSE
"mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",1,,,,,,mortality rate attributed to unsafe water,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
"mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all (wash) services)",,,,,1,,mortality rate attributed to unsafe water,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
avoided morbidity and premature mortality from air pollution,,1,,,,1,mortality rate from air pollution,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
deaths from air pollution,,1,,,,1,mortality rate from air pollution,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
mortality rate attributed to household and ambient air pollution,,,,,1,,mortality rate from air pollution,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
mortality rate attributed to household and ambient air pollution (sdg indicator 3.9.1),1,,,,,,mortality rate from air pollution,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
"premature deaths caused by pollution emissions by natural sources, biomass burning, firewood use and agriculture",,1,,,,1,mortality rate from air pollution,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
mountain green cover index,1,,,1,1,1,mountain green cover index,state of ecosystems (coverage),ecosystems,ecosystems,FALSE
multidimensional poverty index,,1,,,,1,multidimensional poverty index,access to jobs/income,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
municipal solid waste collected and managed,1,,,,,,municipal solid waste collected and managed,pollution,pollution,direct drivers,FALSE
nagoya protocol,,1,,,,1,nagoya protocol,nature-based legislation,legislative arrangements,governance,FALSE
national aggregate indices of income,,1,,,,1,national aggregate indices of income,access to jobs/income,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
national biodiversity strategy,,1,,,,1,national biodiversity strategy,nature-based funding,legislative arrangements,governance,FALSE
national greenhouse inventories from land use and land use change,1,,,,,,national greenhouse gas inventories,climate change,climate change,direct drivers,FALSE
number of countries that have national statistical legislation that complies with the fundamental principles of official statistics,,,,1,1,1,national statistical legislation,information on society,scientific knowledge,scientific knowledge,FALSE
"number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",,,,1,1,1,national statistical legislation,information on society,scientific knowledge,scientific knowledge,FALSE
"existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",,,,1,1,1,national strategy for youth employment,access to jobs/income,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
nationally maintained research vessels,1,,,,,,nationally maintained research vessels,information on society,scientific knowledge,scientific knowledge,FALSE
area of natural and traditional landscapes and seascapes,,1,,,,1,natural and traditional landscapes and seascapes,state of ecosystems (coverage),ecosystems,ecosystems,FALSE
natural habitat extent,,1,,,,1,natural habitat extent,state of biodiveristy,biodiversity,biodiversity,FALSE
percentage of natural habitat extent,,1,,,,1,natural habitat extent,state of biodiveristy,biodiversity,biodiversity,FALSE
more than 25% of new chemical entities déveloped for drugs for all diseases treated at the global level over the last 30 years are derived from natural products or chemical leads from nmps and more than 70% of drugs to treat cancers derive directly from nmps,,1,,,,1,natural medicinal products,nature contribution,ecosystem services,ecosystem services,FALSE
natural medicinal products and manufactured bio-derived medicines,,1,,,,1,natural medicinal products,nature contribution,ecosystem services,ecosystem services,FALSE
medicinal plants known to date and accessible for health care as a proxy for all natural medicinal products (nmps).,,1,,,,1,natural medicinal products (nmps),nature contribution,ecosystem services,ecosystem services,FALSE
"indirect access to natural products from natural habitats (e.g. natural products consumed in towns, food, medicine materials for architecture, horticulture) typically related rich urban dwellers.",,1,,,,1,natural products consumption,nature contribution,ecosystem services,ecosystem services,FALSE
natural resource use and exploitation,,,1,,,1,natural resource use and exploitation,monetary nature contribution,ecosystem services,ecosystem services,FALSE
nature-based income,,1,,,,1,nature-based income,nature contribution,ecosystem services,ecosystem services,FALSE
indicator based on task force for nature-related financial disclosures,1,,,,,,nature-related financial disclosures,nature-based funding,legislative arrangements,governance,FALSE
nature's contribution to people,,,1,,,1,nature's contribution to people,nature contribution,ecosystem services,ecosystem services,FALSE
neonatal mortality rate,,,,,1,,neonatal mortality rate,information on society,scientific knowledge,scientific knowledge,FALSE
net primary production,,1,,,,1,net primary production,state of ecosystems (integrity),ecosystems,ecosystems,FALSE
net primary production (npp),,1,,,,1,net primary production (npp),state of ecosystems (integrity),ecosystems,ecosystems,FALSE
"extent of marine vegetation, e.g. net primary production and seaweed aquaculture",,1,,,,1,net primary production seaweed aquaculture,monetary nature contribution,ecosystem services,ecosystem services,FALSE
extent of marine vegetation: net primary production seaweed aquaculture,,1,,,,1,net primary production seaweed aquaculture,monetary nature contribution,ecosystem services,ecosystem services,FALSE
net primary productivity,,1,,,,1,net primary productivity,state of ecosystems (integrity),ecosystems,ecosystems,FALSE
new drugs production and sales,,1,,,,1,new drugs discovered based on natural medicinal products,nature contribution,ecosystem services,ecosystem services,FALSE
percentage of new drugs discovered over the last 30 years based on natural medicinal products,,1,,,,1,new drugs discovered based on natural medicinal products,nature contribution,ecosystem services,ecosystem services,FALSE
the recent appearance of new grass in grazing areas,,,1,,,1,new grass in grazing areas,state of biodiveristy,biodiversity,biodiversity,FALSE
ngan-gi seasons calendar,,,,1,,1,ngan-gi seasons calendar,ILK,ILK,ILK,FALSE
nitrogen and phosphate fertilizers,,1,,,,1,nitrogen and phosphate fertilizers,pollution,pollution,direct drivers,FALSE
nitrogen use balance,,1,,,,1,nitrogen use balance,pollution,pollution,direct drivers,FALSE
nitrogen use efficiency,,1,,,,1,nitrogen use efficiency,pollution,pollution,direct drivers,FALSE
nitrogren surplus,,1,,,,1,nitrogren surplus,pollution,pollution,direct drivers,FALSE
no poverty,,1,,,,1,no poverty,access to jobs/income,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
npp remaining in ecosystems,,1,,,,1,npp in ecosystems,state of ecosystems,ecosystems,ecosystems,FALSE
number of assessments on the iucn red list,1,,,,,,number of assessments in red list index,information on biodiversity,scientific knowledge,scientific knowledge,FALSE
"(a) number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (atms) per 100,000 adults",,,,,1,,"number of automated teller machines (atms) per 100,000 adults",information on socio-economics,scientific knowledge,scientific knowledge,TRUE
"(a) number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (atms) per 100,000 adults",,,,,1,,"number of commercial bank branches per 100,000 adults",information on socio-economics,scientific knowledge,scientific knowledge,FALSE
number of companies publishing sustainability reports,1,,,1,1,1,number of companies publishing sustainability reports,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
"number of companies reporting on disclosures of risks, dependencies and impacts biodiversity",1,,,,,,"number of companies reporting on disclosures of risks, dependencies and impacts biodiversity",nature-based legislation,legislative arrangements,governance,FALSE
number of contracting parties to the international treaty on plant genetic resources for food and agriculture,,,,,1,,number of contracting parties to the international treaty on plant genetic resources for food and agriculture,genetic resources,biodiversity,biodiversity,FALSE
number of contracting parties to the international treaty on plant genetic resources for food and agriculture (adapted for wild species),,,,1,,1,number of contracting parties to the international treaty on plant genetic resources for food and agriculture,genetic resources,biodiversity,biodiversity,FALSE
"number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production",,,,1,1,1,"number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production",nature-based legislation,legislative arrangements,governance,FALSE
"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation",1,,,,,,"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation",legislation regarding ILK and IPLC,legislative arrangements,governance,FALSE
number of countries implementing sustainable public procurement policies and action plans3,,,,,1,,number of countries implementing sustainable public procurement policies and action plans,nature-based legislation,legislative arrangements,governance,FALSE
number of countries incorporating trade in their national biodiversity policy,1,,,,,,number of countries incorporating trade in their national biodiversity policy,nature-based legislation,legislative arrangements,governance,FALSE
"number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the united nations convention on the law of the sea, for the conservation and sustainable use of the oceans and their resources",,,,1,1,1,"number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the united nations convention on the law of the sea, for the conservation and sustainable use of the oceans and their resources",nature-based legislation,legislative arrangements,governance,FALSE
number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,,,,1,1,1,number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
"number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",,,,,1,,"number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",information on society,scientific knowledge,scientific knowledge,FALSE
"number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",,,,1,1,1,"number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",national/international cooperation,legislative arrangements,governance,FALSE
number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,1,,,,,,number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
number of countries that establish and implement risk management measures,1,,,,,,number of countries that establish and implement risk management measures,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",1,,,1,1,1,"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",equity,equity and freedom of choice and action,wellness,FALSE
"number of countries that have (a) assessed values of biodiversity, in accordance with the convention, (b) identified and reported funding needs, gaps and priorities (c)developed national financial plans for biodiversity; (d) been provided with the necessary funding and capacity building to undertake the above activities",1,,,,,,number of countries that have assessed values of biodiversity,nature-based legislation,legislative arrangements,governance,FALSE
"(a) number of countries that have established national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011–2020 in their national biodiversity strategy and action plans and the progress reported towards these targets; and (b) integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",,,,1,1,1,number of countries that have established national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011–2020 in their national biodiversity strategy and action plans and the progress reported towards these targets,nature-based legislation,legislative arrangements,governance,FALSE
"number of countries that have (a) assessed values of biodiversity, in accordance with the convention, (b) identified and reported funding needs, gaps and priorities (c)developed national financial plans for biodiversity; (d) been provided with the necessary funding and capacity building to undertake the above activities",1,,,,,,"number of countries that have identified and reported funding needs, gaps and priorities, developed national financial plans for biodiversity, been provided with the necessary funding and capacity building to undertake the above activities",nature-based funding,legislative arrangements,governance,TRUE
number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space,,,,1,1,1,number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space,information on society,scientific knowledge,scientific knowledge,FALSE
number of countries that have ratified the nagoya protocol,,1,,,,1,number of countries that have ratified the nagoya protocol,nature-based legislation,legislative arrangements,governance,FALSE
"number of parties to the convention on biological diversity (cbd) that have deposited the instrument of ratification, acceptance, approval or accession of the nagoya protocol",,,1,,1,1,number of countries that have ratified the nagoya protocol,nature-based legislation,legislative arrangements,governance,FALSE
percentage of countries that have ratified the nagoya protocol,,1,,,,1,number of countries that have ratified the nagoya protocol,nature-based legislation,legislative arrangements,governance,FALSE
percentage of parties to the nagoya – kuala lumpur supplementary protocol,1,,,,,,number of countries that have ratified the nagoya protocol,nature-based legislation,legislative arrangements,governance,FALSE
"number of countries that have reported legislative, administrative and policy frameworks for measures to implement the international treaty",,,,,1,,"number of countries that have reported legislative, administrative and policy frameworks for measures to implement the international treaty",nature-based legislation,legislative arrangements,governance,FALSE
number of countries that have the necessary biosafety legal and administrative measures in place,1,,,,,,number of countries that have the necessary biosafety legal and administrative measures in place,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
number of countries that have the necessary measures and means for detection and identification of products of biotechnology,1,,,,,,number of countries that have the necessary measures and means for detection and identification of products of biotechnology,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
number of countries that implement their biosafety measures,1,,,,,,number of countries that implement their biosafety measures,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
number of countries using ecosystem-based approaches to managing marine areas,,,,1,1,1,number of countries using ecosystem-based approaches to managing marine areas,nature-based legislation,legislative arrangements,governance,FALSE
number of countries using natural capital accounts in planning processes,1,,,,,,number of countries using natural capital,nature-based funding,legislative arrangements,governance,FALSE
number of countries using ocean accounts in planning processes,1,,,,,,number of countries using ocean accounts in planning processes,nature-based legislation,legislative arrangements,governance,FALSE
number of countries with biodiversity-relevant charges and fees,1,,,,1,,number of countries with biodiversity-relevant fees,nature-based funding,legislative arrangements,governance,FALSE
number of countries with biodiversity-relevant taxes,1,,,,1,,number of countries with biodiversity-relevant taxes,nature-based funding,legislative arrangements,governance,FALSE
number of countries with biodiversity-relevant tradable permit schemes,1,,,,1,,number of countries with biodiversity-relevant tradable permit schemes,nature-based legislation,legislative arrangements,governance,FALSE
number of countries with developed or revised nbsaps,,,1,,1,1,number of countries with developed or revised nbsaps,nature-based legislation,legislative arrangements,governance,FALSE
number of countries with implementation of the system of environmental economic accounting,1,,,,,,number of countries with implementation of the system of environmental economic accounting,nature-based legislation,legislative arrangements,governance,FALSE
"number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education",,,,,1,,"number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education",information on society,scientific knowledge,scientific knowledge,FALSE
number of countries with legal and technical measures for restoration and compensation,1,,,,,,number of countries with legal and technical measures for restoration and compensation,nature-based legislation,legislative arrangements,governance,FALSE
number of countries with mechanisms in place to enhance policy coherence of sustainable development,,,,1,1,1,number of countries with mechanisms in place to enhance policy coherence of sustainable development,nature-based legislation,legislative arrangements,governance,FALSE
number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,1,,,,,,number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,nature-based legislation,legislative arrangements,governance,FALSE
"number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",,,,1,1,1,"number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",national/international cooperation,legislative arrangements,governance,FALSE
"sustainable development goals/organization for economic cooperation and development: number of countries with national instruments on biodiversity-relevant taxes, charges and fees",,,,1,,1,"number of countries with national instruments on biodiversity-relevant taxes, charges and fees",nature-based legislation,legislative arrangements,governance,FALSE
"number of countries with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications",,,,1,,1,"number of countries with nationally determined contributions, long-term strategies, national adaptation plans",nature-based legislation,legislative arrangements,governance,FALSE
"number of countries with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",,,,,1,,"number of countries with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",nature-based legislation,legislative arrangements,governance,FALSE
number of countries (and number of instruments) with payments for ecosystem services (pes) programmes,1,,,,,,number of countries with payments for ecosystem services programs,nature-based legislation,legislative arrangements,governance,FALSE
number of countries with policies to secure that (fish) mortalities are accounted for and kept within safe biological limits,,,,1,,1,number of countries with policies to secure that mortalities are accounted for and kept within safe biological limits,nature-based legislation,legislative arrangements,governance,FALSE
number of countries with regulations requiring recovering recovered of depleted species,,,,1,,1,number of countries with regulations requiring recovering of depleted species,nature-based legislation,legislative arrangements,governance,FALSE
number of countries with systems to track and make public allocations for gender equality and women’s empowerment,1,,,,,,number of countries with systems to track and make public allocations for gender equality and women’s empowerment,equity,equity and freedom of choice and action,wellness,FALSE
number of deaths caused by extreme climatic events,,1,,,,1,number of deaths caused by extreme climatic events,natural drivers,natural drivers,direct drivers,FALSE
"(a) damage to critical infrastructure and (b) number of disruptions to basic services, attributed to disasters",,,,,1,,number of disruptions to basic services attributed to disasters,natural drivers,natural drivers,direct drivers,TRUE
number of fisheries,,,,1,,1,number of fisheries,monetary nature contribution,ecosystem services,ecosystem services,FALSE
number of formal and nonformal education programmes transmitting spiritual and cultural values in the unesco world network of biosphere reserves,1,,,,,,number of formal and nonformal education programmes transmitting spiritual and cultural values,cultural diversity,equity and freedom of choice and action,wellness,FALSE
number of hectares of unesco designated sites (natural and mixed world heritage sites and biosphere reserves),1,,,,,,number of hectares of unesco designated sites,cultural diversity,equity and freedom of choice and action,wellness,FALSE
sustainable development goals/organization for economic cooperation and development: number of intangible cultural heritage practices - under the category of 'knowledge and practices concerning nature' per country (sustainable use),,,,1,,1,number of intangible cultural heritage practices,nature-based legislation,legislative arrangements,governance,FALSE
number of invasive alien species in national lists as per the global register of introduced and invasive species,1,,,,,,number of invasive alien species in national lists as per the global register of introduced and invasive species,information on biodiversity,scientific knowledge,scientific knowledge,FALSE
"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",,,,,1,,"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",nature-based legislation,legislative arrangements,governance,FALSE
"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications",1,,,1,,1,"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications",information on society,scientific knowledge,scientific knowledge,FALSE
number of managed bee hives,,1,,,,1,number of managed bee hives,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
"number of mixed sites (having both natural and cultural outstanding universal values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the unesco world heritage list and unesco world network of biosphere reserves",1,,,,,,"number of mixed sites, cultural landscapes and natural sites with cultural values",nature contribution,ecosystem services,ecosystem services,FALSE
number of msc chain of custody certification holders by distribution country,1,,,,1,,number of msc chain of custody certification holders by distribution country,information on society,scientific knowledge,scientific knowledge,FALSE
"number of new hiv infections per 1,000 uninfected population, by sex, age and key populations",,,,,1,,"number of new hiv infections per 1,000 uninfected population, by sex, age and key populations",access to health,health,wellness,FALSE
"number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement",,,,,1,,"number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement",nature-based legislation,legislative arrangements,governance,FALSE
number of parties with increased capacity or outputs: parties that have implemented relevant resolutions and decisions,,,,1,,1,number of parties with increased capacity or outputs: parties that have implemented relevant resolutions and decisions,state of economy,financial assets,financial assets,FALSE
number of people in close proximity to nature,,1,,,,1,number of people in close proximity to nature,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
number of people requiring interventions against neglected tropical diseases,,,,,1,,number of people requiring interventions against neglected tropical diseases,access to health,health,wellness,FALSE
"number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",1,,,,,,"number of people using wild resources for energy, food or culture",nature contribution,ecosystem services,ecosystem services,FALSE
number of people who died or disappeared in the process of migration towards an international destination,,,,,1,,number of people who died or disappeared in the process of migration towards an international destination,information on society,scientific knowledge,scientific knowledge,FALSE
number of people who died or disappeared in the process of migration towards an international destinationi,,,,1,,1,number of people who died or disappeared in the process of migration towards an international destination,information on society,scientific knowledge,scientific knowledge,FALSE
number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,1,,,,,,number of permits for genetic resources,genetic resources,biodiversity,biodiversity,FALSE
number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,,,,,1,,number of plant and animal genetic resources for food and agriculture secured,genetic resources,biodiversity,biodiversity,FALSE
number of plant and animal genetic resources for food and agriculture secured in medium- or long-term conservation facilities,1,,,,,,number of plant and animal genetic resources for food and agriculture secured,genetic resources,biodiversity,biodiversity,FALSE
number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,,,,1,,1,number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities,nature-based legislation,legislative arrangements,governance,FALSE
number of plant genetic resources for food and agriculture secured in conservation facilities,,1,,,,1,number of plant genetic resources for food and agriculture secured in conservation facilities,genetic resources,biodiversity,biodiversity,FALSE
number of protected areas that have completed a site-level assessment of governance and equity (sage),1,,,,,,number of protected areas that have completed a site-level assessment of governance and equity (sage),nature-based legislation,legislative arrangements,governance,FALSE
"number of protected areas, parks and gardens",,1,,,,1,"number of protected areas, parks and gardens",nature contribution,ecosystem services,ecosystem services,FALSE
number of publications and the source and quality of the publications,,,,1,,1,number of publications and the source and quality of the publications,information on society,scientific knowledge,scientific knowledge,FALSE
number of research studies involving economic valuation,,1,,,,1,number of research studies involving economic valuation,information on society,scientific knowledge,scientific knowledge,FALSE
number of scientists per population,1,,,,,,number of scientists per population,information on society,scientific knowledge,scientific knowledge,FALSE
number of species listed in the appendices of the convention on international trade in endangered species of wild fauna and flora,,,,1,,1,number of species listed in cites,state of biodiveristy,biodiversity,biodiversity,FALSE
number of species occurrence records in ghe global biodversity information facility,,1,,,,1,number of species occurrence records in gbif,information on biodiversity,scientific knowledge,scientific knowledge,FALSE
number of traded live  animals/plants listed in cites databases,,1,,,,1,number of traded species listed in cites,exploitation,exploitation,direct drivers,FALSE
"number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",,,,,1,,"number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",broken governance,legislative arrangements,governance,FALSE
"number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",,,,,1,,"number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",broken governance,legislative arrangements,governance,FALSE
"number of victims of intentional homicide per 100,000 population, by sex and age",,,,,1,,"number of victims of intentional homicide per 100,000 population, by sex and age",broken governance,legislative arrangements,governance,FALSE
nutrition derived from fish,,1,,,,1,nutritional value,monetary nature contribution,ecosystem services,ecosystem services,FALSE
"nutritional output (calories, nutrients)",,1,,,,1,nutritional value,monetary nature contribution,ecosystem services,ecosystem services,FALSE
prevalence of obesity in the adult population (18 years and older),,1,,,,1,obesity,human consumption,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
ocean acidification,1,,,,,,ocean acidification,pollution,pollution,direct drivers,FALSE
ocean acidity,,1,,,,1,ocean acidification,pollution,pollution,direct drivers,FALSE
ocean health index,1,1,,1,1,1,ocean health index,state of ecosystems (marine),ecosystems,ecosystems,FALSE
oceanic carbon sequestration,,1,,,,1,oceanic carbon sequestration,nature contribution,ecosystem services,ecosystem services,FALSE
oecd better life index,,1,,,,1,better life index,wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
official development assistance for biodiversity,,,,,1,,official development assistance for biodiversity,nature-based legislation,legislative arrangements,governance,FALSE
official development assistance provided in support of the cbd objectives,,1,,,,1,official development assistance for biodiversity,nature-based legislation,legislative arrangements,governance,FALSE
(a) official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,1,1,1,official development assistance for conservation and sustainable use of biodiversity,nature-based legislation,legislative arrangements,governance,FALSE
