Goal/target,indicators_harmonized,indic_id,indicators_orig,mea,ipbes,Categories,Subcategories,Categories_2,Subcategories_2
Target 7,index of coastal eutrophication potential (icep); (b) plastic debris density,GBF_CY_T7_174,Index of coastal eutrophication; (b) plastic debris density,NA,NA,NA,NA,NA,NA
Target 7,red list of ecosystems,GBF_CY_T7_175,Red List of Ecosystems,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Target 7,underwater noise pollution,GBF_CY_T7_176,Underwater noise pollution,GBF,NA,Direct Drivers,Pollution,NA,NA
Target 7,"name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",GBF_CY_T7_177,"Name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",GBF,NA,Direct Drivers,Pollution,NA,NA
Target 7,pesticide use per area of cropland,GBF_CY_T7_178,Pesticide use per area of cropland,GBF,NA,Direct Drivers,Pollution,NA,NA
Target 8,above-ground biomass stock in forest,GBF_CY_T8_179,Above-ground biomass stock in forest (tonnes/ha),GBF,NA,Ecosystems,State Of Ecosystems (Coverage),NA,NA
Target 8,national greenhouse inventories from land use and land use change,GBF_CY_T8_180,National greenhouse inventories from land use and land use change,GBF,NA,Direct Drivers,Climate Change,NA,NA
Target 8,proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,GBF_CY_T8_181,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,"GBF,SDG",1,Governance,Legislation/Governance,NA,NA
Target 8,"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",GBF_CY_T8_182,"Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications","GBF,SDG",1,Governance,Nature-Based Legislation,NA,NA
Target 8,index of coastal eutrophication potential (icep),GBF_CY_T8_183,Index of coastal eutrophication,"GBF,SDG",1,Ecosystems,State Of Ecosystems (Integrity),Direct Drivers,Pollution
Target 8,"carbon stocks and annual net ghg emissions, by landuse category, split by natural and non-natural land cover",GBF_CY_T8_184,"Carbon stocks and annual net GHG emissions, by landuse category, split by natural and non-natural land cover",GBF,NA,Direct Drivers,Climate Change,NA,NA
Target 9,proportion of fish stocks within biologically sustainable levels,GBF_CY_T9_185,Proportion of fish stocks within biologically sustainable levels,"GBF,SDG",1,Biodiversity,State Of Biodiversity,NA,NA
Target 9,"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",GBF_CY_T9_186,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing","GBF,SDG",1,Governance,Nature-Based Legislation,Governance,National/International Cooperation
Target 9,number of msc chain of custody certification holders by distribution country,GBF_CY_T9_187,Number of MSC Chain of Custody Certification holders by distribution country,GBF,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA
Target 9,spawning stock biomass (related to commercially exploited species),GBF_CY_T9_188,Spawning stock biomass (related to commercially exploited species),GBF,NA,Ecosystem Services,Nature Contribution,Biodiversity,State Of Biodiversity
Target 9,number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,GBF_CY_T9_189,Number of plant and animal genetic resources for food and agriculture secured in medium- or longterm conservation facilities,GBF,1,Biodiversity,Genetic Resources,NA,NA
Target 9,volume of production per labour unit by classes of farming/pastoral/ forestry enterprise size,GBF_CY_T9_190,Volume of production per labour unit by classes of farming/pastoral/ forestry enterprise size,NA,NA,NA,NA,NA,NA
Target 10,agrobiodiversity index,GBF_CY_T10_191,Agrobiodiversity Index,GBF,NA,Ecosystem Services,Nature Contribution,Biodiversity,State Of Biodiversity
Target 10,soil organic carbon (soc) stocks,GBF_CY_T10_192,Changes in soil organic carbon stocks,"GBF,UNCCD",NA,Ecosystems,Abiotic Conditions,Ecosystem Services,Nature Contribution
Target 10,red list index (wild relatives of farmed and domesticated species),GBF_CY_T10_193,Red List Index (wild relatives of domesticated animals),GBF,1,Biodiversity,State Of Biodiversity,Ecosystem Services,Nature Contribution
Target 10,red list index (pollinators),GBF_CY_T10_194,Red List Index (pollinating species),GBF,1,Biodiversity,State Of Biodiversity,Ecosystem Services,Nature Contribution
Target 10,proportion of local breeds classified as being at risk of extinction,GBF_CY_T10_195,Proportion of local breeds classified as being at risk extinction,"GBF,SDG",1,Biodiversity,Species Conservation,NA,NA
Target 10,proportion of land that is degraded over total land area,GBF_CY_T10_196,Proportion of land that is degraded over total land area,"GBF,SDG,UNCCD",1,Direct Drivers,Land Conversion,NA,NA
Target 11,air emission accounts,GBF_CY_T11_197,Air emission accounts,GBF,NA,Direct Drivers,Climate Change,NA,NA
Target 11,proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,GBF_CY_T11_198,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,"GBF,SDG",1,Governance,Legislation/Governance,NA,NA
Target 11,proportion of population using safely managed drinking water services,GBF_CY_T11_199,Proportion of population using safely managed drinking water services,"GBF,SDG",1,Human Assets,Coverage Of Basic Needs,NA,Information On Society And Socio-Economics
Target 11,mortality rate attributed to household and ambient air pollution,GBF_CY_T11_200,Mortality rate attributed to household and ambient air pollution,"GBF,SDG",NA,Human Well-Being,Healthy Living Conditions,Direct Drivers,Pollution
Target 13,total number of transfers of crop material from the multilateral system of the international treaty on plant genetic resources for food and agriculture (itpgrfa) received in a country,GBF_CY_T13_202,Total number of transfers of crop material from the Multilateral System of the International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA) received in a country,GBF,NA,Knowledge Systems,Information On Biodiversity,Biodiversity,Genetic Resources
Target 13,"total number of permits, or their equivalent, granted for access to genetic resources",GBF_CY_T13_203,"Total number of permits, or their equivalent, granted for access to genetic resources",GBF,NA,Governance,Nature-Based Legislation,Biodiversity,Genetic Resources
Target 13,total number of internationally recognized certificates of compliance published in the abs clearing-house,GBF_CY_T13_204,Total number of internationally recognized certificates of compliance published in the ABS Clearing-House,GBF,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA
Target 13,"number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the abs clearing-house",GBF_CY_T13_205,"Number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the ABS Clearing-House",GBF,NA,Governance,Nature-Based Legislation,NA,NA
Target 13,number of countries that require prior informed consent that have published information on abs procedures in the abs clearing-house,GBF_CY_T13_206,Number of countries that require prior informed consent that have published information on ABS procedures in the ABS Clearing-House,GBF,NA,Governance,Nature-Based Legislation,NA,NA
Target 13,"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",GBF_CY_T13_207,"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits","GBF,SDG",1,Human Well-Being,Equity,NA,NA
Target 13,estimated percentage of monetary and nonmonetary benefits directed towards conservation and sustainable use of biodiversity,GBF_CY_T13_208,Estimated percentage of monetary and nonmonetary benefits directed towards conservation and sustainable use of biodiversity,NA,NA,NA,NA,NA,NA
Target 14,human appropriation of net primary productivity,GBF_CY_T14_209,Human Appropriation of Net Primary Production (HANPP),GBF,1,Ecosystems,State Of Ecosystems (Coverage),Direct Drivers,Land Conversion
Target 14,co2 emission per unit of value added,GBF_CY_T14_210,CO2 emission per unit of value added,"GBF,SDG",1,Direct Drivers,Climate Change,NA,NA
Target 14,change in water-use efficiency over time,GBF_CY_T14_211,Change in water-use efficiency over time,"GBF,SDG",1,Human Assets,Infrastructure (Build-Up Area),NA,NA
Target 15,species threat abatement and restoration metric,GBF_CY_T15_212,Species threat abatement and restoration metric,GBF,NA,Biodiversity,Species Conservation,NA,NA
Target 15,number of companies publishing sustainability reports,GBF_CY_T15_213,Number of companies publishing sustainability reports,"GBF,SDG",1,Knowledge Systems,Information On Society And Socio-Economics,NA,NA
Target 16,"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",GBF_CY_T16_214,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments (SDG 4.7.1)",NA,NA,NA,NA,NA,NA
Target 16,recycling rate,GBF_CY_T16_215,Recycling rate,GBF,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA
Target 16,life cycle impact assessment (lcia) e.g. lime ; lifecycle impact assessment method based on endpoint modelling,GBF_CY_T16_216,Life cycle Impact assessment (LCIA) e.g. LIME ; Lifecycle Impact Assessment Method based on Endpoint Modelling,NA,NA,NA,NA,NA,NA
Target 16,levels of poverty in developing communities,GBF_CY_T16_217,Levels of poverty in developing communities,GBF,NA,Human Assets,Income,NA,State Of Economy
Target 17,number of countries that have the necessary biosafety legal and administrative measures in place,GBF_CY_T17_218,Number of countries that have the necessary biosafety legal and administrative measures in place,GBF,NA,Governance,Nature-Based Legislation,NA,NA
Target 17,number of countries that implement their biosafety measures,GBF_CY_T17_219,Number of countries that implement their biosafety measures,GBF,NA,Governance,Nature-Based Legislation,NA,NA
Target 17,number of countries that have the necessary measures and means for detection and identification of products of biotechnology,GBF_CY_T17_220,Number of countries that have the necessary measures and means for detection and identification of products of biotechnology,GBF,NA,Governance,Nature-Based Legislation,NA,NA
Target 17,number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,GBF_CY_T17_221,Number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,GBF,NA,Governance,Nature-Based Legislation,NA,NA
Target 17,number of countries that establish and implement risk management measures,GBF_CY_T17_222,Number of countries that establish and implement risk management measures,GBF,NA,Governance,Nature-Based Legislation,NA,NA
Target 17,percentage of parties to the cartagena protocol on biosafety implementing the relevant provisions of the protocol,GBF_CY_T17_223,Percentage of Parties to the Cartagena Protocol on Biosafety implementing the relevant provisions of the Protocol,GBF,NA,Governance,Nature-Based Legislation,NA,NA
Target 17,number of countries with legal and technical measures for restoration and compensation,GBF_CY_T17_224,Number of countries with legal and technical measures for restoration and compensation,GBF,NA,Governance,Nature-Based Funding,NA,NA
Target 17,percentage of parties to the nagoya - kuala lumpur supplementary protocol,GBF_CY_T17_225,Percentage of Parties to the Nagoya - Kuala Lumpur Supplementary Protocol,GBF,NA,Governance,Nature-Based Legislation,NA,NA
Target 17,percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,GBF_CY_T17_226,Percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,GBF,NA,Governance,Nature-Based Legislation,NA,NA
Target 17,number of countries that establish and implement risk management measures,GBF_CY_T17_227,Number of countries that establish and implement risk management measures,GBF,NA,Governance,Nature-Based Legislation,NA,NA
Target 17,number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,GBF_CY_T17_228,Number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,GBF,NA,Governance,Nature-Based Legislation,NA,NA
Target 18,number of countries with biodiversity relevant taxes,GBF_CY_T18_229,Number of countries with biodiversity-relevant taxes,NA,NA,NA,NA,NA,NA
Target 18,number of countries with biodiversity relevant charges and fees,GBF_CY_T18_230,Number of countries with biodiversity-relevant charges and fees,NA,NA,NA,NA,NA,NA
Target 18,number of countries with biodiversity relevant tradable permit schemes,GBF_CY_T18_231,Number of countries with biodiversity-relevant tradable permit schemes,NA,NA,NA,NA,NA,NA
Target 18,trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate),GBF_CY_T18_232,Trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate),GBF,NA,Governance,Nature Detrimental Legislation,NA,NA
Target 18,trends in the number and value of government fossil-fuel support measures,GBF_CY_T18_233,Trends in the number and value of government fossil fuel support measures,GBF,NA,Governance,Nature Detrimental Legislation,NA,NA
Target 18,amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption),GBF_CY_T18_234,Amount of fossil-fuel subsidies per unit of GDP (production and consumption),"GBF,SDG",1,Governance,Nature Detrimental Legislation,NA,NA
Target 19,amount of funding provided through the global environment facility and allocated to the biodiversity focal area,GBF_CY_T19_235,Amount of funding provided through the Global Environment Facility and allocated to the biodiversity focal area,GBF,NA,Governance,Nature-Based Funding,NA,NA
Target 19,"foreign direct investment (fdi), official development assistance and south-south cooperation as a proportion of total domestic budget",GBF_CY_T19_236,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget",GBF,1,Human Assets,Information On Society And Socio-Economics,NA,NA
Target 19,amount and composition of biodiversity-related finance reported to the oecd creditor reporting system,GBF_CY_T19_237,Amount and composition of biodiversity-related finance reported to the OECD Creditor reporting system,GBF,NA,Governance,Nature-Based Legislation,NA,NA
Target 19,"dollar value of financial and technical assistance (including through north-south, south-south and triangular cooperation) committed to developing countries",GBF_CY_T19_238,"Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to developing countries","GBF,SDG",NA,Governance,National/International Cooperation,NA,NA
Target 19,dollar value of all resources made available to strengthen statistical capacity in developing countries,GBF_CY_T19_239,Dollar value of all resources made available to strengthen statistical capacity in developing countries,"GBF,SDG",1,Governance,National/International Cooperation,NA,NA
Target 19,amount of biodiversity-related philanthropic funding,GBF_CY_T19_240,Amount of biodiversity-related philanthropic funding,GBF,NA,Governance,Nature-Based Funding,NA,NA
Target 19,proportion of total research budget allocated to research in the field of marine technology,GBF_CY_T19_241,Proportion of total research budget allocated to research in the field of marine technology,"GBF,SDG",1,Knowledge Systems,Information On Society And Socio-Economics,NA,NA
Target 19,"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBF_CY_T19_242,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies","GBF,SDG",1,Governance,Nature-Based Funding,NA,NA
Target 19,number of countries (and number of instruments) with payments for ecosystem services (pes) programmes,GBF_CY_T19_243,Number of countries (and number of instruments) with payments for ecosystem services (PES) programmes,GBF,NA,Governance,Nature-Based Funding,NA,NA
Target 19,"number of countries that have (a) assessed values of biodiversity, in accordance with the convention, (b) identified and reported funding needs, gaps and priorities (c)developed national financial plans for biodiversity; (d) been provided with the necessary funding and capacity building to undertake the above activities",GBF_CY_T19_244,"Number of countries that have (a) Assessed values of biodiversity, in accordance with the Convention, (b) Identified and reported funding needs, gaps and priorities (c)Developed national financial plans for biodiversity; (d) Been provided with the necessary funding and capacity building to undertake the above activities",NA,NA,NA,NA,NA,NA
Target 21,growth in number of records and species in the living planet index database,GBF_CY_T21_246,Growth in number of records and species in the Living Planet Index database,GBF,NA,Knowledge Systems,Information On Biodiversity,NA,NA
Target 21,species occurrence records accessible through the global biodiversity information facility,GBF_CY_T21_247,Growth in species occurrence records accessible through the Global Biodiversity Information Facility,GBF,1,Knowledge Systems,Information On Biodiversity,NA,NA
Target 21,growth in marine species occurrence records accessible through ocean biodiversity information system (obis),GBF_CY_T21_248,Growth in marine species occurrence records accessible through OBIS,GBF,NA,Knowledge Systems,Information On Biodiversity,NA,NA
Target 21,proportion of known species assessed through the red list index,GBF_CY_T21_249,Proportion of known species assessed through the IUCN Red List.,GBF,1,Biodiversity,Species Conservation,NA,NA
Target 21,number of assessments on the red list index,GBF_CY_T21_250,Number of assessments on the IUCN Red List of threatened species,GBF,NA,Biodiversity,Species Conservation,NA,NA
Target 21,world association of zoos and aquariums (waza) bio-literacy survey (biodiversity literacy in global zoo and aquarium visitors),GBF_CY_T21_251,World Association of Zoos and Aquariums (WAZA) bio-literacy survey (Biodiversity literacy in global zoo and aquarium visitors),GBF,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA
Target 21,species status index,GBF_CY_T21_252,"Species Status Information Index
",GBF,1,Biodiversity,State Of Biodiversity,NA,NA
Target 22,"percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",GBF_CY_T22_253,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",NA,NA,NA,NA,NA,NA
Target 22,number of countries with systems to track and make public allocations for gender equality and women's empowerment,GBF_CY_T22_254,Number of countries with systems to track and make public allocations for gender equality and women's empowerment,GBF,NA,Human Well-Being,Equity,NA,NA
Target 22,"proportion of total agricultural population with ownership or secure rights over agricultural land, by sex and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",GBF_CY_T22_255,"Proportion of total agricultural population with ownership or secure tenure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",NA,NA,NA,NA,NA,NA
Target 22,number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,GBF_CY_T22_256,Number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,GBF,NA,Human Well-Being,Equity,Governance,Legislation/Governance
Target 22,number of protected areas that have completed a site-level assessment of governance and equity (sage),GBF_CY_T22_257,Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),GBF,NA,Ecosystems,Area Conservation,NA,NA
Target 22,"trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill",GBF_CY_T22_258,"Trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill",GBF,NA,Governance,Broken Governance,NA,NA
Target 22,land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure],GBF_CY_T22_259,Land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure],GBF,NA,Ecosystems,State Of Ecosystems,Knowledge Systems,Ilk
Target 22,"proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group",GBF_CY_T22_260,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group","GBF,SDG",NA,Human Well-Being,Equity,NA,Wellness
Target 23,"percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",GBF_CY_T23_261,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",NA,NA,NA,NA,NA,NA
Target 23,"proportion of total agricultural population with ownership or secure rights over agricultural land, by sex and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",GBF_CY_T23_262,"Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",NA,NA,NA,NA,NA,NA
Target 23,number of countries with systems to track and make public allocations for gender equality and women's empowerment,GBF_CY_T23_263,Number of countries with systems to track and make public allocations for gender equality and women's empowerment,GBF,NA,Human Well-Being,Equity,NA,NA
Target 23,number of protected areas that have completed a site-level assessment of governance and equity (sage),GBF_CY_T23_264,Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),GBF,NA,Ecosystems,Area Conservation,NA,NA
Target 23,"percentage of population who believe decision making is inclusive and responsive, by sex, age, disability and population group",GBF_CY_T23_265,"Percentage of population who believe decision making is inclusive and responsive, by sex, age, disability and population group",GBF,NA,Human Well-Being,Equity,NA,Wellness
Target 23,proportion of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,GBF_CY_T23_266,Proportion of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,NA,NA,NA,NA,NA,NA
NA,trends in awareness and attitudes to migratory species,SPMS_1_1,Trends in awareness and attitudes to migratory species,CMS,NA,Knowledge Systems,Information On Biodiversity,Biodiversity,State Of Biodiversity
NA,trends in integration of migratory species values in national and sectoral policies,SPMS_2_2,Trends in integration of migratory species values in national and sectoral policies,CMS,NA,Governance,Nature-Based Legislation,Knowledge Systems,Information On Biodiversity
NA,status of migratory species in trade,SPMS_5_1_3,Status of migratory species in trade,CMS,NA,Knowledge Systems,Information On Biodiversity,Ecosystem Services,Specific Monetary Valuation Of Nature Contribution
NA,wild commodities index (migratory species),SPMS_5_2_4,Wild Commodities Index (migratory species),CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity
NA,proportion of migratory fish stocks in safe biological limits,SPMS_6_5,Proportion of migratory fish stocks in safe biological limits,CMS,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,Biodiversity,State Of Biodiversity
NA,trends in threats to migratory species,SPMS_7_6,Trends in threats to migratory species,CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity
NA,red list index (migratory species),SPMS_8_1_7,Red List Index (migratory species),CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity
NA,red list index (cms-listed bird species),SPMS_8_1_1_8,red list index of species survival for cms-listed bird species,CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity
NA,red list index (migratory bird species),SPMS_8_1_2_9,red list index of species survival for migratory bird species,CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity
NA,red list index (cms-listed bird and mammal species),SPMS_8_1_3_10,red list index of species survival for cms-listed bird and mammal species,CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity
NA,living planet index (migratory species),SPMS_8_2_11,Living Planet Index (migratory species),CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity
NA,wild bird index (migratory birds),SPMS_8_3_12,Wild Bird Index (migratory birds),CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity
NA,trends in distribution of migratory species,SPMS_8_4_13,Trends in distribution of migratory species,CMS,NA,Biodiversity,Change In Biodiversity,Knowledge Systems,Information On Biodiversity
NA,"trends in conservation status, including connectivity, of identified habitats of key importance for migratory species",SPMS_10_1_14,"Trends in conservation status, including connectivity, of identified habitats of key importance for migratory species",CMS,NA,Biodiversity,Change In Biodiversity,Knowledge Systems,Information On Biodiversity
NA,coverage of key habitats for migratory species in protected areas,SPMS_10_2_15,Coverage of key habitats for migratory species in protected areas,CMS,NA,Ecosystems,Area Conservation,Governance,Nature-Based Legislation
NA,trends in protected area coverage of each key biodiversity area identified for cms-listed bird and mammal species,SPMS_10_2_1_16,Trends in protected area coverage of each Key Biodiversity Area identified for CMS-listed bird and mammal species,CMS,NA,Ecosystems,Change In Ecosystems,Governance,Nature-Based Legislation
NA,trends in protected area coverage of each key biodiversity area identified for migratory bird and mammal species,SPMS_10_2_2_17,Trends in protected area coverage of each Key Biodiversity Area identified for migratory bird and mammal species,CMS,NA,Ecosystems,Change In Ecosystems,Governance,Nature-Based Legislation
NA,management effectiveness of areas protected specifically for migratory species,SPMS_10_3_18,Management effectiveness of areas protected specifically for migratory species.,CMS,NA,Biodiversity,Change In Biodiversity,Governance,Nature-Based Legislation
NA,trends in delivery of ecosystem services directly dependent on migratory species,SPMS_11_19,Trends in delivery of ecosystem services directly dependent on migratory species,CMS,NA,Ecosystems,Change In Ecosystems,Governance,Nature-Based Legislation
NA,trends in genetic diversity of selected species,SPMS_12_20,Trends in genetic diversity of selected species,CMS,NA,Biodiversity,Change In Biodiversity,Biodiversity,Genetic Diversity
NA,trends in integration of migratory species concerns in national biodiversity strategies and action plans,SPMS_13_21,Trends in integration of migratory species concerns in National Biodiversity Strategies and Action Plans,CMS,NA,Biodiversity,Change In Biodiversity,Governance,Nature-Based Legislation
NA,"trends in the degree to which traditional knowledge and practices are respected through: full integration, participation and safeguards in national implementation of the strategic plan for migratory species",SPMS_14_22,"Trends in the degree to which traditional knowledge and practices are respected through: full integration, participation and safeguards in national implementation of the Strategic Plan for Migratory Species",CMS,NA,Knowledge Systems,Specific Information On Ilk And Iplc,Knowledge Systems,Information On Society And Socio-Economics
NA,number of validated publications on migratory species conservation actively disseminated for policy-relevant use,SPMS_15_23,Number of validated publications on migratory species conservation actively disseminated for policy-relevant use,CMS,NA,Knowledge Systems,Information On Biodiversity,NA,NA
NA,"aggregated international flows of funding, per annum, for achieving the goals of the strategic plan for migratory species",SPMS_16_24,"Aggregated international flows of funding, per annum, for achieving the goals of the Strategic Plan for Migratory Species.",CMS,NA,Governance,Nature-Based Legislation,NA,NA
NA,"amount of domestic financial support provided, per annum, to support those domestic activities which are intended to achieve the goals of the strategic plan for migratory species",SPMS_16_25,"Amount of domestic financial support provided, per annum, to support those domestic activities which are intended to achieve the goals of the Strategic Plan for Migratory Species.",CMS,NA,Governance,Nature-Based Legislation,NA,NA
NA,the number of parties that are in category 1 under the national legislation project,CITES_1_1_1_1,The number of Parties that are in category 1 under the national legislation project,CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,the number of parties that have designated management authorities and scientific authorities,CITES_1_1_2_2,The number of Parties that have designated Management Authorities and Scientific Authorities,CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,the number of parties subject to cites recommendations on trade,CITES_1_1_3_3,The number of Parties subject to CITES recommendations on trade,CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,the number of parties that have adopted standard transparent for timely procedures the issuance of permits in accordance with article vi of the convention,CITES_1_2_1_4,The number of Parties that have adopted standard transparent for timely procedures the issuance of permits in accordance with Article VI of the Convention,CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,the number of parties making use of the simplified procedures provided for in resolution conf.12.3 (rev.cop16),CITES_1_2_2_5,The number of Parties making use of the simplified procedures provided for in Resolution Conf.12.3 (Rev.CoP16),CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,the number of parties that have implemented relevant reporting under resolutions and decisions of the conference of the parties and/or standing committee recommendations,CITES_1_3_1_6,The number of Parties that have implemented relevant reporting under Resolutions and Decisions of the Conference of the Parties and/or Standing Committee recommendations,CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,the number and proportion of species that have been found to meet the criteria contained in resolution conf.9.24 or its successors. this includes both the periodic review and amendment proposals,CITES_1_4_1_7,The number and proportion of species that have been found to meet the criteria contained in Resolution Conf.9.24 or its successors. This includes both the periodic review and amendment proposals,CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the population status of appendix-ii species",CITES_1_5_1_8_a,"The number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in Resolution Conf.16.7 on Non detriment findings related to  the population status of Appendix-II species",CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the trends and impact of trade upon appendix-ii species",CITES_1_5_1_8_b,"The number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in Resolution Conf.16.7 on Non detriment findings related to  the trends and impact of trade upon Appendix-II species",CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the status of and trend in naturally-occurring appendix i species and the impact of any recovery plans",CITES_1_5_1_8_c,"The number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in Resolution Conf.16.7 on Non detriment findings related to the status of and trend in naturally-occurring Appendix I species and the impact of any recovery plans",CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,the number of parties that have adopted standard procedures for making non detriment findings,CITES_1_5_2_9,The number of Parties that have adopted standard procedures for making non detriment findings,CITES,NA,Governance,Nature-Based Legislation,NA,NA
NA,the number and proportion of annual export quotas based on population surveys,CITES_1_5_3_10,The number and proportion of annual export quotas based on population surveys,CITES,NA,Governance,Nature-Based Legislation,NA,NA
