indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,ga,sua,va,ias,geo,ipcc,ipbes,var,ILK_indicators,indicator,Categories,Categories_2,Subcategories,Subcategories_2
market value,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human assets,NA,State of economy,NA
gums (kg),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
resins (kg),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
latexes (kg),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
oil (kg),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
waxes (kg),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
tannins (kg),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
dyes (kg),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
cork (kg),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
bark (kg),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
cotton (t/ha),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
flax (t/ha/year)),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
jute yields (t/ha/year),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
sisal yields (t/ha/year),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
hemp yields (t/ha/year),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
silk cocoons (t/hear),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
coral solid units (number/year),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
pearls sold units (number/year),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
shell sold units (number/year),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
ornamental plants sold units (number/year or kg/year),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
pet fish sold units (number and species diversity/year),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
pet bird sold units (number and species diversity/year),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
pet reptile sold units (number and species diversity/year),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
pet amphibian sold units (number and species diversity/year),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
"other living organism for assistance number, stock density (number of horse/household)",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
health benefits provide by companion animals,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human well-being,Ecosystem services,Healthy living conditions,Nature contribution
"supply of fiber crops, resins, gum arabic",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
trade of silk,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human assets,Ecosystem services,Income,Nature contribution
"production of industrial roundwood, paper pulps",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
export and import of commodity data,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,NA,NA
export and import data,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,NA,NA
number of traded live animals/plants listed in cites databases,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
land suitability and extent of cotton producing area,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,ecosystems,Ecosystem services,State of ecosystems,Nature contribution
volume of round wood production,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
tonnage of cotton production,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
number of people employed in forest industry,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human assets,NA,Coverage of basic needs,NA
"number of people employed in garment industry (include fibre, cotton industry)",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human assets,NA,Coverage of basic needs,NA
map of medicinal plants overlaying plant richness at the global level,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
percentage of new drugs discovered over the last 30 years based on natural medicinal products,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Information on biodiversity,NA
"biodiversity with high potential for having bioactive principles for medicines or represent genetic resources useful for medicines agriculture or other purposes, that have been identified locally through ilk or by other knowledge systems at global levels for health treatments or other purposes (agriculture or other)",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
medicinal plants known to date and accessible for health care as a proxy for all natural medicinal products (national medicines policies),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
genetic resources and especially agrodiversity known to date and its linkage to food security,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,Genetic resources,NA
more than 25% of new chemical entities developed for drugs for all diseases treated at the global level over the last 30 years are derived from natural products or chemical leads from national medicines policies and more than 70% of drugs to treat cancers derive directly from national medicines policies,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
percentage of world population relying almost entirely on national medicines policies,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
percentage of modern drugs based on national medicines policies or bio-inspired molecules used for diseases at the global level,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
"percentages of wild plant collection harvested, traded",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
new drugs production and sales,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human assets,NA,Coverage of basic needs,NA
maps showing areas where humans mostly rely national medicines policies for health,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
biodiversity intactness index (for plants and vertebrates),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,biodiversity,NA,State of biodiversity,NA
in situ genetic resources of interest to science and ex situ gene banks or genetic and or chemical related informations,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
ability of learning through direct proximity of people with nature in biodiversity-rich landscapes or agroecosystems,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human assets,NA,Coverage of basic needs,NA
"elements (parts) of nature used in scientific experiments, from species to genes and their continued natural functional and evolutionary roles",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Information on biodiversity,NA
"care, mental health, cultural security, life-satisfaction",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
diversity and economic value of bioinspired production,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
areas including all uoa where people mainly rely on nature for their well being,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human well-being,Ecosystem services,Recreation,Nature contribution
recognition of ilpcs lifestyles in close interaction with nature and their access to their lands and resources,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,ILK,NA
human mobility to access different natural habitats for outdoor recreation,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human well-being,NA,Recreation,NA
indirect access to natural products from natural habitats,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
creation of new rural urban network,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
visitation rates of parks,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,Human well-being,Nature contribution,Recreation
people in proximity to parks or natural areas,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human well-being,NA,Healthy living conditions,Recreation
indigenous lands,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,ecosystems,ILK,State of ecosystems
green space in cities,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human well-being,NA,Healthy living conditions,NA
area of natural and traditional landscapes and seascapes,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,ecosystems,NA,State of ecosystems,NA
"number of protected areas, parks and gardens",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,ecosystems,NA,Area conservation,NA
"visitation rate to natural terrestrial, coastal and marine areas",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"increased awareness, care, mental health, cultural security, life-satisfaction",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human well-being,NA,Healthy living conditions,Wellness
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
abundance of slowly changing ecosystems (time past last land use change),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,ecosystems,NA,Change in ecosystems,NA
identity value,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human well-being,NA,Equity,NA
happyness,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human well-being,NA,Wellness,NA
quantitative genetic variation,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,Genetic resources,NA
phenotypic variation,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,State of biodiversity,Genetic diversity
neutral variation (markers not linked to traits under selection),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,State of biodiversity,Genetic diversity
non-neutral variation (markers linked to traits under selection),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,Genetic diversity,NA
phylogenetic variation (of genes or populations within species),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,State of biodiversity,Genetic diversity
demographic variation,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human well-being,NA,Cultural diversity,NA
"functional diversity (fd), rarity, redundancy, vulnerability",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
community-weighted mean trait value (cwm),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
phylogenetic diversity (pd),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,State of biodiversity,Genetic diversity
overdisperion/ underdispersion,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,Direct drivers,Change in biodiversity,Invasive alien species
taxonomic diversity and distinctness,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
"phylogenetic species richness (psr), clustering (psc), evenness (pse), variability (psv)",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,State of biodiversity,Genetic diversity
number of species,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
equitability (commonness and rareness),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,Genetic diversity,NA
species abundance distribution,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
endemism (% endemics in community),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Information on biodiversity,NA
emergence (shannon’s information),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,Genetic diversity,NA
genetic variation (self-organization),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,Genetic resources,NA
genetic variation (complexity),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,Genetic resources,NA
genetic variation (homeostasis),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,Genetic resources,NA
genetic variation (hamming distance),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,Genetic resources,NA
genetic variation (dissimilarity),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,Genetic resources,NA
genetic variation (cohesion),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,Genetic resources,NA
"genetic variation (connectance, numbers of links by the number of nodes)",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,Genetic resources,NA
betadiversity (species turnover),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,Change in biodiversity,NA
gamma diversity (total diversity of species in a landscape),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
genetic variation (nestedness),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,Genetic resources,NA
phylogenetic betadiversity,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,State of biodiversity,Genetic diversity
phylogenetic structure of a community,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,State of biodiversity,Genetic diversity
trait convergence assembly pattern (tcap),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
trait divergence assembly pattern (tdap),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
functional betadiversity,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
loss of species,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,Change in biodiversity,NA
biodiversity barometer (% of respondents that have heard of biodiversity),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Information on biodiversity,NA
biodiversity barometer (% of respondents giving correct definition of biodiversity),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Information on biodiversity,NA
funding towards environmental education,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
online interest in biodiversity (proportion of google searches),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Information on biodiversity,NA
funding towards environmental impact assessment,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
number of research studies involving economic valuation,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
world trade organisation green box agricultural subsidies,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
funding towards institutional capacity building in fisheries,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
percentage of countries that are category 1 cites parties,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Governance,NA,Nature-based legislation,NA
human appropriation of fresh water (water footprint) (thousand km3),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human assets,NA,Coverage of basic needs,NA
marine stewardship council certified fisheries,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
red list index (impacts of fisheries),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,biodiversity,Ecosystem services,State of biodiversity,Nature contribution
global effort in bottom-trawling,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
nitrogen use balance,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
wild bird index (farmland birds),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,biodiversity,NA,State of biodiversity,NA
area of agricultural land under conservation agriculture agriculture (thousand ha),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
nitrogen surplus (tg n),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Direct drivers,NA,Pollution,NA
percentage of countries with invasive alien species legislation,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Governance,NA,Nature-based legislation,NA
glacial mass balance,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
mean polar sea ice extent,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
climatic impact index for birds,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,Direct drivers,biodiversity,Climate change,Change in biodiversity
percentage of marine and coastal areas covered by protected areas,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,ecosystems,NA,Area conservation,NA
percentage of terrestrial ecoregions covered by protected areas,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,ecosystems,NA,Area conservation,NA
percentage of marine ecoregions covered by protected areas,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,ecosystems,NA,Area conservation,NA
"protected area coverage of bird, mammal and amphibian distributions",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,ecosystems,biodiversity,Area conservation,State of biodiversity
number of protected area management effectiveness (pame) assessments,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
funding towards nature reserves,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
funding towards species protection,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
percentage of terrestrial domesticated animal breeds at risk,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,Species conservation,NA
percentage change in local species richness,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,Change in biodiversity,NA
percentage of global rural population with access to improved water resources,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs
percentage of countries that have ratified the nagoya protocol,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Governance,NA,Nature-based legislation,NA
percentage of countries with revised nbsaps,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Governance,NA,Nature-based legislation,NA
number of biodiversity papers published,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Information on biodiversity,NA
funding committed to environmental research,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
funding provided by the global environment facility,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
official development assistance provided in support of the cbd objectives,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"global funding committed towards environmental policy, laws, regulations and economic instruments",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
prevalence of stunting (height for age <-2 standard deviation from the median of the world health organization (who) child growth standards) among children under 5 years of age,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions
"prevalence of malnutrition (weight for height >+<-2 standard deviation from the median of the who child growth standards) among children under 5 years of age, by type (wasting and overweight)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions
"prevalence of anaemia in women aged 49 years, by pregnancy status (percentage)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,Human assets,NA,Coverage of basic needs,NA
annual growth rate of real gross domestic product,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"proportion of youth (aged 15-24 years) not in education, employment or training",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,Governance,Information on society and socio-economics,Broken governance
"proportion and number of children aged 5-17 years engaged in child labour, by sex and age",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,Governance,NA,Broken governance,NA
"fatal and non-fatal occupational injuries per 1workers, by sex and migrant status",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions
proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,Human assets,NA,State of economy,NA
"proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,Human assets,NA,Income,State of economy
proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,Human well-being,Governance,Equity,Broken governance
number of people who died or disappeared in the process of migration towards an international destinationi,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,Governance,NA,Broken governance,NA
