indicators_harmonized,ga,sua,va,geo,ipcc,km_gbf,sdg,ipbes,var,indic,ILK_indicators
genetic scorecard for wild species,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
marine species richness,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
comprehensiveness of conservation of socioeconomically as well as culturally valuable species,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
red list index (wild relatives of farmed and domesticated species),NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
cms connectivity indicator,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
intact wilderness,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
proportion of populations maintained within species,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
free flowing rivers,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
levels of poverty in biodiversity depended communities,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
green status index (pollinators),NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
air quality index,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA
air pollution emissions account,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
zoonotic disease in wildlife,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
climatic impact index,1,NA,NA,NA,NA,1,NA,1,NA,1,NA
ocean acidification,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA
eflow index,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
change in the quality of inland water ecosystems over time,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
change in the quality of coastal water ecosystems over time,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
level of erosion,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
biofuel production,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA
population involved in hunting and gathering,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
forestry production and trade (wood fuel),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
trends in the legal trade of medicinal plants,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
visitor management assessment,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of formal and nonformal education programmes transmitting spiritual and cultural values in the unesco world network of biosphere reserves,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"number of mixed sites (having both natural and cultural outstanding universal values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the unesco world heritage list and unesco world network of biosphere reserves",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
trends of bilinguistic diversity and numbers of speakers of indigenous languages,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
cultural vitality index,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
unesco culture 2030 (multiple indicators),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
processes and tools to monitor the implementation of a right to a healthy environment,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
total number of internationally recognized certificates of compliance published in the abs clearing-house,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of checkpoint communiques published in the abs clearing-house,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of internationally recognized certificates of compliance for non-commercial purposes,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
finance mobilized for capacity-building,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"financial and technical assistance provided in dollars (including through south-south, northsouth and triangular cooperation)",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of scientists per population,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
joint scientific papers published in ocean biodiversity information system (ocean biodiversity information system (obis)) by sector,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
nationally maintained research vessels,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
global imports of information and communication technology (ict) goods as presented by bilateral trade flows by ict goods categories,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of countries using natural capital accounts in planning processes,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
percentage of spatial plans utilizing information on key biodiversity areas,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
habitat patches located within marine protected areas or integrated coastal zone management (iczm),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
other spatial management plans (not captured as iczm or marine spatial planning in 14.2.1),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of countries using ocean accounts in planning processes,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
percent of total land area that is under cultivation,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation would work here for ips (not necessarily lcs), if spatial planning was substituted for conservation",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
habitat distributional range,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"index of species rarity sites, high biodiversity areas, large mammal landscapes, intact wilderness and climate stabilization areas",NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
increase in secondary natural forest cover,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
annual tropical primary tree cover loss,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
global ecosystem restoration index,1,NA,NA,NA,NA,1,NA,1,NA,1,NA
percentage of cropped landscapes with at least 10 % natural land,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
status of key biodiversity areas,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"protected area downgrading, downsizing and degazettement (pd)",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
iucn green list of protected and conserved areas,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of hectares of unesco designated sites (natural and mixed world heritage sites and biosphere reserves),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
protected area and oecm management effectiveness (mepca) indicator,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
protected area isolation index (pai),NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
protected areas network metric (pronet),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
extent to which protected areas and other effective area-based conservation measures (oecms) cover key biodiversity areas that are important for migratory species,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
coverage of protected areas and oecms and traditional territories (by governance type),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
ramsar management effectiveness tracking tool (r-mett),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
percentage of biosphere reserves that have a positive conservation outcome and effective management,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
extent of indigenous peoples and local communities lands that have some form of recognition,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
species threat abatement and restoration metric,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
changing status of evolutionary distinct and globally endangered species (edge index),NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
number of cms daughter agreements,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
sustainable watershed and inland fisheries index,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
red list index (internationally traded species and migratory species),NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
marine stewardship council fish catch,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
total catch of cetaceans under international convention for the regulation of whaling,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
by catch of vulnerable and non-target species,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
proportion of legal and illegal wildlife trade consisting of species threatened with extinction,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
illegal trade by cites species classification,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of countries incorporating trade in their national biodiversity policy,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of msc chain of custody certification holders by distribution country,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with biotrade principles and/or cites requirements),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of invasive alien species in national lists as per the global register of introduced and invasive species,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
trends in loss of reactive nitrogen to the environment,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
trends in nitrogen deposition,1,NA,NA,NA,NA,1,NA,1,NA,1,NA
municipal solid waste collected and managed,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
hazardous waste generation,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
trends in the amount of litter in the water column including microplastics and on the seafloor,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
underwater noise pollution,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
pesticide use per area of cropland,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
above-ground biomass stock in forest,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
index of coastal eutrophication potential (icep),NA,NA,NA,1,NA,1,NA,NA,NA,1,NA
"carbon stocks and annual net ghg emissions, by landuse category, split by natural and non-natural land cover",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
spawning stock biomass (related to commercially exploited species),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
agrobiodiversity index,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
changes in soil organic carbon stocks,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
air emission accounts,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
total number of transfers of crop material from the multilateral system of the international treaty on plant genetic resources for food and agriculture (itpgrfa) received in a country,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"total number of permits, or their equivalent, granted for access to genetic resources",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the abs clearing-house",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of countries that require prior informed consent that have published information on abs procedures in the abs clearing-house,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
estimated percentage of monetary and non-monetary benefits directed towards conservation and sustainable use of biodiversity,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
recycling rate,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
life cycle impact assessment (lcia),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
levels of poverty in developing communities,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of countries that have the necessary biosafety legal and administrative measures in place,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of countries that implement their biosafety measures,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of countries that have the necessary measures and means for detection and identification of products of biotechnology,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of countries that establish and implement risk management measures,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
percentage of parties to the cartagena protocol on biosafety implementing the relevant provisions of the protocol,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of countries with legal and technical measures for restoration and compensation,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
percentage of parties to the nagoya - kuala lumpur supplementary protocol,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of countries with biodiversity-relevant taxes,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of countries with biodiversity-relevant charges and fees,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of countries with biodiversity-relevant tradable permit schemes,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
trends in the number and value of government fossil-fuel support measures,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
amount of funding provided through the global environment facility and allocated to the biodiversity focal area,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
amount and composition of biodiversity-related finance reported to the oecd creditor reporting system,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"dollar value of financial and technical assistance (including through north-south, south-south and triangular cooperation) committed to developing countries",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
amount of biodiversity-related philanthropic funding,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of countries (and number of instruments) with payments for ecosystem services (pes) programmes,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"number of countries that have (a) assessed values of biodiversity, in accordance with the convention, (b) identified and reported funding needs, gaps and priorities (c)developed national financial plans for biodiversity; (d) been provided with the necessary funding and capacity building to undertake the above activities",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
growth in number of records and species in the living planet index database,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
growth in marine species occurrence records accessible through ocean biodiversity information system (obis),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of assessments on the iucn red list of threatened species,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
world association of zoos and aquariums (waza) bio-literacy survey (biodiversity literacy in global zoo and aquarium visitors),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of countries with systems to track and make public allocations for gender equality and women's empowerment,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure],NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"percentage of population who believe decision making is inclusive and responsive, by sex, age, disability and population group",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
human development index (hdi),1,1,1,NA,NA,NA,NA,1,NA,1,NA
inclusive wealth,1,1,1,NA,NA,NA,NA,1,NA,1,NA
gross national happiness index,1,1,1,NA,NA,NA,NA,1,NA,1,NA
water footprint,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
trends in forest extent,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
total wood removals,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
estimated fisheries catch and fishing effort,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
inland fishery production,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
proportion of area of forest production under fsc and pefc certification,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
nitrogen use efficiency,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
nitrogen + phosphate fertilizers (n+p205 total nutrients),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
trends in pesticide use,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
protected area coverage,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
percentage of undernourished people,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
number of countries with developed or revised nbsaps,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
"number of countries with national instruments on biodiversity-relevant taxes, charges and fees",1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
number of countries with national instruments on redd plus schemes,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
trends in potentially harmful elements of government support to agriculture (produced support estimates),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
trends in potentially harmful elements of government support to fisheries,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
number of countries with national instruments on biodiversity relevant tradable permit schemes,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
human appropriation of net primary productivity,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
trend in carbon intensity,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
global climate risk index,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
global effort in bottom trawling,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
number and coverage of stocks with adaptive management systems/plans,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
presence of regulations requiring recovery of depleted species,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
policies to secure that mortalities and significant indirect adverse impacts on non-target species are accounted for are in place,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
policies make adequate provisions to minimize impacts of fisheries on threatened species,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
coverage of fisheries with management measures to reduce bycatch and discards,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
mean length of fish,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
biotime-local species richness,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
temporal species turnover,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
overall species abundance,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
non declining exploited species,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
number of world natural heritage sites per country per year,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
area of agricultural land under conservation agriculture,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
trends in the numbers of invasive alien species introduction events,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
trends in invasive alien species vertebrate eradications,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
"protected area coverage of terrestrial, marine and freshwater ecoregions",1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
protected area representativeness index,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
wildlife picture index,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
number of species extinctions,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
better life index,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
percentage of population using safely managed drinking water services,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
land under cereal production (ha),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
global linguistic diversity index and language threat level,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
species represented in the barcode of life data system,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
"information provided through the financial reporting framework, adopted by decision xii/3",1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
child mortality,1,NA,NA,1,NA,NA,NA,1,1,NA,NA
caloric intake,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
per capita consumption,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
value of merchandise being exported,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
mortality rate under 5,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
calorie intake,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
domestic material consumption per capita,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
merchandise exports,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
total population,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
proportion of urban population,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
international migrant stock,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
absence of conflict as indicator of political stability,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
protection of key biodiversity areas,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
income,1,1,NA,NA,NA,NA,NA,1,1,NA,NA
life expectancy at birth,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
average number of years of schooling,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
cultural identity,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
retention over time of indigenous ecological knowledge and practices,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
world happiness index,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
social progress index,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
environmental performance index,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
environmental component of the social sustainability index,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
land use change,1,NA,NA,1,NA,NA,NA,1,1,NA,NA
extraction of living biomass,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
extraction of non-living materials,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
greenhouse gas emissions,1,NA,NA,1,NA,NA,NA,1,NA,1,NA
alien species richness,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
water quality index (watqi),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
total land footprint,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
percentage of abroad land use footprint,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
percentage of agricultural and urban areas,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
extraction of non-human materials,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
alien species,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
biomass of prey fish,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
terrestrial vegetation biomass,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
extent of forests,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
total extinction risk,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
"time needed to harvest resources, distance travelled to harvest resources",1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
culturally salient species,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
native newcomer species arrive,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
new pests and invasive alien species colonize,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
forests and grazing lands loss,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
remnant ecosystems degrade,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
health condition and body size of wild animals decrease,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
tropical forest-monocrop conversions,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
expansion of settlements,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
discontinued traditional land-management practices,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
droughts,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
increasingly unpredictable annual distribution of rainfall,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
arrival of new native and alien species,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
changing range of wild species,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
floods,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
overexploitation of resources by outsiders and locals,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
total richness of endemic species,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
range-size rarity,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
endemism richness,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
weighted endemisms,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
vegetation biomass,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
land not cultivated or urban (global),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
remanining primary vegetations,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
mean annual change in above-ground biomass,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
terrestrial c sequestration,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
terrestrial net primary production,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
evapotranspiration,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
local species richness,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
tropical forest bii (indigenous lands),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
tropical forest bii,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
tropical forest bii (hotspots),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
functional intactness,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
material ncp,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
biotime species richness indicator,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
predicts species-richness indicator,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
average functional intactness,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
human footprint,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
trends of populations of palatable or unpalatable species,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
time needed or distance travelled to harvest resources,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
native newcomer species,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
opening up of forest canopy,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
"less biomass, more annuals and shrubs on pastures",1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
proportion of unpalatable plants on rangelands,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
condition and size of wild animals,1,NA,NA,NA,NA,NA,NA,1,1,NA,ILK
iucn red list of threatened species,1,1,NA,1,NA,NA,NA,1,NA,1,NA
percentage of live coral cover,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
adverse changes in woody or shrubby vegetation,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
adverse changes of unpalatable species,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
global cover of mangroves,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
hallow coral reefs,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
severe global bleaching events,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
species used for medicine,1,NA,NA,NA,NA,NA,NA,1,NA,1,ILK
crops and their dietary roles,1,NA,NA,NA,NA,NA,NA,1,NA,1,ILK
forest and its role in protecting water sources,1,NA,NA,NA,NA,NA,NA,1,NA,1,ILK
"behavior of animals with importance as food, changes in crop phenology",1,NA,NA,NA,NA,NA,NA,1,NA,1,ILK
development of crop varieties or landraces,1,NA,NA,NA,NA,NA,NA,1,NA,1,ILK
visitation to national parks,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
visitation to urban green spaces,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
connection to land,1,NA,NA,NA,NA,NA,NA,1,NA,1,ILK
connection to sea,1,NA,NA,NA,NA,NA,NA,1,NA,1,ILK
