indic_id,indicator_type,Goal/target,Goal/target (explicit),Indicator name,Indicator,indicators,Availability,Time series,Update frequency,Data relevant at global scale,Data available/collated national scale,National methodology available,Institution,Other MEAs/Processes,Used in 5NR/6NR,BIP Indicator,Gender,indicators_harmonized
GBF_CY_GB_197,complementary,Goal B,,"Number of mixed sites (having both natural and cultural Outstanding Universal Values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the UNESCO World Heritage List and UNESCO World Network of Biosphere Reserves","Number of mixed sites (having both natural and cultural Outstanding Universal Values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the UNESCO World Heritage List and UNESCO World Network of Biosphere Reserves","Number of mixed sites (having both natural and cultural Outstanding Universal Values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the UNESCO World Heritage List and UNESCO World Network of Biosphere Reserves",In development,,Data pending,Y,Y,N,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",N,N,N,Data pending,"number of mixed sites (having both natural and cultural outstanding universal values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the unesco world heritage list and unesco world network of biosphere reserves"
GBF_CY_GB_198,complementary,Goal B,,Index of Linguistic Diversity - Trends of Bilinguistic diversity and numbers of speakers of indigenous languages,Index of Linguistic Diversity - Trends of Bilinguistic diversity and numbers of speakers of indigenous languages,Index of Linguistic Diversity,Available,,Data pending,Y,N,Y,Terralingua,N,N,Y,N,linguistic diversity index
GBF_CY_GB_199,complementary,Goal B,,Index of Linguistic Diversity - Trends of Bilinguistic diversity and numbers of speakers of indigenous languages,Index of Linguistic Diversity - Trends of Bilinguistic diversity and numbers of speakers of indigenous languages,Trends of Bilinguistic diversity and numbers of speakers of indigenous languages,Available,,Data pending,Y,N,Y,Terralingua,N,N,Y,N,trends of bilinguistic diversity and numbers of speakers of indigenous languages
GBF_CY_GB_200,complementary,Goal B,,"Index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity","Index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity","Index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,"index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity"
GBF_CY_GB_201,complementary,Goal B,,Cultural vitality index,Cultural vitality index,Cultural vitality index,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,cultural vitality index
GBF_CY_GB_202,complementary,Goal B,,UNESCO Culture 2030 (multiple indicators),UNESCO Culture 2030 (multiple indicators),UNESCO Culture 2030 (multiple indicators),In development,,Data pending,Y,Data pending,N,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",N,N,N,Data pending,unesco culture 2030 (multiple indicators)
GBF_CY_GB_203,complementary,Goal B,,Processes and tools to monitor the implementation of a right to a healthy environment (e.g. Included in NBSAPs and reported in national reports,Processes and tools to monitor the implementation of a right to a healthy environment (e.g. Included in NBSAPs and reported in national reports,Processes and tools to monitor the implementation of a right to a healthy environment,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,processes and tools to monitor the implementation of a right to a healthy environment
GBF_CY_GB_204,complementary,Goal B,,Red List Index (for internationally traded species),Red List Index (for internationally traded species),Red List Index (for internationally traded species),Available,,Yearly,Y,N,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),N,N,Y,N,red list index (internationally traded species)
GBF_CY_GC_205,complementary,Goal C,,Number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,Number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,Number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,Available,,Real time,Y,Y,Y,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints
GBF_CY_GC_206,complementary,Goal C,,Total number of internationally recognized certificates published in the ABS Clearing-House,Total number of internationally recognized certificates published in the ABS Clearing-House,Total number of internationally recognized certificates published in the ABS Clearing-House,Available,,Real time,N,Y,Y,Access and Benefit Sharing Clearing-House (ABSCH) of the Convention on Biological Diversity (CBD),N,N,N,N,total number of internationally recognized certificates of compliance published in the abs clearing-house
GBF_CY_GC_207,complementary,Goal C,,Number of checkpoint communiques published in the ABS Clearing-House,Number of checkpoint communiques published in the ABS Clearing-House,Number of checkpoint communiques published in the ABS Clearing-House,Available,,Real time,Y,Y,Y,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,number of checkpoint communiques published in the abs clearing-house
GBF_CY_GC_208,complementary,Goal C,,Number of internationally recognized certificates of compliance for non-commercial purposes,Number of internationally recognized certificates of compliance for non-commercial purposes,Number of internationally recognized certificates of compliance for non-commercial purposes,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,number of internationally recognized certificates of compliance for non-commercial purposes
GBF_CY_GC_209,complementary,Goal C,,"Integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting.","Integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting.","Integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting",Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting"
GBF_CY_GD_210,complementary,Goal D,,Finance mobilized for capacity-building,Finance mobilized for capacity-building,Finance mobilized for capacity-building,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,finance mobilized for capacity-building
GBF_CY_GD_211,complementary,Goal D,,"Financial and technical assistance provided in dollars (including through South-South, NorthSouth and triangular cooperation)","Financial and technical assistance provided in dollars (including through South-South, NorthSouth and triangular cooperation)","Financial and technical assistance provided in dollars (including through South-South, NorthSouth and triangular cooperation)",Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,"financial and technical assistance provided in dollars (including through south-south, northsouth and triangular cooperation)"
GBF_CY_GD_212,complementary,Goal D,,"Finance mobilized for promoting the development, transfer, dissemination and diffusion of technology","Finance mobilized for promoting the development, transfer, dissemination and diffusion of technology","Finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,"finance mobilized for promoting the development, transfer, dissemination and diffusion of technology"
GBF_CY_GD_213,complementary,Goal D,,Number of scientists per population,Number of scientists per population,Number of scientists per population,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,number of scientists per population
GBF_CY_GD_214,complementary,Goal D,,Joint scientific papers published in Ocean Biodiversity Information System (OBIS) by sector,Joint scientific papers published in Ocean Biodiversity Information System (OBIS) by sector,Joint scientific papers published in Ocean Biodiversity Information System (OBIS) by sector,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,joint scientific papers published in ocean biodiversity information system (ocean biodiversity information system (obis)) by sector
GBF_CY_GD_215,complementary,Goal D,,Nationally maintained research vessels,Nationally maintained research vessels,Nationally maintained research vessels,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,nationally maintained research vessels
GBF_CY_GD_216,complementary,Goal D,,Proportion of total research budget allocated to research in the field of marine technology,Proportion of total research budget allocated to research in the field of marine technology,Proportion of total research budget allocated to research in the field of marine technology,Available,,2 years,Y,Y,Y,"Intergovernmental Oceanographic Commission United Nations Educational, Scientific and Cultural Organization (IOC-UNESCO)",SDG,N,N,N,proportion of total research budget allocated to research in the field of marine technology
GBF_CY_GD_217,complementary,Goal D,,Volume of official development assistance flows for scholarships by sector and type of study,Volume of official development assistance flows for scholarships by sector and type of study,Volume of official development assistance flows for scholarships by sector and type of study,Available,,Yearly,Y,Y,Y,Organisation for Economic Co-operation and Development (OECD),SDG,N,N,N,volume of official development assistance flows for scholarships by sector and type of study
GBF_CY_GD_218,complementary,Goal D,,Global imports of information and communication technology (ICT) goods as presented by bilateral trade flows by ICT goods categories,Global imports of information and communication technology (ICT) goods as presented by bilateral trade flows by ICT goods categories,Global imports of information and communication technology (ICT) goods as presented by bilateral trade flows by ICT goods categories,Available,,Yearly,Y,N,N,United Nations Conference on Trade and Development (UNCTAD),N,N,N,N,global imports of information and communication technology (ict) goods as presented by bilateral trade flows by ict goods categories
GBF_CY_GD_219,complementary,Goal D,,"Total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies","Total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies","Total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies"
GBF_CY_T1_220,complementary,Target 1,,Number of countries using natural capital accounts in planning processes,Number of countries using natural capital accounts in planning processes,Number of countries using natural capital accounts in planning processes,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,number of countries using natural capital accounts in planning processes
GBF_CY_T1_221,complementary,Target 1,,Percentage of spatial plans utilizing information on key biodiversity areas,Percentage of spatial plans utilizing information on key biodiversity areas,Percentage of spatial plans utilizing information on key biodiversity areas,Available,,Yearly,Y,Y,N,Key Biodiversity Areas (KBA) Secretariat,N,N,N,N,percentage of spatial plans utilizing information on key biodiversity areas
GBF_CY_T1_222,complementary,Target 1,,Habitat patches located within marine protected areas or integrated coastal zone management (ICZM),Habitat patches located within marine protected areas or integrated coastal zone management (ICZM),Habitat patches located within marine protected areas or integrated coastal zone management (ICZM),Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,habitat patches located within marine protected areas or integrated coastal zone management (iczm)
GBF_CY_T1_223,complementary,Target 1,,Other spatial management plans (not captured as ICZM or marine spatial planning in 14.2.1),Other spatial management plans (not captured as ICZM or marine spatial planning in 14.2.1),Other spatial management plans (not captured as ICZM or marine spatial planning in 14.2.1),Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,other spatial management plans (not captured as iczm or marine spatial planning in 14.2.1)
GBF_CY_T1_224,complementary,Target 1,,Number of countries using ocean accounts in planning processes,Number of countries using ocean accounts in planning processes,Number of countries using ocean accounts in planning processes,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,number of countries using ocean accounts in planning processes
GBF_CY_T1_225,complementary,Target 1,,Proportion of transboundary basin area with an operational arrangement for water cooperation,Proportion of transboundary basin area with an operational arrangement for water cooperation,Proportion of transboundary basin area with an operational arrangement for water cooperation,Available,,3 years,Y,Y,Y,"United Nations Economic Commission for Europe (UNECE); United Nations Educational, Scientific and Cultural Organization Intergovernmental Hydrological Programme (UNESCO-IHP)",SDG,N,N,N,proportion of transboundary basin area with an operational arrangement for water cooperation
GBF_CY_T1_226,complementary,Target 1,,Percent of total land area that is under cultivation,Percent of total land area that is under cultivation,Percent of total land area that is under cultivation,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,percent of total land area that is under cultivation
GBF_CY_T1_227,complementary,Target 1,,Extent of natural ecosystems by type,Extent of natural ecosystems by type,Extent of natural ecosystems by type,In development,,In development,In development,In development,In development,United Nations Statistics Division (UNSD),N,N,N,N,extent of natural ecosystems
GBF_CY_T1_228,complementary,Target 1,,"Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation would work here for IPs (not necessarily LCs), if spatial planning was substituted for conservation.","Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation would work here for IPs (not necessarily LCs), if spatial planning was substituted for conservation.","Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation would work here for IPs (not necessarily LCs), if spatial planning was substituted for conservation",Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation would work here for ips (not necessarily lcs), if spatial planning was substituted for conservation"
GBF_CY_T1_229,complementary,Target 1,,Ecosystem Integrity Index,Ecosystem Integrity Index,Ecosystem Integrity Index,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,ecosystem integrity index
GBF_CY_T2_230,complementary,Target 2,,Habitat distributional range,Habitat distributional range,Habitat distributional range,Available,,3 - 6 years,Y,Y,N,UNEP/MAP; SPA/RAC,N,N,N,N,habitat distributional range
GBF_CY_T2_231,complementary,Target 2,,"Index of Species Rarity Sites, High Biodiversity Areas, Large Mammal Landscapes, Intact Wilderness and Climate Stabilization Areas","Index of Species Rarity Sites, High Biodiversity Areas, Large Mammal Landscapes, Intact Wilderness and Climate Stabilization Areas","Index of Species Rarity Sites, High Biodiversity Areas, Large Mammal Landscapes, Intact Wilderness and Climate Stabilization Areas",Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,"index of species rarity sites, high biodiversity areas, large mammal landscapes, intact wilderness and climate stabilization areas"
GBF_CY_T2_232,complementary,Target 2,,Increase in secondary natural forest cover,Increase in secondary natural forest cover,Increase in secondary natural forest cover,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,increase in secondary natural forest cover
GBF_CY_T2_233,complementary,Target 2,,Annual Tropical Primary Tree Cover Loss,Annual Tropical Primary Tree Cover Loss,Annual Tropical Primary Tree Cover Loss,Available,,Data pending,Y,N,N,New York Declaration on Forests (NYDF); University of Maryland,N,N,N,N,annual tropical primary tree cover loss
GBF_CY_T2_234,complementary,Target 2,,Forest Landscape Integrity Index,Forest Landscape Integrity Index,Forest Landscape Integrity Index,Available,,Yearly,Y,N,Y,Wildlife Conservation Society (WCS),N,N,Y,N,forest landscape integrity index
GBF_CY_T2_235,complementary,Target 2,,Global Ecosystem Restoration Index,Global Ecosystem Restoration Index,Global Ecosystem Restoration Index,In development,,5 years,Y,N,N,Group on Earth Observations - Biodiversity Observation Network (GEO BON) - iDiv,N,N,N,N,global ecosystem restoration index
GBF_CY_T2_236,complementary,Target 2,,Free flowing rivers,Free flowing rivers,Free flowing rivers,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,free flowing rivers
GBF_CY_T2_237,complementary,Target 2,,Percentage of cropped landscapes with at least 10 % natural land,Percentage of cropped landscapes with at least 10 % natural land,Percentage of cropped landscapes with at least 10 % natural land,Available,,Yearly,Y,N,N,Alliance of Bioversity; Chartered Institute of Architectural Technologists (CIAT),N,N,N,N,percentage of cropped landscapes with at least 10 % natural land
GBF_CY_T2_238,complementary,Target 2,,Bioclimatic Ecosystem Resilience Index (BERI),Bioclimatic Ecosystem Resilience Index (BERI),Bioclimatic Ecosystem Resilience Index (BERI),Available,,5 years,Y,Y,Y,Commonwealth Scientific and Industrial Research Organisation (CSIRO),N,N,Y,N,bioclimatic ecosystem resilience index (beri)
GBF_CY_T2_239,complementary,Target 2,,Priority retention of intact / wilderness areas,Priority retention of intact / wilderness areas,Priority retention of intact / wilderness areas,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,priority retention of intact / wilderness areas
GBF_CY_T2_240,complementary,Target 2,,Status of Key Biodiversity Areas,Status of Key Biodiversity Areas,Status of Key Biodiversity Areas,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,status of key biodiversity areas
GBF_CY_T2_241,complementary,Target 2,,Biodiversity Habitat Index,Biodiversity Habitat Index,Biodiversity Habitat Index,Available,,5 years,Y,N,Y,Commonwealth Scientific and Industrial Research Organisation (CSIRO),IPBES,N,Y,N,biodiversity habitat index
GBF_CY_T2_242,complementary,Target 2,,Red List Index,Red List Index,Red List Index,Available,,Yearly,Y,Y,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),IPBES; SDG; CMS SPMS,N,Y,N,red list index
GBF_CY_T2_243,complementary,Target 2,,Red List of Ecosystems,Red List of Ecosystems,Red List of Ecosystems,In development,,5 years,Y,Y,N,International Union for Conservation of Nature (IUCN); Commission on Ecosystem Management (CEM); Deakin University?,N,N,Y,N,red list of ecosystems
GBF_CY_T2_244,complementary,Target 2,,Living Planet Index,Living Planet Index,Living Planet Index,Available,,3 - 4 years,Y,Y,Y,Zoological Society of London (ZSL); Institute of Zoology (IOZ),IPBES; CMS; Ramsar Convention on Wetlands,N,Y,N,living planet index
GBF_CY_T2_245,complementary,Target 2,,Species habitat Index,Species habitat Index,Species habitat Index,Available,,Yearly,Y,Y,Y,Yale University; Group on Earth Observations - Biodiversity Observation Network (GEO BON),IPBES,N,Y,N,species habitat index
GBF_CY_T3_246,complementary,Target 3,,"Protected area downgrading, downsizing and degazettement (PD)","Protected area downgrading, downsizing and degazettement (PD)","Protected area downgrading, downsizing and degazettement (PD)",Available,,Data pending,Y,N,Y,"Protected area downgrading, downsizing and degazettement  (PADDD) Tracker",N,N,N,N,"protected area downgrading, downsizing and degazettement (pd)"
GBF_CY_T3_247,complementary,Target 3,,Status of key biodiversity areas,Status of key biodiversity areas,Status of key biodiversity areas,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,status of key biodiversity areas
GBF_CY_T3_248,complementary,Target 3,,IUCN Green List of Protected and Conserved Areas,IUCN Green List of Protected and Conserved Areas,IUCN Green List of Protected and Conserved Areas,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,iucn green list of protected and conserved areas
GBF_CY_T3_249,complementary,Target 3,,Number of hectares of UNESCO designated sites (natural and mixed World Heritage sites and Biosphere Reserves),Number of hectares of UNESCO designated sites (natural and mixed World Heritage sites and Biosphere Reserves),Number of hectares of UNESCO designated sites (natural and mixed World Heritage sites and Biosphere Reserves),Available,,Yearly,Y,Y,Y,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",N,N,N,N,number of hectares of unesco designated sites (natural and mixed world heritage sites and biosphere reserves)
GBF_CY_T3_250,complementary,Target 3,,Protected area and OECM management effectiveness (MEPCA) indicator,Protected area and OECM management effectiveness (MEPCA) indicator,Protected area and OECM management effectiveness (MEPCA) indicator,Available,,Monthly,Y,Y,Y,United Nations Environment Programme World Conservation Monitoring Centre (UNEP-WCMC),N,N,Y,N,protected area and oecm management effectiveness (mepca) indicator
GBF_CY_T3_251,complementary,Target 3,,Protected Area Isolation Index (PAI),Protected Area Isolation Index (PAI),Protected Area Isolation Index (PAI),Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,protected area isolation index (pai)
GBF_CY_T3_252,complementary,Target 3,,Protected Areas Network metric (ProNet),Protected Areas Network metric (ProNet),Protected Areas Network metric (ProNet),Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,protected areas network metric (pronet)
GBF_CY_T3_253,complementary,Target 3,,Extent to which protected areas and other effective area-based conservation measures (OECMs) cover Key Biodiversity Areas that are important for migratory species,Extent to which protected areas and other effective area-based conservation measures (OECMs) cover Key Biodiversity Areas that are important for migratory species,Extent to which protected areas and other effective area-based conservation measures (OECMs) cover Key Biodiversity Areas that are important for migratory species,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,extent to which protected areas and other effective area-based conservation measures (oecms) cover key biodiversity areas that are important for migratory species
GBF_CY_T3_254,complementary,Target 3,,Coverage of Protected areas and OECMS and traditional territories (by governance type),Coverage of Protected areas and OECMS and traditional territories (by governance type),Coverage of Protected areas and OECMS and traditional territories (by governance type),Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,coverage of protected areas and oecms and traditional territories (by governance type)
GBF_CY_T3_255,complementary,Target 3,,Ramsar Management Effectiveness Tracking Tool (R-METT),Ramsar Management Effectiveness Tracking Tool (R-METT),Ramsar Management Effectiveness Tracking Tool (R-METT),Available,,Yearly,N,Y,Y,Secretariat of the Ramsar Convention on Wetlands,N,N,N,N,ramsar management effectiveness tracking tool (r-mett)
GBF_CY_T3_256,complementary,Target 3,,Percentage of biosphere reserves that have a positive conservation outcome and effective management,Percentage of biosphere reserves that have a positive conservation outcome and effective management,Percentage of biosphere reserves that have a positive conservation outcome and effective management,Available,,10 years,Y,Y,N,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",N,N,N,N,percentage of biosphere reserves that have a positive conservation outcome and effective management
GBF_CY_T3_257,complementary,Target 3,,Extent of indigenous peoples and local communities lands that have some form of recognition,Extent of indigenous peoples and local communities lands that have some form of recognition,Extent of indigenous peoples and local communities lands that have some form of recognition,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,extent of indigenous peoples and local communities lands that have some form of recognition
GBF_CY_T3_258,complementary,Target 3,,Species Protection Index,Species Protection Index,Species Protection Index,Available,,Yearly,Y,Y,Y,Yale University; Map of Life (MOL),IPBES,N,Y,N,species protection index
GBF_CY_T3_259,complementary,Target 3,,"Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation","Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation","Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation",Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation"
GBF_CY_T3_260,complementary,Target 3,,Red List of Ecosystems,Red List of Ecosystems,Red List of Ecosystems,In development,,5 years,Y,Y,N,International Union for Conservation of Nature (IUCN); Commission on Ecosystem Management (CEM); Deakin University,N,N,Y,N,red list of ecosystems
GBF_CY_T3_261,complementary,Target 3,,"Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures","Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures","Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures"
GBF_CY_T4_262,complementary,Target 4,,Species threat abatement and restoration metric,Species threat abatement and restoration metric,Species threat abatement and restoration metric,In development,,Yearly,Y,N,Y,International Union for Conservation of Nature (IUCN),N,N,N,N,species threat abatement and restoration metric
GBF_CY_T4_263,complementary,Target 4,,Changing status of evolutionary distinct and globally endangered species (EDGE Index),Changing status of evolutionary distinct and globally endangered species (EDGE Index),Changing status of evolutionary distinct and globally endangered species (EDGE Index),Available,,Yearly,Y,N,N,International Union for Conservation of Nature (IUCN) Species Survival Commission (SSC) Phylogenetic Diversity Task Force; Zoological Society of London (ZSL),N,N,N,N,changing status of evolutionary distinct and globally endangered species (edge index)
GBF_CY_T4_264,complementary,Target 4,,Percentage of threatened species that are improving in status,Percentage of threatened species that are improving in status,Percentage of threatened species that are improving in status,Available,,Data pending,Y,N,Y,International Union for Conservation of Nature (IUCN),N,N,N,N,percentage of threatened species that are improving in status
GBF_CY_T4_265,complementary,Target 4,,Number of CMS daughter agreements,Number of CMS daughter agreements,Number of CMS daughter agreements,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,number of cms daughter agreements
GBF_CY_T4_266,complementary,Target 4,,Proportion of local breeds classified as being at risk extinction,Proportion of local breeds classified as being at risk extinction,Proportion of local breeds classified as being at risk extinction,Available,,Yearly,N,Y,Y,Food and Agriculture Organization (FAO),IPBES; SDG,N,Y,N,proportion of local breeds classified as being at risk of extinction
GBF_CY_T4_267,complementary,Target 4,,Red List Index (wild relatives of domesticated animals),Red List Index (wild relatives of domesticated animals),Red List Index (wild relatives of domesticated animals),Available,,1988 - 2016  Annually; 2020 onwards every 4-5 years,Y,N,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),N,N,Y,N,red list index (wild relatives of farmed and domesticated species)
GBF_CY_T4_268,complementary,Target 4,,Rate of invasive alien species establishment,Rate of invasive alien species establishment,Rate of invasive alien species establishment,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,rate of invasive alien species establishment
GBF_CY_T5_269,complementary,Target 5,,Sustainable watershed and inland fisheries index,Sustainable watershed and inland fisheries index,Sustainable watershed and inland fisheries index,In development,,2 years,N,Y,N,Food and Agriculture Organization (FAO); United States Geological Survey (USGS),IPBES; CMS,N,N,N,sustainable watershed and inland fisheries index
GBF_CY_T5_270,complementary,Target 5,,Red List Index (for internationally traded species and for migratory species),Red List Index (for internationally traded species and for migratory species),Red List Index (for internationally traded species and for migratory species),Available,,Yearly,Y,N,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),N,N,Y,N,red list index (internationally traded species and migratory species)
GBF_CY_T5_271,complementary,Target 5,,Marine Stewardship Council Fish catch,Marine Stewardship Council Fish catch,Marine Stewardship Council Fish catch,Available,,Quarterly,Y,N,Data pending,Marine Stewardship Council (MSC),IPBES,6NR 1 out of 20 countries sampled,Y,N,marine stewardship council fish catch
GBF_CY_T5_272,complementary,Target 5,,Total catch of cetaceans under International Convention for the Regulation of Whaling,Total catch of cetaceans under International Convention for the Regulation of Whaling,Total catch of cetaceans under International Convention for the Regulation of Whaling,Available,,Yearly,N,Y,Y,International Whaling Commission (IWC),N,N,N,N,total catch of cetaceans under international convention for the regulation of whaling
GBF_CY_T5_273,complementary,Target 5,,By catch of vulnerable and non-target species,By catch of vulnerable and non-target species,By catch of vulnerable and non-target species,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,by catch of vulnerable and non-target species
GBF_CY_T5_274,complementary,Target 5,,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing","Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing","Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",Available,,Data pending,N,Y,Y,Food and Agriculture Organization (FAO),SDG,6NR 3 out of 20 countries sampled,N,N,"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing"
GBF_CY_T5_275,complementary,Target 5,,Proportion of legal and illegal wildlife trade consisting of species threatened with extinction,Proportion of legal and illegal wildlife trade consisting of species threatened with extinction,Proportion of legal and illegal wildlife trade consisting of species threatened with extinction,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,proportion of legal and illegal wildlife trade consisting of species threatened with extinction
GBF_CY_T5_276,complementary,Target 5,,Illegal trade by CITES species classification,Illegal trade by CITES species classification,Illegal trade by CITES species classification,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,illegal trade by cites species classification
GBF_CY_T5_277,complementary,Target 5,,Number of countries incorporating trade in their national biodiversity policy,Number of countries incorporating trade in their national biodiversity policy,Number of countries incorporating trade in their national biodiversity policy,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,number of countries incorporating trade in their national biodiversity policy
