indicators_harmonized,ids,mea,ipbes,Categories,Subcategories,Categories_2,Subcategories_2,indicators_orig
"number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",SDG_16_10_2_254,SDG,NA,Human Well-Being,Equity,NA,NA,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information"
existence of independent national human rights institutions in compliance with the paris principles,SDG_16_a_1_255,SDG,NA,Human Well-Being,Equity,NA,NA,Existence of independent national human rights institutions in compliance with the Paris Principles
"total government revenue as a proportion of gross domestic product, by source",SDG_17_1_1_257,SDG,1,Human Assets,Information On Society And Socio-Economics,NA,NA,"Total government revenue as a proportion of GDP, by source"
proportion of domestic budget funded by domestic taxes,SDG_17_1_2_258,SDG,1,Human Assets,State Of Economy,NA,NA,Proportion of domestic budget funded by domestic taxes
"net official development assistance, total and to least developed countries, as a proportion of the organization for economic cooperation and development (oecd) development assistance committee donors’ gross national income (gni)",SDG_17_2_1_259,SDG,1,Governance,National/International Cooperation,NA,NA,"Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors’ gross national income (GNI)"
additional financial resources mobilized for developing countries from multiple sources,SDG_17_3_1_260,SDG,NA,Human Assets,Information On Society And Socio-Economics,NA,NA,Additional financial resources mobilized for developing countries from multiple sources
volume of remittances (in united states dollars) as a proportion of total gross domestic product,SDG_17_3_2_261,SDG,1,Human Assets,Information On Society And Socio-Economics,NA,NA,Volume of remittances (in United States dollars) as a proportion of total GDP
debt service as a proportion of exports of goods and services,SDG_17_4_1_262,SDG,NA,Human Assets,State Of Economy,NA,NA,Debt service as a proportion of exports of goods and services
"number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",SDG_17_5_1_263,SDG,1,Governance,National/International Cooperation,NA,NA,"Number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries"
"fixed internet broadband subscriptions per 100 inhabitants, by speed6",SDG_17_6_1_264,SDG,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed6"
proportion of individuals using the internet,SDG_17_8_1_266,SDG,1,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,Proportion of individuals using the Internet
worldwide weighted tariff-average,SDG_17_10_1 _268,SDG,1,Ecosystem Services,Specific Monetary Valuation Of Nature Contribution,NA,NA,Worldwide weighted tariff-average
developing countries’ and least developed countries’ share of global exports,SDG_17_11_1_269,SDG,1,Human Assets,State Of Economy,NA,NA,Developing countries’ and least developed countries’ share of global exports
"weighted average tariffs faced by developing countries, least developed countries and small island developing states",SDG_17_12_1_270,SDG,1,Governance,Legislation/Governance,NA,NA,"Weighted average tariffs faced by developing countries, least developed countries and small island developing States"
macroeconomic dashboard,SDG_17_13_1_271,SDG,NA,Human Assets,State Of Economy,NA,NA,Macroeconomic Dashboard
number of countries with mechanisms in place to enhance policy coherence of sustainable development,SDG_17_14_1_272,SDG,1,Governance,Nature-Based Legislation,NA,NA,Number of countries with mechanisms in place to enhance policy coherence of sustainable development
extent of use of country-owned results frameworks and planning tools by providers of development cooperation,SDG_17_15_1_273,SDG,1,Governance,Legislation/Governance,NA,NA,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation
number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,SDG_17_16_1_274,SDG,1,Governance,Nature-Based Legislation,NA,NA,Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals
amount in united states dollars committed to public-private partnerships for infrastructure,SDG_17_17_1_275,SDG,1,Human Assets,Infrastructure (Build-Up Area),NA,NA,Amount in United States dollars committed to public-private partnerships for infrastructure
statistical capacity indicator for sustainable development goal monitoring,SDG_17_18_1_276,SDG,1,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,Statistical capacity indicator for Sustainable Development Goal monitoring
number of countries that have national statistical legislation that complies with the fundamental principles of official statistics,SDG_17_18_2_277,SDG,1,Governance,Legislation/Governance,NA,NA,Number of countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics
"number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",SDG_17_18_3_278,SDG,1,Governance,Legislation/Governance,NA,NA,"Number of countries with a national statistical plan that is fully funded and under implementation, by source of funding"
proportion of countries that have conducted at least one population and housing census in the last 10 years,SDG_17_19_2_a_280,SDG,NA,Governance,Legislation/Governance,NA,NA,Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration
proportion of countries that have achieved 100 per cent birth registration and 80 per cent death registration,SDG_17_19_2_b_281,SDG,NA,Governance,Legislation/Governance,NA,NA,Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration
the number of parties that are in category 1 under the national legislation project,CITES_1_1_1_1,CITES,NA,Governance,Nature-Based Legislation,NA,NA,The number of Parties that are in category 1 under the national legislation project
the number of parties that have designated management authorities and scientific authorities,CITES_1_1_2_2,CITES,NA,Governance,Nature-Based Legislation,NA,NA,The number of Parties that have designated Management Authorities and Scientific Authorities
the number of parties subject to cites recommendations on trade,CITES_1_1_3_3,CITES,NA,Governance,Nature-Based Legislation,NA,NA,The number of Parties subject to CITES recommendations on trade
the number of parties that have adopted standard transparent for timely procedures the issuance of permits in accordance with article vi of the convention,CITES_1_2_1_4,CITES,NA,Governance,Nature-Based Legislation,NA,NA,The number of Parties that have adopted standard transparent for timely procedures the issuance of permits in accordance with Article VI of the Convention
the number of parties making use of the simplified procedures provided for in resolution conf.12.3 (rev.cop16),CITES_1_2_2_5,CITES,NA,Governance,Nature-Based Legislation,NA,NA,The number of Parties making use of the simplified procedures provided for in Resolution Conf.12.3 (Rev.CoP16)
the number of parties that have implemented relevant reporting under resolutions and decisions of the conference of the parties and/or standing committee recommendations,CITES_1_3_1_6,CITES,NA,Governance,Nature-Based Legislation,NA,NA,The number of Parties that have implemented relevant reporting under Resolutions and Decisions of the Conference of the Parties and/or Standing Committee recommendations
the number and proportion of species that have been found to meet the criteria contained in resolution conf.9.24 or its successors. this includes both the periodic review and amendment proposals,CITES_1_4_1_7,CITES,NA,Governance,Nature-Based Legislation,NA,NA,The number and proportion of species that have been found to meet the criteria contained in Resolution Conf.9.24 or its successors. This includes both the periodic review and amendment proposals
"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the population status of appendix-ii species",CITES_1_5_1_8_a,CITES,NA,Governance,Nature-Based Legislation,NA,NA,"The number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in Resolution Conf.16.7 on Non detriment findings related to  the population status of Appendix-II species"
"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the trends and impact of trade upon appendix-ii species",CITES_1_5_1_8_b,CITES,NA,Governance,Nature-Based Legislation,NA,NA,"The number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in Resolution Conf.16.7 on Non detriment findings related to  the trends and impact of trade upon Appendix-II species"
"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the status of and trend in naturally-occurring appendix i species and the impact of any recovery plans",CITES_1_5_1_8_c,CITES,NA,Governance,Nature-Based Legislation,NA,NA,"The number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in Resolution Conf.16.7 on Non detriment findings related to the status of and trend in naturally-occurring Appendix I species and the impact of any recovery plans"
the number of parties that have adopted standard procedures for making non detriment findings,CITES_1_5_2_9,CITES,NA,Governance,Nature-Based Legislation,NA,NA,The number of Parties that have adopted standard procedures for making non detriment findings
the number and proportion of annual export quotas based on population surveys,CITES_1_5_3_10,CITES,NA,Governance,Nature-Based Legislation,NA,NA,The number and proportion of annual export quotas based on population surveys
the number of appendix ii species for which trade is determined to be non detrimental to the survival of the species as a result of implementing recommendations from the review of significant trade,CITES_1_5_4_11,CITES,NA,Governance,Nature-Based Legislation,NA,NA,The number of Appendix II species for which trade is determined to be non detrimental to the survival of the species as a result of implementing recommendations from the Review of Significant Trade
the number of bilateral and multilateral agreements that specifically provide for co-management of shared cites listed species by range states,CITES_1_6_1_12,CITES,NA,Governance,Nature-Based Legislation,NA,NA,The number of bilateral and multilateral agreements that specifically provide for co-management of shared CITES listed species by range States
"the number of cooperative management plans, including recovery plans, in place for shared populations of cites listed species",CITES_1_6_2_13,CITES,NA,Governance,Nature-Based Legislation,NA,NA,"The number of cooperative management plans, including recovery plans, in place for shared populations of CITES listed species"
"the number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared, cites listed, species",CITES_1_6_3_14,CITES,NA,Knowledge Systems,Specific Information On Human-Nature Relationship,NA,NA,"The number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared, CITES listed, species"
"the number of parties that have, or are covered by, or engaged with an international enforcement strategy and/or action plans; formal international co-operation, such as an international enforcement network; a national enforcement strategy and/or action plan; and formal national inter-agency co-operation, such as a national inter-agency enforcement committee",CITES_1_7_1_15,CITES,NA,Governance,Nature-Based Legislation,Governance,National/International Cooperation,"The number of Parties that have, or are covered by, or engaged with an international enforcement strategy and/or action plans; formal international co-operation, such as an international enforcement network; a national enforcement strategy and/or action plan; and formal national inter-agency co-operation, such as a national inter-agency enforcement committee"
"the number of parties with a process or mechanism for reviewing their enforcement strategies, and the activities to implement their strategies",CITES_1_7_2_16,CITES,NA,Governance,Nature-Based Legislation,NA,NA,"The number of Parties with a process or mechanism for reviewing their enforcement strategies, and the activities to implement their strategies"
"the number of parties that have criminal (penal) law and procedures and forensic capacity in place, and that use specialized investigation techniques, for investigating, prosecuting, and penalizing cites offences",CITES_1_7_3_17,CITES,NA,Governance,Nature-Based Legislation,NA,NA,"The number of Parties that have criminal (penal) law and procedures and forensic capacity in place, and that use specialized investigation techniques, for investigating, prosecuting, and penalizing CITES offences"
the number of parties using risk assessment and intelligence to combat illegal trade in cites-listed species,CITES_1_7_4_18,CITES,NA,Governance,Nature-Based Legislation,NA,NA,The number of Parties using risk assessment and intelligence to combat illegal trade in CITES-listed species
"the number of administrative measures, criminal prosecutions and other court actions for cites-related offences",CITES_1_7_5_19,CITES,NA,Governance,Nature-Based Legislation,NA,NA,"The number of administrative measures, criminal prosecutions and other court actions for CITES-related offences"
"the number of parties with national and regional training programmes and information resources in place to implement cites including the making of non-detriment findings, issuance of permits and enforcement",CITES_1_8_1_20,CITES,NA,Knowledge Systems,Specific Information On Human-Nature Relationship,NA,NA,"The number of Parties with national and regional training programmes and information resources in place to implement CITES including the making of non-detriment findings, issuance of permits and enforcement"
the number of parties meeting their obligations with regard to their assessed contributions to the trust fund,CITES_2_1_1_21,CITES,NA,Governance,Nature-Based Legislation,NA,NA,The number of Parties meeting their obligations with regard to their assessed contributions to the Trust Fund
the percentage of the work programme agreed by the conference of the parties that is fully funded,CITES_2_1_2_22,CITES,NA,Governance,Nature-Based Funding,NA,NA,The percentage of the work programme agreed by the Conference of the Parties that is fully funded
"the number of parties with dedicated staff and funding for management authorities, scientific authorities and wildlife trade enforcement agencies",CITES_2_2_1_23,CITES,NA,Governance,Nature-Based Legislation,NA,NA,"The number of Parties with dedicated staff and funding for Management Authorities, Scientific Authorities and wildlife trade enforcement agencies"
"the number of parties that have undertaken one or more of the following activities in the past two years increased the budget for activities; hired more staff; developed implementation tools; and purchased technical equipment for implementation, monitoring or enforcement",CITES_2_2_2_24,CITES,NA,Governance,Nature-Based Legislation,NA,NA,"The number of Parties that have undertaken one or more of the following activities in the past two years increased the budget for activities; hired more staff; developed implementation tools; and purchased technical equipment for implementation, monitoring or enforcement"
the number of parties raising funds for cites implementation through user fees or other mechanisms,CITES_2_2_3_25,CITES,NA,Governance,Nature-Based Funding,NA,NA,The number of Parties raising funds for CITES implementation through user fees or other mechanisms
the number of parties using incentive measures as part of their implementation of the convention,CITES_2_2_4_26,CITES,NA,Governance,Nature-Based Funding,NA,NA,The number of Parties using incentive measures as part of their implementation of the Convention
the number of capacity building activities mandated by resolutions and decisions that are fully funded,CITES_2_3_1_27,CITES,NA,Governance,Nature-Based Funding,NA,NA,The number of capacity building activities mandated by Resolutions and Decisions that are fully funded
the number of parties funded by international financial mechanisms and other related institutions to develop activities that include cites-related conservation and sustainable development elements,CITES_3_1_1_28,CITES,NA,Governance,Nature-Based Funding,Governance,National/International Cooperation,The number of Parties funded by international financial mechanisms and other related institutions to develop activities that include CITES-related conservation and sustainable development elements
the number of countries and institutions that have provided additional funding from cites authorities to another country or activity for conservation and sustainable development projects in order to further the objectives of the convention,CITES_3_1_2_29,CITES,NA,Governance,Nature-Based Funding,Governance,National/International Cooperation,The number of countries and institutions that have provided additional funding from CITES Authorities to another country or activity for conservation and sustainable development projects in order to further the objectives of the Convention
the number of parties that have been involved in cites awareness raising activities to bring about better awareness by the wider public and relevant user groups of the convention requirements,CITES_3_2_1_30,CITES,NA,Governance,Nature-Based Funding,Knowledge Systems,Specific Information On Human-Nature Relationship,The number of Parties that have been involved in CITES awareness raising activities to bring about better awareness by the wider public and relevant user groups of the Convention requirements
the number of visits to the cites website,CITES_3_2_2_31,CITES,NA,Knowledge Systems,Specific Information On Human-Nature Relationship,NA,NA,The number of visits to the CITES website
the number of parties with web pages on cites and its requirements,CITES_3_2_3_32,CITES,NA,Knowledge Systems,Specific Information On Human-Nature Relationship,NA,NA,The number of Parties with web pages on CITES and its requirements
"the number of parties which report that they have achieved synergies in their implementation of cites, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements",CITES_3_3_1_33,CITES,NA,Governance,Nature-Based Legislation,NA,NA,"The number of Parties which report that they have achieved synergies in their implementation of CITES, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements"
"the number of biodiversity conservation or sustainable use projects, trade and development goals, or scientific and technical programmes that integrate cites requirements",CITES_3_3_2_34,CITES,NA,Knowledge Systems,Specific Information On Human-Nature Relationship,Governance,Nature-Based Legislation,"The number of biodiversity conservation or sustainable use projects, trade and development goals, or scientific and technical programmes that integrate CITES requirements"
the number of parties cooperating and/or collaborating with intergovernmental and non-governmental organizations to participate in and/or fund cites workshops and other training and capacity-building activities,CITES_3_3_3_35,CITES,NA,Knowledge Systems,Specific Information On Human-Nature Relationship,Governance,National/International Cooperation,The number of Parties cooperating and/or collaborating with intergovernmental and non-governmental organizations to participate in and/or fund CITES workshops and other training and capacity-building activities
the conservation status of species listed on the cites appendices has stabilized or improved,CITES_3_4_1_36,CITES,NA,Biodiversity,Change In Biodiversity,NA,NA,The conservation status of species listed on the CITES Appendices has stabilized or improved
the number of parties incorporating cites into their national biodiversity strategy and action plan (nbsap),CITES_3_4_2_37,CITES,NA,Governance,Nature-Based Legislation,NA,NA,The number of Parties incorporating CITES into their National Biodiversity Strategy and Action Plan (NBSAP)
the number of cooperative actions taken under established bilateral or multilateral agreements to prevent species from being unsustainably exploited through international trade,CITES_3_5_1_38,CITES,NA,Governance,Nature-Based Legislation,Governance,National/International Cooperation,The number of cooperative actions taken under established bilateral or multilateral agreements to prevent species from being unsustainably exploited through international trade
the number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade,CITES_3_5_2_39,CITES,NA,Governance,Nature-Based Legislation,Governance,National/International Cooperation,The number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade
trends in awareness and attitudes to migratory species,SPMS_1_1,CMS,NA,Knowledge Systems,Information On Biodiversity,Biodiversity,State Of Biodiversity,Trends in awareness and attitudes to migratory species
trends in integration of migratory species values in national and sectoral policies,SPMS_2_2,CMS,NA,Governance,Nature-Based Legislation,Knowledge Systems,Information On Biodiversity,Trends in integration of migratory species values in national and sectoral policies
status of migratory species in trade,SPMS_5_1_3,CMS,NA,Knowledge Systems,Information On Biodiversity,Ecosystem Services,Specific Monetary Valuation Of Nature Contribution,Status of migratory species in trade
wild commodities index (migratory species),SPMS_5_2_4,CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity,Wild Commodities Index (migratory species)
proportion of migratory fish stocks in safe biological limits,SPMS_6_5,CMS,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,Biodiversity,State Of Biodiversity,Proportion of migratory fish stocks in safe biological limits
trends in threats to migratory species,SPMS_7_6,CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity,Trends in threats to migratory species
red list index (migratory species),SPMS_8_1_7,CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity,Red List Index (migratory species)
red list index (cms-listed bird species),SPMS_8_1_1_8,CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity,Red List Index (CMS-listed bird species)
red list index (migratory bird species),SPMS_8_1_2_9,CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity,Red List Index (migratory bird species)
red list index (cms-listed bird and mammal species),SPMS_8_1_3_10,CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity,Red List Index (CMS-listed bird and mammal species)
living planet index (migratory species),SPMS_8_2_11,CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity,Living Planet Index (migratory species)
wild bird index (migratory birds),SPMS_8_3_12,CMS,NA,Biodiversity,State Of Biodiversity,Knowledge Systems,Information On Biodiversity,Wild Bird Index (migratory birds)
trends in distribution of migratory species,SPMS_8_4_13,CMS,NA,Biodiversity,Change In Biodiversity,Knowledge Systems,Information On Biodiversity,Trends in distribution of migratory species
"trends in conservation status, including connectivity, of identified habitats of key importance for migratory species",SPMS_10_1_14,CMS,NA,Biodiversity,Change In Biodiversity,Knowledge Systems,Information On Biodiversity,"Trends in conservation status, including connectivity, of identified habitats of key importance for migratory species"
coverage of key habitats for migratory species in protected areas,SPMS_10_2_15,CMS,NA,Ecosystems,Area Conservation,Governance,Nature-Based Legislation,Coverage of key habitats for migratory species in protected areas
trends in protected area coverage of each key biodiversity area identified for cms-listed bird and mammal species,SPMS_10_2_1_16,CMS,NA,Ecosystems,Change In Ecosystems,Governance,Nature-Based Legislation,Trends in protected area coverage of each Key Biodiversity Area identified for CMS-listed bird and mammal species
trends in protected area coverage of each key biodiversity area identified for migratory bird and mammal species,SPMS_10_2_2_17,CMS,NA,Ecosystems,Change In Ecosystems,Governance,Nature-Based Legislation,Trends in protected area coverage of each Key Biodiversity Area identified for migratory bird and mammal species
management effectiveness of areas protected specifically for migratory species,SPMS_10_3_18,CMS,NA,Biodiversity,Change In Biodiversity,Governance,Nature-Based Legislation,Management effectiveness of areas protected specifically for migratory species.
trends in delivery of ecosystem services directly dependent on migratory species,SPMS_11_19,CMS,NA,Ecosystems,Change In Ecosystems,Governance,Nature-Based Legislation,Trends in delivery of ecosystem services directly dependent on migratory species
trends in genetic diversity of selected species,SPMS_12_20,CMS,NA,Biodiversity,Change In Biodiversity,Biodiversity,Genetic Diversity,Trends in genetic diversity of selected species
trends in integration of migratory species concerns in national biodiversity strategies and action plans,SPMS_13_21,CMS,NA,Biodiversity,Change In Biodiversity,Governance,Nature-Based Legislation,Trends in integration of migratory species concerns in National Biodiversity Strategies and Action Plans
"trends in the degree to which traditional knowledge and practices are respected through: full integration, participation and safeguards in national implementation of the strategic plan for migratory species",SPMS_14_22,CMS,NA,Knowledge Systems,Specific Information On Ilk And Iplc,Knowledge Systems,Information On Society And Socio-Economics,"Trends in the degree to which traditional knowledge and practices are respected through: full integration, participation and safeguards in national implementation of the Strategic Plan for Migratory Species"
number of validated publications on migratory species conservation actively disseminated for policy-relevant use,SPMS_15_23,CMS,NA,Knowledge Systems,Information On Biodiversity,NA,NA,Number of validated publications on migratory species conservation actively disseminated for policy-relevant use
"aggregated international flows of funding, per annum, for achieving the goals of the strategic plan for migratory species",SPMS_16_24,CMS,NA,Governance,Nature-Based Legislation,NA,NA,"Aggregated international flows of funding, per annum, for achieving the goals of the Strategic Plan for Migratory Species."
"amount of domestic financial support provided, per annum, to support those domestic activities which are intended to achieve the goals of the strategic plan for migratory species",SPMS_16_25,CMS,NA,Governance,Nature-Based Legislation,NA,NA,"Amount of domestic financial support provided, per annum, to support those domestic activities which are intended to achieve the goals of the Strategic Plan for Migratory Species."
the recognition of combating wildlife crime as a high priority for national law enforcement agencies,ICCWC_1_1,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The recognition of combating wildlife crime as a high priority for national law enforcement agencies.
the recognition of wildlife crime involving organized criminal groups as serious crime,ICCWC_1_2,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The recognition of wildlife crime involving organized criminal groups as serious crime.
the existence of a national enforcement strategy and/or action plan for wildlife crime,ICCWC_1_3,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The existence of a national enforcement strategy and/or action plan for wildlife crime.
the extent of inter-agency cooperation among national law enforcement agencies to combat wildlife crime,ICCWC_1_4,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The extent of inter-agency cooperation among national law enforcement agencies to combat wildlife crime.
the extent of international cooperation to combat wildlife crime,ICCWC_1_5,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The extent of international cooperation to combat wildlife crime.
the extent to which strategic risk management is used to target operational enforcement planning and the implementation of measures to combat wildlife crime,ICCWC_1_6,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The extent to which strategic risk management is used to target operational enforcement planning and the implementation of measures to combat wildlife crime.
the extent to which proactive investigations are used to target prominent and emerging wildlife crime threats,ICCWC_1_7,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The extent to which proactive investigations are used to target prominent and emerging wildlife crime threats.
the level of staff resources in national law enforcement agencies to combat wildlife crime,ICCWC_1_8,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The level of staff resources in national law enforcement agencies to combat wildlife crime.
the extent to which institutional training programmes for national law enforcement agencies include content to build capacity to combat wildlife crime,ICCWC_1_9,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The extent to which institutional training programmes for national law enforcement agencies include content to build capacity to combat wildlife crime.
the extent to which law enforcement activities are targeted towards the locations most affected by or used for wildlife crime,ICCWC_2_10,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The extent to which law enforcement activities are targeted towards the locations most affected by or used for wildlife crime.
participation in multi-disciplinary enforcement operations targeting wildlife crime,ICCWC_2_11,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,Participation in multi-disciplinary enforcement operations targeting wildlife crime.
the extent to which ports of entry and exit are staffed with law enforcement officers that are aware of and trained in detecting and responding to wildlife crime,ICCWC_2_12,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The extent to which ports of entry and exit are staffed with law enforcement officers that are aware of and trained in detecting and responding to wildlife crime.
"the extent to which law enforcement officers at ports of entry and exit can access equipment, tools and materials to detect and respond to wildlife crime",ICCWC_2_13,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,"The extent to which law enforcement officers at ports of entry and exit can access equipment, tools and materials to detect and respond to wildlife crime."
the extent to which national legislation empowers law enforcement agencies to inspect and seize consignments suspected of containing illegal wildlife specimens and confiscate,ICCWC_2_14,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The extent to which national legislation empowers law enforcement agencies to inspect and seize consignments suspected of containing illegal wildlife specimens and confiscate
"the adequacy of the systems and procedures that are in place for the management, secure storage, auditing and disposal of confiscated wildlife specimens",ICCWC_2_15,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,"The adequacy of the systems and procedures that are in place for the management, secure storage, auditing and disposal of confiscated wildlife specimens."
the number (and type) of seizures of specimens of illicitly-traded wildlife,ICCWC_2_16,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The number (and type) of seizures of specimens of illicitly-traded wildlife.
the number (and type) of large-scale seizures of specimens of illicitly-traded wildlife,ICCWC_2_17,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The number (and type) of large-scale seizures of specimens of illicitly-traded wildlife.
the capacity of national law enforcement agencies to investigate wildlife crime cases,ICCWC_3_18,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The capacity of national law enforcement agencies to investigate wildlife crime cases.
the extent of national procedures and systems to collate information on wildlife crime,ICCWC_3_19,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The extent of national procedures and systems to collate information on wildlife crime.
the extent to which information on wildlife crime is verified and analyzed to generate intelligence,ICCWC_3_20,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The extent to which information on wildlife crime is verified and analyzed to generate intelligence.
the extent to which criminal intelligence is used to support investigations into wildlife crime,ICCWC_3_21,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The extent to which criminal intelligence is used to support investigations into wildlife crime.
the extent to which follow-up investigations are conducted for wildlife crime cases,ICCWC_3_22,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The extent to which follow-up investigations are conducted for wildlife crime cases.
the percentage of wildlife crime cases of a transnational nature that were reported to databases of intergovernmental organizations mandated to receive and maintain such data,ICCWC_3_23,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The percentage of wildlife crime cases of a transnational nature that were reported to databases of intergovernmental organizations mandated to receive and maintain such data.
the existence of provisions in national legislation to use specialized investigation techniques in the investigation of wildlife crime,ICCWC_4_24,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The existence of provisions in national legislation to use specialized investigation techniques in the investigation of wildlife crime.
the use of specialized investigation techniques by national law enforcement agencies to combat wildlife crime,ICCWC_4_25,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The use of specialized investigation techniques by national law enforcement agencies to combat wildlife crime.
the capacity of national law enforcement agencies to use forensic technology to support wildlife crime investigations,ICCWC_4_26,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The capacity of national law enforcement agencies to use forensic technology to support wildlife crime investigations.
the capacity of national law enforcement agencies to conduct financial investigations to support the investigation and prosecution of wildlife crime,ICCWC_4_27,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The capacity of national law enforcement agencies to conduct financial investigations to support the investigation and prosecution of wildlife crime.
"the comprehensiveness of national legislative provisions for wildlife conservation, management and use, including international trade in protected species of wildlife",ICCWC_5_28,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,"The comprehensiveness of national legislative provisions for wildlife conservation, management and use, including international trade in protected species of wildlife."
the category in which cites implementation legislation has been placed under the cites national legislation project,ICCWC_5_29,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The category in which CITES implementation legislation has been placed under the CITES National Legislation Project.
the extent to which national provisions for international cooperation in criminal matters are applied to wildlife crime,ICCWC_5_30,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The extent to which national provisions for international cooperation in criminal matters are applied to wildlife crime.
the existence of provisions against corruption in national legislation that can be used in the investigation and prosecution of wildlife crime,ICCWC_5_31,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The existence of provisions against corruption in national legislation that can be used in the investigation and prosecution of wildlife crime.
the existence of national legislation for organized crime that can be used in the investigation and prosecution of wildlife crime,ICCWC_5_32,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The existence of national legislation for organized crime that can be used in the investigation and prosecution of wildlife crime.
the extent to which a combination of relevant national legislation and criminal law is used to prosecute wildlife crime in support of legislation enacted to combat wildlife crime,ICCWC_6_33,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The extent to which a combination of relevant national legislation and criminal law is used to prosecute wildlife crime in support of legislation enacted to combat wildlife crime.
the capacity of national law enforcement agencies to prepare wildlife crime case files and give evidence in court,ICCWC_6_34,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The capacity of national law enforcement agencies to prepare wildlife crime case files and give evidence in court.
