indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,usage_ipbes,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2
water withdrawal,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,Human Well-Being,Nature Contribution,Healthy Living Conditions
renewable internal freshwater resource,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),Coverage Of Basic Needs
agricultural water withdrawal,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
ramsar sites,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,Area Conservation,Species Conservation
certified forest area,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA
united nations framework convention on climate change,NA,1,"GA,GEO",1,2,0,2,1,1,1,NA,Knowledge Systems,Direct Drivers,Information On Society And Socio-Economics,Climate Change
convention of fishing and conservation of the living resources of the high seas,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,National/International Cooperation,NA
montreal protocol,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,National/International Cooperation,NA
convention on biological diversity,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,National/International Cooperation,NA
convention on the conservation of antarctic marine living resources,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,National/International Cooperation,NA
"credit to agriculture, forestry and fishing",NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,Nature Detrimental Legislation,NA
political stability and absence of violence/terrorism,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,Human Well-Being,Legislation/Governance,Wellness
above-ground biomass,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems,NA
biodiversity habitat index (hotspots),NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
coastal carbon-rich habitat,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems,NA
coastal protection habitats,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,Area Conservation,NA
forest area,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
extent of intact forest landscapes,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA
extent of marine wilderness,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems (Marine),NA
extent of terrestrial wilderness,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems,NA
fraction of ocean not fished per year,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,Direct Drivers,State Of Ecosystems,Land Conversion
land not cultivated or urban,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,Human Assets,State Of Ecosystems,Infrastructure (Build-Up Area)
land not cultivated or urban (hotspots),NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,Human Assets,State Of Ecosystems,Infrastructure (Build-Up Area)
land not cultivated or urban (indigenous lands),NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,Human Assets,State Of Ecosystems,Infrastructure (Build-Up Area)
leaf area index (lai),NA,1,"GA,IPCC",1,2,0,2,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
mangrove forest area,NA,1,"GA,VA",1,2,0,2,2,1,1,1,Ecosystems,NA,State Of Ecosystems (Coverage),NA
extent of suitable habitat,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems,NA
permanent surface water extent,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,Abiotic Conditions,NA
remaining primary vegetation,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA
remaining primary vegetation (hotspots),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA
remaining primary vegetation (indigenous lands),NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,Knowledge Systems,State Of Ecosystems (Coverage),Ilk
seagrass meadow area,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems (Freshwater/Coastal),NA
soil organic carbon (correlative model),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
soil organic carbon (mechanistic models),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
tree cover,NA,1,GA,1,1,0,1,1,1,NA,1,Biodiversity,NA,State Of Biodiversity,NA
vegetation biomass (mechanistic models),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
biological pump efficiency,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
biomass turnover rate,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,Change In Biodiversity,NA
evapotranspiration (model ensemble),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
marine net primary production,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystem Services,NA,Nature Contribution,NA
net primary production remaining in ecosystems,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,Ecosystem Services,State Of Ecosystems,Nature Contribution
oceanic carbon sequestration,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystem Services,NA,Nature Contribution,NA
terrestrial c sequestration (model ensemble),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
terrestrial net primary production (model ensemble),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
terrestrial net primary production (remote-sensing),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
biodiversity intactness index (hotspots),NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
biodiversity intactness index (indigenous lands),NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
local species richness (biotime),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
mean species abundance (msa) (hotspots),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
mean species abundance (msa) (indigenous lands),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
"biodiversity intactness index (tropical forest, hotspots)",NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
"biodiversity intactness index (tropical forest, indigenous lands)",NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
biodiversity intactness index (tropical forest),NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
bird species per grid cell,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
cumulative introduced invasive aliens,NA,1,GA,1,1,0,1,1,1,1,NA,Direct Drivers,NA,Invasive Alien Species,NA
forest-specialist bird species per grid cell,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
functional intactness (madingley) (madingley),NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA
species richness per grid cell,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
global bird richness (csar),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
global forest-specialist bird richness (csar),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
global mammal and bird species remaining,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
red list index (forest specialists),NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
red list index (internationally traded birds),NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,Ecosystem Services,State Of Biodiversity,Nature Contribution
extent of suitable habitat (mammals),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
mammalian range size,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
megafaunal range size,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
living planet index (freshwater),NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Biodiversity,State Of Ecosystems (Freshwater/Coastal)
living planet index (marine),NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Biodiversity,NA
living planet index (terrestrial),NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Biodiversity,NA
predatory fish biomass,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
prey fish biomass,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
wild bird index (habitat specialists),NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
wild mammal biomass,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
functional richness (madingley),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
mammalian body mass,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
marine trophic index (mti),NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems (Marine),NA
extent of each ecoregion globally,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Area Conservation,NA
landscape dominance of habitat,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
number of managed bee hives,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Species Conservation,NA
abundance of managed and wild pollinators,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
pollinator diversity,NA,1,GA,1,1,0,1,1,1,1,NA,Direct Drivers,NA,Pollution,NA
proportion pollinator dependent vegetables/fruit in food supply,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,Ecosystem Services,Information On Biodiversity,Nature Contribution
number of visitors to national parks in the eeuu,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,Human Well-Being,Nature Contribution,Recreation
output from pollinator dependent crops,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
carbon stocks in ecosystems,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
prevented emissions from biofuel use,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
vegetation type and cover in areas prone to soil dust emission,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
leaf properties,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
vegetation type and cover in areas prone to soil dust movement,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
concentration of air pollutants in the air,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Pollution,NA
retention and prevented emissions of air pollutants by ecosystems,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystem Services,NA,Nature Contribution,NA
amelioration of health problems caused by air pollution resulted from ecosystem contributions to air quality,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Direct Drivers,Healthy Living Conditions,Pollution
reduction in the number of deaths caused by air pollution reduction by ecosystems,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Direct Drivers,Healthy Living Conditions,Pollution
"premature deaths caused by pollution emissions by natural sources, biomass burning, firewood use and agriculture",NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Pollution,NA
cost reduction with healthcare resulted from ecosystem contributions to air quality,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
cost reduction associated to prevented deaths caused by air pollution as consequence of ecosystems’ deposition of air pollutants,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
vegetation-atmosphere co2 exchange,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
below- and above-ground biomass stocks,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
biomass changes,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA
remote sensed vegetation,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
mechanistic models that quantify and disentangle effects of vegetation on climate and hydrological cycle,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
atmospheric sounding,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
infiltrability,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA
air temperature low-cost thermal imagery,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
soil organic carbon,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,Abiotic Conditions,NA
dust emissions,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Pollution,NA
net greenhouse gases emissions,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Climate Change,NA
air-sea and sediment-water fluxes of carbon and co2,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,Ecosystems,Climate Change,Abiotic Conditions
air-sea fluxes of other greenhouse gases such as dimethyl sulfide,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,Ecosystems,Climate Change,Abiotic Conditions
dissolved organic carbon,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
co2 removal from atmosphere,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,Direct Drivers,Nature Contribution,Climate Change
net primary production,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,Ecosystem Services,State Of Ecosystems,Nature Contribution
abundance of sulfate reducing microorganisms,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
carbon sequestration,NA,1,GA,1,1,0,1,1,1,NA,1,Ecosystem Services,NA,Nature Contribution,NA
concentration of greenhouse gases in the atmosphere,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Climate Change,NA
prevented emissions and uptake of greenhouse gases by ecosystems,NA,1,GA,1,1,0,1,1,1,1,NA,Direct Drivers,NA,Climate Change,NA
number of deaths caused by extreme climatic events,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Natural Drivers,NA
food security and climate change,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,Direct Drivers,Coverage Of Basic Needs,Climate Change
number of undernourished people,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Human Assets,Healthy Living Conditions,Coverage Of Basic Needs
crop production breaks caused by climate change,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Climate Change,NA
"economic impacts of climate change on specific aspects of regional economic activity, such as labour productivity, the supply of production factors such as capital, and changes in the structure of demand",NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,Climate Change
extent of marine vegetation,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Marine),NA
extent of marine calcification,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,Direct Drivers,State Of Ecosystems,Pollution
net primary production seaweed aquaculture,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
extent of coral reefs,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
land use change that causes a change in et,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Change In Ecosystems,NA
change in terrestrial biomass,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA
change in extent of wetlands and inland water bodies,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Change In Ecosystems,NA
"biotic mediation of air-surface-groundwater partitioning (water demand by vegetation, infiltration)",NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
water availability,NA,1,GA,1,1,0,1,1,1,1,NA,Human Assets,Ecosystem Services,Coverage Of Basic Needs,Nature Contribution
water available for people relative to demand,NA,1,GA,1,1,0,1,1,1,1,NA,Human Assets,Human Well-Being,Coverage Of Basic Needs,Healthy Living Conditions
extent of irrigated area,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
water shortage,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,Human Well-Being,Coverage Of Basic Needs,Healthy Living Conditions
desertification,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,Change In Ecosystems
how much kw hrs that are dependent on water ag (irrigated area),NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA
suspended organic carbon,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
existence of non-crop or urban in a place dominated by either,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA
capacity of ecosystem to filter (or add) constituent components (extent of vegetation),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,Ecosystem Services,State Of Ecosystems (Coverage),Nature Contribution
concentration of constituents (pollutants) in the water,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Pollution,NA
reduced incidence of water borne disease,NA,1,GA,1,1,0,1,1,1,1,NA,Direct Drivers,NA,(Infectious) Diseases,NA
avoided water treatment costs,NA,1,GA,1,1,0,1,1,1,1,NA,Human Assets,NA,NA,NA
rain-use efficiency adjusted ndvi,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
crop yield,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,Ecosystem Services,Coverage Of Basic Needs,Specific Monetary Valuation Of Nature Contribution
soil depth,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
food security,NA,1,"GA,GEO",1,2,0,2,1,1,NA,1,Human Well-Being,Human Assets,Healthy Living Conditions,Coverage Of Basic Needs
soil biodiversity,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
soil quality,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
soil degradation impact on crop productivity,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Natural Drivers,NA
coral reefs distribution and extent,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,State Of Ecosystems (Marine)
mangrove distribution and abundance,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA
saltmarsh distribution and abundance,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
coastal forest distribution and extent,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,State Of Ecosystems (Coverage)
globally available combined bathy/topo,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
globally available data for waves and wind,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,Knowledge Systems,Abiotic Conditions,NA
globally available continental shelf,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Marine),NA
thousands of deaths each year,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Knowledge Systems,Healthy Living Conditions,Coverage Of Basic Needs
billions of dollars each year,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,State Of Economy,NA
fraction of people die due to flood,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,Human Well-Being,Natural Drivers,Healthy Living Conditions
fraction of people infected with disease of flood,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Natural Drivers,(Infectious) Diseases
post-traumatic stress disorder score,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Wellness,NA
cumulative exposure indicators,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,Ecosystem Services,Pollution,Nature Contribution
psychological health indicators,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Wellness,Healthy Living Conditions
direct tangible damage loss,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Natural Drivers,NA
landscape inundated by the flood,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
"absolute damage to roads and transportation, power plant,etc",NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA
lowered incidence and impact of hazards,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Healthy Living Conditions,NA
lowered flood peaks,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Natural Drivers,NA
lowered fuel load (fires),NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Natural Drivers,NA
coastal protection,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Area Conservation,NA
landslides stabilization,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
incidence of hazards,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Pollution,NA
reduced morbidity and premature mortality,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Healthy Living Conditions,NA
reduced property loss,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Information On Society And Socio-Economics,NA
near- or on-farm habitat diversity,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA
landscape complexity,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
abundance of alternative hosts species,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
avoided costs of pesticide use,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Governance,Healthy Living Conditions,Nature-Based Funding
avoided costs of health treatment of vbd,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Governance,Healthy Living Conditions,Nature-Based Funding
reduced pesticide use,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Pollution,NA
reduced prevalence of vbd,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,(Infectious) Diseases,NA
diversity of biological controllers of pests,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
diversity of competent hosts of vector-borne and zoonotic diseases,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,(Infectious) Diseases,NA
abundance of wild and managed biological controllers of pests,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
abundance of competent hosts of vector-born and zoonotic diseases,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
avoided pest damage to crop and livestock,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Governance,Healthy Living Conditions,Nature-Based Funding
reduced incidence rate of vector-borne and zoonotic diseases,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,(Infectious) Diseases,NA
"tonnage of biomass (sugar cane, corn, palm oil)",NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
land area in biomass production,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA
tonnage of fuelwood,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
biomass estimates in forests,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA
numbers of livestock and use rate,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
"tonnage of biomass (sugar cane, corn, palm oil), other energy crops",NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
yield (production) in tonnage,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
biofuel yield in joules or liters,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
"biofuel yield in joules or liters from agricultural/horticultural residue, forestry industry residue, other organic residues or by-products from various industries/process",NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
biofuel yield in joules or liters from industrial effluents and/or municipal solid waste,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
biofuel yield joules or liters from algal/microalgae biomass,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
population directly reliant on biomass,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
kwh x price,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA
tons of oil equivalent x price,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Income,NA
land suitability and extent of bioenergy crop and livestock producing and harvesting areas,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,Ecosystem Services,State Of Ecosystems,Nature Contribution
diversity and abundance of species for bioenergy use,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
energy content of bioenergy crops,NA,1,GA,1,1,0,1,1,1,1,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA
tonnage of animal waste used for energy,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
increased energy security,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA
revenue from bioenergy production,NA,1,GA,1,1,0,1,1,1,1,NA,Human Assets,Ecosystem Services,State Of Economy,Nature Contribution
yield per hectare converted to caloric or nutrient yield,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA
agrodiversity and landraces known to date for major crops,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,Biodiversity,Nature Contribution,State Of Biodiversity
remote sensing of croplands,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
types of agroecosystems,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
landed catch,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
