indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,usage_ipbes,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2,ipbes_assess
area of natural and traditional landscapes and seascapes,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
"number of protected areas, parks and gardens",NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Area Conservation,NA,GA
"visitation rate to natural terrestrial, coastal and marine areas",NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,Knowledge Systems,Broken Governance,Information On Society And Socio-Economics,GA
"increased awareness, care, mental health, cultural security, life-satisfaction",NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Healthy Living Conditions,Wellness,GA
abundance of slowly changing ecosystems (time past last land use change),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Change In Ecosystems,NA,GA
identity value,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Equity,NA,GA
happyness,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Wellness,NA,GA
quantitative genetic variation,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA,GA
phenotypic variation,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Diversity,NA,GA
neutral variation (markers not linked to traits under selection),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,Genetic Diversity,GA
non-neutral variation (markers linked to traits under selection),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Diversity,NA,GA
phylogenetic variation (of genes or populations within species),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Diversity,NA,GA
demographic variation,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Cultural Diversity,NA,GA
"functional diversity (fd), rarity, redundancy, vulnerability",NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
community-weighted mean trait value (cwm),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
phylogenetic diversity (pd),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Diversity,NA,GA
overdisperion/ underdispersion,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,Direct Drivers,Change In Biodiversity,Invasive Alien Species,GA
taxonomic diversity and distinctness,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
"phylogenetic species richness (psr), clustering (psc), evenness (pse), variability (psv)",NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Diversity,NA,GA
number of species,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
equitability (commonness and rareness),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Diversity,NA,GA
species abundance distribution,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
endemism (% endemics in community),NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,Information On Biodiversity,NA,GA
emergence (shannon’s information),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Diversity,NA,GA
genetic variation (self-organization),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA,GA
genetic variation (complexity),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA,GA
genetic variation (homeostasis),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA,GA
genetic variation (hamming distance),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA,GA
genetic variation (dissimilarity),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA,GA
genetic variation (cohesion),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA,GA
"genetic variation (connectance, numbers of links by the number of nodes)",NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA,GA
betadiversity (species turnover),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA,GA
gamma diversity (total diversity of species in a landscape),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
genetic variation (nestedness),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA,GA
phylogenetic betadiversity,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Diversity,NA,GA
phylogenetic structure of a community,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Diversity,NA,GA
trait convergence assembly pattern (tcap),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
trait divergence assembly pattern (tdap),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
functional betadiversity,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
loss of species,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA,GA
biodiversity barometer (% of respondents that have heard of biodiversity),NA,1,GA,1,1,0,1,1,1,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA,GA
biodiversity barometer (% of respondents giving correct definition of biodiversity),NA,1,GA,1,1,0,1,1,1,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA,GA
funding towards environmental education,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,Nature-Based Funding,NA,GA
online interest in biodiversity (proportion of google searches),NA,1,GA,1,1,0,1,1,1,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA,GA
funding towards environmental impact assessment,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,Nature-Based Funding,NA,GA
number of research studies involving economic valuation,NA,1,GA,1,1,0,1,1,1,1,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,GA
world trade organisation greenbox agricultural subsidies,NA,1,"GA,GEO,IPCC",1,3,0,3,1,1,1,NA,Governance,NA,Nature-Based Funding,NA,GA
funding towards institutional capacity building in fisheries,NA,1,GA,1,1,0,1,1,1,1,NA,Governance,NA,Nature-Based Funding,NA,GA
percentage of countries that are category 1 cites parties,NA,1,GA,1,1,0,1,1,1,1,NA,Governance,NA,Nature-Based Legislation,NA,GA
human appropriation of fresh water (water footprint) (thousand km3),NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,GA
marine stewardship council certified fisheries,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,GA
red list index (impacts of fisheries),NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,Ecosystem Services,State Of Biodiversity,Nature Contribution,GA
global effort in bottom-trawling,NA,1,GA,1,1,0,1,1,1,1,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,GA
nitrogen use balance,NA,1,GA,1,1,0,1,1,1,1,NA,Direct Drivers,NA,Pollution,NA,GA
wild bird index (farmland birds),NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
area of agricultural land under conservation agriculture,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,Direct Drivers,Area Conservation,Land Conversion,GA
nitrogen surplus (tg n),NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Pollution,NA,GA
percentage of countries with invasive alien species legislation,NA,1,GA,1,1,0,1,1,1,1,NA,Governance,NA,Nature-Based Legislation,NA,GA
glacial mass balance,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,Change In Ecosystems,NA,GA
mean polar sea ice extent,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
climatic impact index for birds,NA,1,GA,1,1,0,1,1,1,1,NA,Direct Drivers,Biodiversity,Climate Change,Change In Biodiversity,GA
percentage of marine and coastal areas covered by protected areas,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,Area Conservation,NA,GA
percentage of terrestrial ecoregions covered by protected areas,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,Area Conservation,NA,GA
percentage of marine ecoregions covered by protected areas,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Area Conservation,NA,GA
"protected area coverage of bird, mammal and amphibian distributions",NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,Biodiversity,Area Conservation,State Of Biodiversity,GA
number of protected area management effectiveness (pame) assessments,NA,1,"GA,VA",1,2,0,2,2,1,1,NA,Ecosystems,NA,Area Conservation,NA,"GA,VA"
funding towards nature reserves,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,Nature-Based Funding,NA,GA
funding towards species protection,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,Nature-Based Funding,NA,GA
percentage of terrestrial domesticated animal breeds at risk,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Species Conservation,NA,GA
percentage change in local species richness,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA,GA
percentage of global rural population with access to improved water resources,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Human Assets,Healthy Living Conditions,Coverage Of Basic Needs,GA
percentage of countries that have ratified the nagoya protocol,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,GA
percentage of countries with revised nbsaps,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,GA
number of biodiversity papers published,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,Information On Biodiversity,NA,GA
funding committed to environmental research,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,Nature-Based Funding,NA,GA
funding provided by the global environment facility,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,Nature-Based Funding,NA,GA
official development assistance provided in support of the cbd objectives,NA,1,GA,1,1,0,1,1,1,1,NA,Governance,NA,Legislation/Governance,NA,GA
"global funding committed towards environmental policy, laws, regulations and economic instruments",NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,Legislation/Governance,NA,GA
number of people who died or disappeared in the process of migration towards an international destinationi,NA,1,SUA,1,1,0,1,1,1,NA,NA,Governance,NA,Broken Governance,NA,SUA
"direct economic loss in relation to global gross domestic product, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters",NA,1,SUA,1,1,0,1,1,1,NA,NA,Human Assets,NA,State Of Economy,NA,SUA
degree of sustainable public procurement policies and action plan implementation,NA,1,SUA,1,1,0,1,1,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,SUA
human development index (hdi),NA,1,"GA,SUA,VA,IAS",1,4,0,4,4,NA,1,NA,Knowledge Systems,Human Well-Being,Information On Society And Socio-Economics,Wellness,"GA,SUA,VA,IAS"
inclusive wealth,NA,1,"GA,SUA,VA",1,3,0,3,3,NA,1,NA,Human Assets,NA,Income,NA,"GA,SUA,VA"
gross national happiness index,NA,1,"GA,SUA,VA,IAS",1,4,0,4,4,NA,1,NA,Human Well-Being,NA,Wellness,NA,"GA,SUA,VA,IAS"
water footprint,NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,GA
trends in forest extent,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,Change In Ecosystems,NA,GA
total wood removals,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
estimated fisheries catch and fishing effort,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
inland fishery production,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
proportion of area of forest production under fsc and pefc certification,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,Governance,Nature Contribution,Nature-Based Legislation,GA
nitrogen use efficiency,NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Pollution,NA,GA
nitrogen + phosphate fertilizers (n+p205 total nutrients),NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Pollution,NA,GA
trends in pesticide use,NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Pollution,NA,GA
protected area coverage,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,Area Conservation,NA,GA
percentage of undernourished people,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,Human Well-Being,Information On Society And Socio-Economics,Healthy Living Conditions,GA
number of countries with developed or revised nbsaps,NA,1,GA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA,GA
"number of countries with national instruments on biodiversity relevant taxes, charges and fees",NA,1,GA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA,GA
number of countries with national instruments on redd plus schemes,NA,1,GA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA,GA
trends in potentially harmful elements of government support to agriculture (produced support estimates),NA,1,GA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature Detrimental Legislation,NA,GA
trends in potentially harmful elements of government support to fisheries,NA,1,GA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature Detrimental Legislation,NA,GA
number of countries with national instruments on biodiversity relevant tradable permit schemes,NA,1,GA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA,GA
trend in carbon intensity,NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Pollution,NA,GA
global climate risk index,NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Climate Change,NA,GA
number and coverage of stocks with adaptive management systems/plans,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
presence of regulations requiring recovery of depleted species,NA,1,GA,1,1,0,1,1,NA,1,NA,Governance,Biodiversity,Nature-Based Legislation,Species Conservation,GA
policies to secure that mortalities and significant indirect adverse impacts on non-target species are accounted for are in place,NA,1,GA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA,GA
policies make adequate provisions to minimize impacts of fisheries on threatened species,NA,1,GA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA,GA
coverage of fisheries with management measures to reduce bycatch and discards,NA,1,GA,1,1,0,1,1,NA,1,NA,Governance,Ecosystem Services,Nature-Based Legislation,Specific Mention Of Sustainable Use Of Species/Ecosystems,GA
mean length of fish,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
biotime-local species richness,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
temporal species turnover,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,Change In Biodiversity,NA,GA
overall species abundance,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
non declining exploited species,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,Direct Drivers,Nature Contribution,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,GA
number of world natural heritage sites per country per year,NA,1,GA,1,1,0,1,1,NA,1,NA,Governance,Knowledge Systems,Nature-Based Legislation,Information On Society And Socio-Economics,GA
area of agricultural land under conservation,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,Direct Drivers,Area Conservation,Land Conversion,GA
trends in the numbers of invasive alien species introduction events,NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Invasive Alien Species,NA,GA
trends in invasive alien species vertebrate eradications,NA,1,GA,1,1,0,1,1,NA,1,NA,Governance,Direct Drivers,Nature-Based Legislation,Invasive Alien Species,GA
"protected area coverage of terrestrial, marine and freshwater ecoregions",NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,Area Conservation,NA,GA
protected area representativeness index,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,Governance,Area Conservation,Nature-Based Legislation,GA
wildlife picture index,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA,GA
number of species extinctions,NA,1,"GA,IAS",1,2,0,2,2,NA,1,1,Biodiversity,NA,Change In Biodiversity,NA,"GA,IAS"
better life index,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,Human Well-Being,Healthy Living Conditions,Wellness,GA
percentage of population using safely managed drinking water services,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Healthy Living Conditions,NA,GA
land under cereal production (ha),NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
global linguistic diversity index and language threat level,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Specific Information On Ilk And Iplc,NA,GA
species represented in the barcode of life data system,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,Genetic Resources,NA,GA
"information provided through the financial reporting framework, adopted by decision xii/3",NA,1,GA,1,1,0,1,1,NA,1,NA,Governance,NA,Legislation/Governance,NA,GA
child mortality,NA,1,"GA,GEO",1,2,0,2,1,NA,NA,1,Human Well-Being,NA,Healthy Living Conditions,NA,GA
caloric intake,NA,1,GA,1,1,0,1,1,NA,NA,1,Human Well-Being,NA,Healthy Living Conditions,NA,GA
per capita consumption,NA,1,GA,1,1,0,1,1,NA,NA,1,Human Well-Being,NA,Healthy Living Conditions,NA,GA
value of merchandise being exported,NA,1,GA,1,1,0,1,1,NA,NA,1,Human Assets,NA,Income,NA,GA
mortality rate under 5,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Healthy Living Conditions,NA,GA
merchandise exports,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Assets,NA,Income,NA,GA
total population,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,GA
proportion of urban population,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,GA
international migrant stock,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,GA
absence of conflict as indicator of political stability,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,GA
protection of key biodiversity areas,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,Area Conservation,NA,GA
income,NA,1,"GA,SUA",1,2,0,2,2,NA,1,1,Human Assets,NA,Income,NA,"GA,SUA"
life expectancy at birth,NA,1,GA,1,1,0,1,1,NA,NA,1,Knowledge Systems,Human Well-Being,Information On Society And Socio-Economics,Healthy Living Conditions,GA
average number of years of schooling,NA,1,GA,1,1,0,1,1,NA,NA,1,Human Assets,NA,Coverage Of Basic Needs,NA,GA
cultural identity,NA,1,GA,1,1,0,1,1,NA,NA,1,Human Well-Being,Human Well-Being,Wellness,Cultural Diversity,GA
retention over time of indigenous ecological knowledge and practices,NA,1,GA,1,1,0,1,1,NA,NA,1,Knowledge Systems,NA,Specific Information On Ilk And Iplc,NA,GA
world happiness index,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Wellness,NA,GA
social progress index,NA,1,GA,1,1,0,1,1,NA,1,NA,Knowledge Systems,Human Well-Being,Information On Society And Socio-Economics,Wellness,GA
environmental performance index,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA,GA
environmental component of the social sustainability index,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA,GA
land use change,NA,1,"GA,GEO",1,2,0,2,1,NA,1,1,Direct Drivers,NA,Land Conversion,NA,GA
extraction of living biomass,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
extraction of non-living materials,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
greenhouse gas emissions,NA,1,"GA,GEO",1,2,0,2,1,NA,1,NA,Direct Drivers,Direct Drivers,Climate Change,Pollution,GA
alien species richness,NA,1,"GA,IAS",1,2,0,2,2,NA,1,1,Biodiversity,Biodiversity,Invasive Alien Species,State Of Biodiversity,"GA,IAS"
water quality index (watqi),NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,Human Well-Being,Abiotic Conditions,Healthy Living Conditions,GA
total land footprint,NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,GA
percentage of abroad land use footprint,NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,GA
percentage of agricultural and urban areas,NA,1,GA,1,1,0,1,1,NA,1,NA,Human Assets,NA,Information On Society And Socio-Economics,NA,GA
extraction of non-human materials,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
alien species,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,Invasive Alien Species,NA,GA
biomass of prey fish,NA,1,GA,1,1,0,1,1,NA,NA,1,Biodiversity,NA,State Of Biodiversity,NA,GA
terrestrial vegetation biomass,NA,1,GA,1,1,0,1,1,NA,NA,1,Biodiversity,NA,State Of Biodiversity,NA,GA
extent of forests,NA,1,GA,1,1,0,1,1,NA,NA,1,Ecosystems,NA,Change In Ecosystems,NA,GA
extinction risk,NA,1,GA,1,1,0,1,1,NA,NA,1,Biodiversity,Biodiversity,Change In Biodiversity,Species Conservation,GA
"time needed to harvest resources, distance travelled to harvest resources",NA,1,GA,1,1,0,1,1,NA,NA,1,Ecosystem Services,NA,Nature Contribution,NA,GA
culturally salient species,NA,1,GA,1,1,0,1,1,NA,NA,1,Knowledge Systems,NA,Ilk,NA,GA
native newcomer species arrive,NA,1,GA,1,1,0,1,1,NA,NA,1,Knowledge Systems,NA,Ilk,NA,GA
new pests and invasive alien species colonize,NA,1,GA,1,1,0,1,1,NA,NA,1,Direct Drivers,NA,Invasive Alien Species,NA,GA
forests and grazing lands loss,NA,1,GA,1,1,0,1,1,NA,NA,1,Direct Drivers,NA,Land Conversion,NA,GA
remnant ecosystems degrade,NA,1,GA,1,1,0,1,1,NA,NA,1,Direct Drivers,NA,Land Conversion,NA,GA
health condition and body size of wild animals decrease,NA,1,GA,1,1,0,1,1,NA,NA,1,Biodiversity,NA,Change In Biodiversity,NA,GA
tropical forest-monocrop conversions,NA,1,GA,1,1,0,1,1,NA,NA,1,Direct Drivers,NA,Land Conversion,NA,GA
expansion of settlements,NA,1,GA,1,1,0,1,1,NA,NA,1,Human Assets,NA,Infrastructure (Build-Up Area),NA,GA
discontinued traditional land-management practices,NA,1,GA,1,1,0,1,1,NA,NA,1,Knowledge Systems,NA,Ilk,NA,GA
droughts,NA,1,GA,1,1,0,1,1,NA,NA,1,Direct Drivers,NA,Natural Drivers,NA,GA
increasingly unpredictable annual distribution of rainfall,NA,1,GA,1,1,0,1,1,NA,NA,1,Direct Drivers,NA,Natural Drivers,NA,GA
arrival of new native and alien species,NA,1,GA,1,1,0,1,1,NA,NA,1,Direct Drivers,NA,Invasive Alien Species,NA,GA
changing range of wild species,NA,1,GA,1,1,0,1,1,NA,NA,1,Biodiversity,NA,Change In Biodiversity,NA,GA
floods,NA,1,GA,1,1,0,1,1,NA,NA,1,Direct Drivers,NA,Natural Drivers,NA,GA
overexploitation of resources by outsiders and locals,NA,1,GA,1,1,0,1,1,NA,NA,1,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,GA
total richness of endemic species,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
range-size rarity,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
endemism richness,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
weighted endemisms,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
vegetation biomass,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
land not cultivated or urban (global),NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
mean annual change in above-ground biomass,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,Change In Ecosystems,NA,GA
terrestrial c sequestration,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
terrestrial net primary production,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
evapotranspiration,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA,GA
local species richness,NA,1,"GA,IAS",1,2,0,2,2,NA,1,1,Biodiversity,NA,State Of Biodiversity,NA,"GA,IAS"
tropical forest bii (indigenous lands),NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
tropical forest bii,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
tropical forest bii (hotspots),NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
functional intactness (madingley),NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
material ncp,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
biotime species richness indicator,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
predicts species-richness indicator,NA,1,GA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
human footprint,NA,1,GA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,GA
trends of populations of palatable or unpalatable species,NA,1,GA,1,1,0,1,1,NA,NA,1,Biodiversity,NA,Change In Biodiversity,NA,GA
time needed or distance travelled to harvest resources,NA,1,GA,1,1,0,1,1,NA,NA,1,Human Well-Being,NA,Healthy Living Conditions,NA,GA
opening up of forest canopy,NA,1,GA,1,1,0,1,1,NA,NA,1,Direct Drivers,NA,Land Conversion,NA,GA
"less biomass, more annuals and shrubs on pastures",NA,1,GA,1,1,0,1,1,NA,NA,1,Ecosystems,NA,Change In Ecosystems,NA,GA
proportion of unpalatable plants on rangelands,NA,1,GA,1,1,0,1,1,NA,NA,1,Ecosystems,NA,State Of Ecosystems (Configuration),NA,GA
condition and size of wild animals,NA,1,GA,1,1,0,1,1,NA,NA,1,Biodiversity,NA,State Of Biodiversity,NA,GA
percentage of live coral cover,NA,1,GA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
adverse changes in woody or shrubby vegetation,NA,1,GA,1,1,0,1,1,NA,NA,1,Ecosystems,NA,Change In Ecosystems,NA,GA
