indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,usage_ipbes,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2,meas
debt service as a proportion of exports of goods and services,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,State Of Economy,NA,SDG
"number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,National/International Cooperation,NA,SDG
"fixed internet broadband subscriptions per 100 inhabitants, by speed6",1,0,SDG,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,SDG
proportion of individuals using the internet,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,SDG
"dollar value of financial and technical assistance (including through north-south, south‑south and triangular cooperation) committed to developing countries",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,National/International Cooperation,NA,SDG
worldwide weighted tariff-average,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,SDG
developing countries’ and least developed countries’ share of global exports,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,State Of Economy,NA,SDG
"weighted average tariffs faced by developing countries, least developed countries and small island developing states",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Legislation/Governance,NA,SDG
macroeconomic dashboard,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,State Of Economy,NA,SDG
number of countries with mechanisms in place to enhance policy coherence of sustainable development,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,SDG
extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Legislation/Governance,NA,SDG
number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,SDG
amount in united states dollars committed to public-private partnerships for infrastructure,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,SDG
statistical capacity indicator for sustainable development goal monitoring,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,SDG
number of countries that have national statistical legislation that complies with the fundamental principles of official statistics,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Legislation/Governance,NA,SDG
"number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Legislation/Governance,NA,SDG
proportion of countries that have conducted at least one population and housing census in the last 10 years,1,0,SDG,NA,1,1,0,0,1,NA,NA,Governance,NA,Legislation/Governance,NA,SDG
proportion of countries that have achieved 100 per cent birth registration and 80 per cent death registration,1,0,SDG,NA,1,1,0,0,1,NA,NA,Governance,NA,Legislation/Governance,NA,SDG
the number of parties that are in category 1 under the national legislation project,1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
the number of parties that have designated management authorities and scientific authorities,1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
the number of parties subject to cites recommendations on trade,1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
the number of parties that have adopted standard transparent for timely procedures the issuance of permits in accordance with article vi of the convention,1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
the number of parties making use of the simplified procedures provided for in resolution conf.12.3 (rev.cop16),1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
the number of parties that have implemented relevant reporting under resolutions and decisions of the conference of the parties and/or standing committee recommendations,1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
the number and proportion of species that have been found to meet the criteria contained in resolution conf.9.24 or its successors. this includes both the periodic review and amendment proposals,1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the population status of appendix-ii species",1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the trends and impact of trade upon appendix-ii species",1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the status of and trend in naturally-occurring appendix i species and the impact of any recovery plans",1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
the number of parties that have adopted standard procedures for making non detriment findings,1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
the number and proportion of annual export quotas based on population surveys,1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
the number of appendix ii species for which trade is determined to be non detrimental to the survival of the species as a result of implementing recommendations from the review of significant trade,1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
the number of bilateral and multilateral agreements that specifically provide for co-management of shared cites listed species by range states,1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
"the number of cooperative management plans, including recovery plans, in place for shared populations of cites listed species",1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
"the number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared, cites listed, species",1,0,CITES,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA,CITES
"the number of parties that have, or are covered by, or engaged with an international enforcement strategy and/or action plans; formal international co-operation, such as an international enforcement network; a national enforcement strategy and/or action plan; and formal national inter-agency co-operation, such as a national inter-agency enforcement committee",1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,Governance,Nature-Based Legislation,National/International Cooperation,CITES
"the number of parties with a process or mechanism for reviewing their enforcement strategies, and the activities to implement their strategies",1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
"the number of parties that have criminal (penal) law and procedures and forensic capacity in place, and that use specialized investigation techniques, for investigating, prosecuting, and penalizing cites offences",1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
the number of parties using risk assessment and intelligence to combat illegal trade in cites-listed species,1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
"the number of administrative measures, criminal prosecutions and other court actions for cites-related offences",1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
"the number of parties with national and regional training programmes and information resources in place to implement cites including the making of non-detriment findings, issuance of permits and enforcement",1,0,CITES,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA,CITES
the number of parties meeting their obligations with regard to their assessed contributions to the trust fund,1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
the percentage of the work programme agreed by the conference of the parties that is fully funded,1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Funding,NA,CITES
"the number of parties with dedicated staff and funding for management authorities, scientific authorities and wildlife trade enforcement agencies",1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
"the number of parties that have undertaken one or more of the following activities in the past two years increased the budget for activities; hired more staff; developed implementation tools; and purchased technical equipment for implementation, monitoring or enforcement",1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
the number of parties raising funds for cites implementation through user fees or other mechanisms,1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Funding,NA,CITES
the number of parties using incentive measures as part of their implementation of the convention,1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Funding,NA,CITES
the number of capacity building activities mandated by resolutions and decisions that are fully funded,1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Funding,NA,CITES
the number of parties funded by international financial mechanisms and other related institutions to develop activities that include cites-related conservation and sustainable development elements,1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,Governance,Nature-Based Funding,National/International Cooperation,CITES
the number of countries and institutions that have provided additional funding from cites authorities to another country or activity for conservation and sustainable development projects in order to further the objectives of the convention,1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,Governance,Nature-Based Funding,National/International Cooperation,CITES
the number of parties that have been involved in cites awareness raising activities to bring about better awareness by the wider public and relevant user groups of the convention requirements,1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,Knowledge Systems,Nature-Based Funding,Specific Information On Human-Nature Relationship,CITES
the number of visits to the cites website,1,0,CITES,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA,CITES
the number of parties with web pages on cites and its requirements,1,0,CITES,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA,CITES
"the number of parties which report that they have achieved synergies in their implementation of cites, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements",1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
"the number of biodiversity conservation or sustainable use projects, trade and development goals, or scientific and technical programmes that integrate cites requirements",1,0,CITES,NA,1,1,0,0,1,NA,NA,Knowledge Systems,Governance,Specific Information On Human-Nature Relationship,Nature-Based Legislation,CITES
the number of parties cooperating and/or collaborating with intergovernmental and non-governmental organizations to participate in and/or fund cites workshops and other training and capacity-building activities,1,0,CITES,NA,1,1,0,0,1,NA,NA,Knowledge Systems,Governance,Specific Information On Human-Nature Relationship,National/International Cooperation,CITES
the conservation status of species listed on the cites appendices has stabilized or improved,1,0,CITES,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA,CITES
the number of parties incorporating cites into their national biodiversity strategy and action plan (nbsap),1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CITES
the number of cooperative actions taken under established bilateral or multilateral agreements to prevent species from being unsustainably exploited through international trade,1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,Governance,Nature-Based Legislation,National/International Cooperation,CITES
the number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade,1,0,CITES,NA,1,1,0,0,1,NA,NA,Governance,Governance,Nature-Based Legislation,National/International Cooperation,CITES
trends in awareness and attitudes to migratory species,1,0,CMS,NA,1,1,0,0,1,NA,NA,Knowledge Systems,Biodiversity,Information On Biodiversity,State Of Biodiversity,CMS
trends in integration of migratory species values in national and sectoral policies,1,0,CMS,NA,1,1,0,0,1,NA,NA,Governance,Knowledge Systems,Nature-Based Legislation,Information On Biodiversity,CMS
status of migratory species in trade,1,0,CMS,NA,1,1,0,0,1,NA,NA,Knowledge Systems,Ecosystem Services,Information On Biodiversity,Specific Monetary Valuation Of Nature Contribution,CMS
wild commodities index (migratory species),1,0,CMS,NA,1,1,0,0,1,1,NA,Biodiversity,Knowledge Systems,State Of Biodiversity,Information On Biodiversity,CMS
proportion of migratory fish stocks in safe biological limits,1,0,CMS,NA,1,1,0,0,1,NA,NA,Ecosystem Services,Biodiversity,Specific Mention Of Sustainable Use Of Species/Ecosystems,State Of Biodiversity,CMS
trends in threats to migratory species,1,0,CMS,NA,1,1,0,0,1,NA,NA,Biodiversity,Knowledge Systems,State Of Biodiversity,Information On Biodiversity,CMS
red list index (migratory species),1,0,CMS,NA,1,1,0,0,1,1,NA,Biodiversity,Knowledge Systems,State Of Biodiversity,Information On Biodiversity,CMS
red list index (cms-listed bird species),1,0,CMS,NA,1,1,0,0,1,1,NA,Biodiversity,Knowledge Systems,State Of Biodiversity,Information On Biodiversity,CMS
red list index (migratory bird species),1,0,CMS,NA,1,1,0,0,1,1,NA,Biodiversity,Knowledge Systems,State Of Biodiversity,Information On Biodiversity,CMS
red list index (cms-listed bird and mammal species),1,0,CMS,NA,1,1,0,0,1,1,NA,Biodiversity,Knowledge Systems,State Of Biodiversity,Information On Biodiversity,CMS
living planet index (migratory species),1,0,CMS,NA,1,1,0,0,1,1,NA,Biodiversity,Knowledge Systems,State Of Biodiversity,Information On Biodiversity,CMS
wild bird index (migratory birds),1,0,CMS,NA,1,1,0,0,1,1,NA,Biodiversity,Knowledge Systems,State Of Biodiversity,Information On Biodiversity,CMS
trends in distribution of migratory species,1,0,CMS,NA,1,1,0,0,1,NA,NA,Biodiversity,Knowledge Systems,Change In Biodiversity,Information On Biodiversity,CMS
"trends in conservation status, including connectivity, of identified habitats of key importance for migratory species",1,0,CMS,NA,1,1,0,0,1,NA,NA,Biodiversity,Knowledge Systems,Change In Biodiversity,Information On Biodiversity,CMS
coverage of key habitats for migratory species in protected areas,1,0,CMS,NA,1,1,0,0,1,NA,NA,Ecosystems,Governance,Area Conservation,Nature-Based Legislation,CMS
trends in protected area coverage of each key biodiversity area identified for cms-listed bird and mammal species,1,0,CMS,NA,1,1,0,0,1,NA,NA,Ecosystems,Governance,Change In Ecosystems,Nature-Based Legislation,CMS
trends in protected area coverage of each key biodiversity area identified for migratory bird and mammal species,1,0,CMS,NA,1,1,0,0,1,NA,NA,Ecosystems,Governance,Change In Ecosystems,Nature-Based Legislation,CMS
management effectiveness of areas protected specifically for migratory species,1,0,CMS,NA,1,1,0,0,1,NA,NA,Biodiversity,Governance,Change In Biodiversity,Nature-Based Legislation,CMS
trends in delivery of ecosystem services directly dependent on migratory species,1,0,CMS,NA,1,1,0,0,1,NA,NA,Ecosystems,Governance,Change In Ecosystems,Nature-Based Legislation,CMS
trends in genetic diversity of selected species,1,0,CMS,NA,1,1,0,0,1,NA,NA,Biodiversity,Biodiversity,Change In Biodiversity,Genetic Diversity,CMS
trends in integration of migratory species concerns in national biodiversity strategies and action plans,1,0,CMS,NA,1,1,0,0,1,NA,NA,Biodiversity,Governance,Change In Biodiversity,Nature-Based Legislation,CMS
"trends in the degree to which traditional knowledge and practices are respected through: full integration, participation and safeguards in national implementation of the strategic plan for migratory species",1,0,CMS,NA,1,1,0,0,1,NA,NA,Knowledge Systems,Knowledge Systems,Specific Information On Ilk And Iplc,Information On Society And Socio-Economics,CMS
number of validated publications on migratory species conservation actively disseminated for policy-relevant use,1,0,CMS,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Biodiversity,NA,CMS
"aggregated international flows of funding, per annum, for achieving the goals of the strategic plan for migratory species",1,0,CMS,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CMS
"amount of domestic financial support provided, per annum, to support those domestic activities which are intended to achieve the goals of the strategic plan for migratory species",1,0,CMS,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,CMS
the recognition of combating wildlife crime as a high priority for national law enforcement agencies,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the recognition of wildlife crime involving organized criminal groups as serious crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the existence of a national enforcement strategy and/or action plan for wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the extent of inter-agency cooperation among national law enforcement agencies to combat wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the extent of international cooperation to combat wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the extent to which strategic risk management is used to target operational enforcement planning and the implementation of measures to combat wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the extent to which proactive investigations are used to target prominent and emerging wildlife crime threats,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the level of staff resources in national law enforcement agencies to combat wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the extent to which institutional training programmes for national law enforcement agencies include content to build capacity to combat wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the extent to which law enforcement activities are targeted towards the locations most affected by or used for wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
participation in multi-disciplinary enforcement operations targeting wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the extent to which ports of entry and exit are staffed with law enforcement officers that are aware of and trained in detecting and responding to wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
"the extent to which law enforcement officers at ports of entry and exit can access equipment, tools and materials to detect and respond to wildlife crime",1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the extent to which national legislation empowers law enforcement agencies to inspect and seize consignments suspected of containing illegal wildlife specimens and confiscate,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
"the adequacy of the systems and procedures that are in place for the management, secure storage, auditing and disposal of confiscated wildlife specimens",1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the number (and type) of seizures of specimens of illicitly-traded wildlife,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the number (and type) of large-scale seizures of specimens of illicitly-traded wildlife,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the capacity of national law enforcement agencies to investigate wildlife crime cases,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the extent of national procedures and systems to collate information on wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the extent to which information on wildlife crime is verified and analyzed to generate intelligence,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the extent to which criminal intelligence is used to support investigations into wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the extent to which follow-up investigations are conducted for wildlife crime cases,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the percentage of wildlife crime cases of a transnational nature that were reported to databases of intergovernmental organizations mandated to receive and maintain such data,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the existence of provisions in national legislation to use specialized investigation techniques in the investigation of wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the use of specialized investigation techniques by national law enforcement agencies to combat wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the capacity of national law enforcement agencies to use forensic technology to support wildlife crime investigations,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the capacity of national law enforcement agencies to conduct financial investigations to support the investigation and prosecution of wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
"the comprehensiveness of national legislative provisions for wildlife conservation, management and use, including international trade in protected species of wildlife",1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the category in which cites implementation legislation has been placed under the cites national legislation project,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the extent to which national provisions for international cooperation in criminal matters are applied to wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the existence of provisions against corruption in national legislation that can be used in the investigation and prosecution of wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the existence of national legislation for organized crime that can be used in the investigation and prosecution of wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the extent to which a combination of relevant national legislation and criminal law is used to prosecute wildlife crime in support of legislation enacted to combat wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the capacity of national law enforcement agencies to prepare wildlife crime case files and give evidence in court,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the percentage of wildlife crime cases that were prosecuted in court,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the percentage of wildlife crime cases that were resolved with administrative penalties,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the capacity of prosecutors to manage wildlife crime cases,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the existence of national guidelines for the prosecution of wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the percentage of wildlife crime cases that were brought to trial which resulted in convictions,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the extent to which national legislation penalizes wildlife crime offences in a manner that reflects the nature and severity of the crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the existence of national guidelines for the sentencing of offenders convicted with wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the extent of awareness of wildlife crime among the judiciary and the appropriateness of the verdicts handed down,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the existence of provisions for asset forfeiture and recovery in national legislation that can be applied to wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the use of asset forfeiture and recovery legislation in wildlife crime cases,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the extent to which the drivers of wildlife crime in the country are known and understood,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the extent to which activities to address the demand of illicit wildlife products are implemented,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the extent of awareness-raising materials and/or programmes in place to increase the awareness of the regulated community of the laws that apply to the sustainable use of wildlife,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the extent to which local communities are engaged in law enforcement activities to combat wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the extent to which livelihoods and social capacity building are considered in activities to combat wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the extent of awareness-raising materials and/or programmes in place to increase public awareness of wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,ICCWC
the overall conservation status of wetlands,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Freshwater/Coastal),NA,RAMSAR
status and trends in wetland ecosystem extent,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Freshwater/Coastal),NA,RAMSAR
trends in conservation status - qualitative assessment,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Area Conservation,NA,RAMSAR
the status of the ecological character of ramsar sites,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Freshwater/Coastal),NA,RAMSAR
trends in the status of ramsar site ecological character - qualitative assessment,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Freshwater/Coastal),NA,RAMSAR
trends in water quality,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA,RAMSAR
trends in dissolved nitrate (or nitrogen) concentration,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA,RAMSAR
trends in biological oxygen demand (bod),1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA,RAMSAR
the frequency of threats affecting ramsar sites,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA,RAMSAR
the frequency of threats affecting ramsar sites - qualitative assessment,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA,RAMSAR
wetland sites with successfully implemented conservation or wise use management plans,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Area Conservation,NA,RAMSAR
overall population trends of wetland taxa,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA,RAMSAR
trends in the status of waterbird biogeographic populations,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA,RAMSAR
changes in threat status of wetland taxa,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA,RAMSAR
trends in the status of globally-threatened wetland-dependent birds,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA,RAMSAR
trends in the status of globally-threatened wetland-dependent amphibians,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA,RAMSAR
the proportion of candidate ramsar sites designated so far for wetland types/features,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Area Conservation,NA,RAMSAR
coverage of the wetland resource by designated ramsar sites,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Area Conservation,NA,RAMSAR
trends in land cover,1,0,UNCCD,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Change In Biodiversity,NA,UNCCD
trends in land productivity,1,0,UNCCD,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Change In Biodiversity,NA,UNCCD
